"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000250616",29.7514053235979,-1.61691507287605,0.152811247260604,-10.5811260745655,3.64550220711564e-26,7.69162591993958e-24
"ENSG00000196083",372.885856388133,-1.07359895714796,0.101476757726552,-10.5797522624932,3.69935060764292e-26,7.72393578954111e-24
"ENSG00000285888",17.766424892279,-1.88698242779699,0.195867107733817,-9.63399342354815,5.74522938309583e-22,8.53017612998318e-20
"ENSG00000261449",18.4966187232394,-1.22086808448339,0.127476093875519,-9.57723167824368,9.96808770217083e-22,1.45839671461542e-19
"ENSG00000079215",19.3497757234652,-1.62735510399409,0.178187957017065,-9.13280073040091,6.67496527909609e-20,8.36206275338763e-18
"ENSG00000276422",12.277910554401,-1.5945241631493,0.185718070785346,-8.58572435308282,9.02658625669897e-18,9.04644474646371e-16
"ENSG00000123836",327.747068264531,-1.10805758766079,0.136699674654169,-8.10578072306332,5.24078888505233e-16,4.1685068417456e-14
"ENSG00000106714",134.297436377147,-1.22495267024252,0.152195245082587,-8.04856071277271,8.37733496300728e-16,6.50834503870225e-14
"ENSG00000054793",51.7575734459205,-1.17910537263175,0.146851038447288,-8.02926138690526,9.80612331498498e-16,7.47353367777791e-14
"ENSG00000287255",26.475640043279,-1.23994323909236,0.154745657592549,-8.01278212508664,1.12142203065449e-15,8.51431181152976e-14
"ENSG00000226625",5.5684382777217,-1.73113661092429,0.22257273941204,-7.77784653905664,7.37694783636225e-15,5.01232347227271e-13
"ENSG00000232772",10.3126396606853,-1.35135403789133,0.175798918580873,-7.68693032243922,1.50707156504519e-14,9.65103592644273e-13
"ENSG00000271454",12.1843838975626,-1.58365000225729,0.20729158892308,-7.63972146908932,2.17692152150691e-14,1.36356921803389e-12
"ENSG00000118785",11.4750365651656,-1.85284303935914,0.248833070823213,-7.44612857619525,9.61191321730738e-14,5.50460538650598e-12
"ENSG00000139970",23.4411964197822,-1.38505336849609,0.193577108512835,-7.15504730459521,8.36440734525199e-13,4.22307760272622e-11
"ENSG00000173868",424.639644200826,-1.02472721394208,0.144706807376118,-7.08140295900967,1.42702282182479e-12,7.01424645842165e-11
"ENSG00000235777",6.25276328663941,-1.15693920071051,0.163769032704497,-7.06445645800493,1.61245892885947e-12,7.82569655449374e-11
"ENSG00000233392",12.781133873047,-1.97612576207348,0.284534050918779,-6.94512925849277,3.78113957893096e-12,1.73828352569019e-10
"ENSG00000251194",4.71333111175048,-1.0309200651382,0.152125168269068,-6.77678833074339,1.22876704169246e-11,5.24029927312419e-10
"ENSG00000224288",6.15821925868479,-1.44489661480716,0.214567112669584,-6.73400782081726,1.65052300191524e-11,6.89230896883105e-10
"ENSG00000260475",7.49355753323306,-1.12126038950212,0.166637522268785,-6.72873896728694,1.71139753017761e-11,7.13165324217878e-10
"ENSG00000250510",26.958326417747,-1.12914275993227,0.168095369558018,-6.71727462155072,1.85154824424295e-11,7.66785805942267e-10
"ENSG00000133985",16.6810552092174,-1.16451629909544,0.173569803423672,-6.70921022047213,1.95680594389372e-11,8.03130053690652e-10
"ENSG00000287317",7.78946295311374,-1.53765014887153,0.231109263224496,-6.65334711130935,2.86501414369995e-11,1.14623440112419e-09
"ENSG00000266872",13.4200468974952,-1.03746458042133,0.156502283972093,-6.62906990294355,3.37808592101136e-11,1.34079909308419e-09
"ENSG00000157404",12.2335292284163,-1.20928706719948,0.184687186718878,-6.54775834037797,5.84071292555649e-11,2.23845602064731e-09
"ENSG00000182853",6.68145002087097,-2.08372201077241,0.320507728479692,-6.50131596094862,7.96204018366706e-11,2.93906323096543e-09
"ENSG00000268170",14.7272504523883,-1.00031494416413,0.167132455783959,-5.98516272301514,2.16173632190973e-09,6.26153798213276e-08
"ENSG00000179639",37.2529377036062,-1.01229519902747,0.174554576625573,-5.79930482830531,6.65903898477793e-09,1.7539261157804e-07
"ENSG00000157445",4.63942316279093,-1.33855340302391,0.231874078571327,-5.77275998796973,7.79834852244159e-09,2.02474219927227e-07
"ENSG00000234571",17.6027649378685,-1.15565683733975,0.201776539886833,-5.72740933107438,1.0197590772214e-08,2.57107559041833e-07
"ENSG00000233730",5.32622344588959,-1.07222423906676,0.192227375463341,-5.57789563782107,2.43445628169752e-08,5.5958992787093e-07
"ENSG00000173825",28.8009437730939,-1.00572323930255,0.180639563573653,-5.5675690275485,2.58317759750867e-08,5.90390099936874e-07
"ENSG00000162366",14.5852584935362,-1.30569284355495,0.237038154753285,-5.50836570979026,3.62180376971147e-08,7.96002574123867e-07
"ENSG00000179348",26.6613832626966,-1.0659095782394,0.193988108093091,-5.49471608707009,3.9133948268975e-08,8.56332815614994e-07
"ENSG00000224852",4.73972350771605,-1.25002800253573,0.231577021884706,-5.39789307402905,6.74280304471287e-08,1.41669543216168e-06
"ENSG00000283378",78.443671182962,-1.17134639546491,0.217492080749171,-5.38569676390105,7.21645396809218e-08,1.49901186461297e-06
"ENSG00000054179",5.82001921611583,-1.52644667754087,0.293137290301455,-5.2072756624417,1.91633302651978e-07,3.6066647120716e-06
"ENSG00000129757",23.1454312150613,-1.0613468578839,0.206047300422328,-5.15098647596205,2.59119875849428e-07,4.73454766775382e-06
"ENSG00000197353",5.68238682160007,-1.92464009003028,0.37539274748747,-5.12700392565394,2.94389380788988e-07,5.31119779346038e-06
"ENSG00000275676",4.51430718750909,-1.25582233239941,0.254180986263696,-4.94066197027256,7.78577853627334e-07,1.2615856506149e-05
"ENSG00000131203",25.8451429621653,-1.1131319524576,0.229591999435136,-4.84830462383809,1.24521085950294e-06,1.91697438309347e-05
"ENSG00000274553",9.49957739986603,-1.10650052560797,0.228274426193065,-4.84723823014733,1.25192059103976e-06,1.92432354341252e-05
"ENSG00000260592",5.26167009932858,-1.34929238903913,0.286232816226859,-4.71396818445069,2.42938611791376e-06,3.51078697530378e-05
"ENSG00000286640",5.08008304481807,-1.06917093586581,0.240199985628909,-4.45116985776012,8.54037537505723e-06,0.000108247537181377
"ENSG00000287586",12.370305475639,-1.04906474035778,0.236761862360376,-4.43088565826953,9.38468443619888e-06,0.0001177137764951
"ENSG00000254859",7.94623722806655,-1.12700237434758,0.271972162301019,-4.14381517877633,3.41575067514367e-05,0.000365733475067199
"ENSG00000185736",44.958443099754,-1.00454048570566,0.251221363895262,-3.99862682906405,6.37110383538944e-05,0.000622634838013388
"ENSG00000123838",28.624087220788,-1.2113871938548,0.324784196798933,-3.72982185030618,0.000191615202631642,0.00161037112014618
"ENSG00000230583",7.04425439479119,-1.13260166632772,0.31049671027887,-3.64770907012344,0.000264588991745719,0.00211967296185099
"ENSG00000282059",10.3013949390571,-1.04092999490861,0.302962047155822,-3.43584288751927,0.000590713429991561,0.00422715458434518
"ENSG00000260342",3.86522778857412,-1.19963046970285,0.437814769671837,-2.7400411151091,0.00614314990447932,0.0299375873292934
