"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","24/259","187/9424",0.128342245989305,4.66987384634443,8.52088511455156,2.55109964909974e-10,7.01552403502429e-08,7.01552403502429e-08,"6773/58484/10379/2635/6772/1669/114769/4940/3576/2920/838/8772/3428/1668/6041/9447/834/837/4938/1667/10628/3665/4939/2633",24
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","22/259","173/9424",0.127167630057803,4.62713415314571,8.09413740652966,1.76061854662831e-09,2.42085050161392e-07,2.42085050161392e-07,"6773/10379/6772/23586/64135/5610/8743/4599/4940/3576/7132/8772/91543/3383/6041/834/4938/4600/836/3665/4939/3627",22
"Human Diseases","Infectious disease: viral","hsa05162","Measles","18/259","136/9424",0.132352941176471,4.8158074040427,7.53482274566005,2.97136718346346e-08,2.72375325150817e-06,2.72375325150817e-06,"6773/10379/6772/23586/64135/5610/3310/4599/4940/8772/3312/4938/4600/2213/3303/836/3665/4939",18
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","19/259","156/9424",0.121794871794872,4.43164043164043,7.26522896330946,4.79952551666112e-08,3.29967379270452e-06,3.29967379270452e-06,"6773/10379/6772/23586/5610/4599/1869/4940/7132/8772/91543/6041/4938/3434/4600/836/3665/4939/3627",19
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","19/259","180/9424",0.105555555555556,3.84075504075504,6.46871940520145,4.71864689337009e-07,2.42286781805064e-05,2.42286781805064e-05,"6773/10379/6772/23586/64135/5610/10189/4940/6672/7132/8772/684/6041/4938/6890/3690/836/3665/4939",19
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","14/259","100/9424",0.14,5.09405405405405,6.91879850508413,5.28625705756502e-07,2.42286781805064e-05,2.42286781805064e-05,"8809/729230/3579/1230/8807/8743/1232/3576/7132/2920/643/6354/3577/3627",14
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","20/259","205/9424",0.0975609756097561,3.54986345230248,6.2048343283983,8.33698064709659e-07,3.27524239707366e-05,3.27524239707366e-05,"6773/3280/10379/5608/6772/23586/5610/8819/1869/4940/8900/8772/3383/9636/4938/6890/836/3665/4939/3627",20
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","19/259","196/9424",0.0969387755102041,3.52722401701994,6.01030104909488,1.74328454660862e-06,5.99254062896713e-05,5.99254062896713e-05,"6773/91860/10379/5608/6772/1230/5610/1232/1869/3576/7132/2920/8772/3383/4277/7422/9976/836/3665",19
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","18/259","195/9424",0.0923076923076923,3.35871695871696,5.5949222431372,6.58115118244173e-06,0.000201090730574609,0.000201090730574609,"3674/2215/4353/8347/8343/1991/2358/1511/2214/834/837/8334/8353/3017/554313/3690/440689/566",18
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","9/259","56/9424",0.160714285714286,5.84776613348042,6.11632389534977,1.90473192335654e-05,0.000523801278923047,0.000523801278923047,"58484/7100/3310/3576/2920/3312/834/3303/836",9
