"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","20/175","173/9424",0.115606936416185,6.22559867877787,9.54181505411907,5.21443112323764e-11,6.21082134724797e-09,6.21082134724797e-09,"6773/5610/836/4599/8772/64135/4940/4938/6041/91543/23586/7132/8743/6772/4600/3627/3665/10379/4939/834",20
"Human Diseases","Infectious disease: viral","hsa05162","Measles","18/175","136/9424",0.132352941176471,7.12739495798319,9.90034789587273,5.24119944915441e-11,6.21082134724797e-09,6.21082134724797e-09,"6773/5610/836/4599/8772/64135/3303/4940/4938/3312/23586/6772/4600/3665/3310/10379/4939/2213",18
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","18/175","156/9424",0.115384615384615,6.21362637362637,9.03182307780024,5.25756652762066e-10,4.15347755682032e-08,4.15347755682032e-08,"6773/5610/836/4599/8772/4940/4938/6041/91543/23586/7132/6772/4600/3627/3665/10379/4939/3434",18
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","19/175","187/9424",0.101604278074866,5.47153552330023,8.49529074591517,1.51181346631078e-09,8.95749478789135e-08,8.95749478789135e-08,"6773/2633/10628/58484/8772/3428/4940/4938/6041/6772/9447/3665/2635/10379/837/114769/838/4939/834",19
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","17/175","180/9424",0.0944444444444444,5.08596825396825,7.61320461820872,3.47566614137126e-08,1.64746575100998e-06,1.64746575100998e-06,"6773/5610/836/8772/6890/64135/4940/4938/6041/684/23586/6672/7132/6772/3665/10379/4939",17
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","17/175","205/9424",0.0829268292682927,4.46572822299652,6.90074145367932,2.33774937368366e-07,9.23411002605046e-06,9.23411002605046e-06,"6773/5610/836/9636/8772/6890/4940/4938/23586/6772/8819/8900/3627/3665/5608/10379/4939",17
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","17/175","239/9424",0.0711297071129707,3.83043634190078,6.09647773622103,2.02691466717514e-06,6.86255394457867e-05,6.86255394457868e-05,"6773/719/5610/9636/4599/64135/4940/4938/714/23586/7132/6772/4600/3627/10379/4939/834",17
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","10/175","83/9424",0.120481927710843,6.4881239242685,6.90768459888204,2.8445371562221e-06,8.42694132530797e-05,8.42694132530797e-05,"836/8772/3428/23586/81030/9447/3627/3665/834/11277",10
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","10/175","100/9424",0.1,5.38514285714286,6.06385550420277,1.54249503070693e-05,0.000380819123090951,0.000380819123090951,"8809/3579/8807/7132/8743/1232/1230/3577/3627/729230",10
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","14/175","196/9424",0.0714285714285714,3.8465306122449,5.53931843187415,1.60683174299979e-05,0.000380819123090951,0.000380819123090951,"6773/5610/836/9976/4277/8772/7132/1232/6772/1230/3665/5608/10379/91860",14
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","14/175","205/9424",0.0682926829268293,3.67765853658537,5.33158634298126,2.66175878771981e-05,0.000573488029717815,0.000573488029717815,"5610/440689/836/8343/3017/6672/554313/1232/8347/728340/8900/3665/10379/9519",14
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","11/175","143/9424",0.0769230769230769,4.14241758241758,5.20835716696968,6.84143795262367e-05,0.00132594142369288,0.00132594142369288,"440689/8343/3017/8353/714/554313/8347/6737/2215/2214/8334",11
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","7/175","56/9424",0.125,6.73142857142857,5.91697435495314,7.27309641688076e-05,0.00132594142369288,0.00132594142369288,"836/58484/7100/3303/3312/3310/834",7
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","9/175","109/9424",0.0825688073394495,4.44644823066841,4.97805635540175,0.000185356167929815,0.0029595242061583,0.0029595242061583,"6773/8772/7100/6772/3627/3665/5608/10379/23643",9
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","13/175","216/9424",0.0601851851851852,3.2410582010582,4.58314487735832,0.000187311658617614,0.0029595242061583,0.0029595242061583,"19/836/3303/3312/7132/8743/3665/3310/5608/23643/91860/834/9619",13
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","12/175","195/9424",0.0615384615384615,3.31393406593407,4.4911461985799,0.000270485640522969,0.00399383409095713,0.00399383409095713,"440689/8343/3017/8353/554313/8347/2358/837/2215/2214/834/8334",12
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","11/175","168/9424",0.0654761904761905,3.52598639455782,4.54401969549732,0.000286477550828148,0.00399383409095713,0.00399383409095713,"6773/5610/8772/51510/7132/8743/81030/6772/10379/834/8334",11
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","7/175","72/9424",0.0972222222222222,5.23555555555556,4.96238678759331,0.000360100020626369,0.0047413169382472,0.0047413169382472,"9636/8772/64135/23586/79132/3627/3665",7
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","13/175","249/9424",0.0522088353413655,2.81152036718302,3.98479596077567,0.000735144904906594,0.00916996539278225,0.00916996539278225,"836/58484/8772/7100/6993/10627/7132/8743/5608/23643/837/838/834",13
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","9/175","133/9424",0.0676691729323308,3.64408163265306,4.22411448194858,0.000809226175347606,0.00958933017786913,0.00958933017786913,"836/5551/4277/117157/3811/3805/8743/2215/2214",9
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","8/175","112/9424",0.0714285714285714,3.8465306122449,4.1684022009601,0.00111007074804735,0.0125279412993915,0.0125279412993915,"836/3303/3312/7132/6772/3310/5608/23643",8
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","9/175","142/9424",0.0633802816901408,3.41311871227364,3.98536688332991,0.0012884214477156,0.013694663278766,0.013694663278766,"6773/23547/7132/6772/5608/10379/2215/2214/2213",9
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","15/175","333/9424",0.045045045045045,2.42574002574003,3.6435342811986,0.00132901795532328,0.013694663278766,0.013694663278766,"6773/5610/836/9636/4599/122011/8772/8638/7132/6772/8900/526/4600/10379/9519",15
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","7/175","99/9424",0.0707070707070707,3.80767676767677,3.86283818319494,0.00239487021275046,0.0236493433509108,0.0236493433509108,"719/25984/714/2358/2215/2214/2213",7
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","4/175","32/9424",0.125,6.73142857142857,4.46709369551414,0.00275261957858901,0.0260948336050238,0.0260948336050238,"836/8772/7132/5414",4
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","6/175","78/9424",0.0769230769230769,4.14241758241758,3.83322700651071,0.00320171901464076,0.0282506781412493,0.0282506781412493,"836/714/710/23643/91860/834",6
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","9/175","163/9424",0.0552147239263804,2.97339176161262,3.49578247700448,0.00331287682045839,0.0282506781412493,0.0282506781412493,"6773/836/8772/64135/23586/6772/8900/3665/5608",9
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","7/175","105/9424",0.0666666666666667,3.59009523809524,3.67106401163816,0.00333763286056954,0.0282506781412493,0.0282506781412493,"6773/26253/6772/10379/91860/834/338339",7
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","13/175","298/9424",0.0436241610738255,2.34922339405561,3.25550219701546,0.00364910768242419,0.0298220179563632,0.0298220179563632,"8809/10673/3579/8807/7132/8743/1232/1230/3577/3627/7850/729230/943",13
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","6/175","82/9424",0.0731707317073171,3.94034843205575,3.67834129134812,0.00410763224312591,0.0324502947206947,0.0324502947206947,"6890/3303/3312/3811/3805/3310",6
