"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","8/84","94/9424",0.0851063829787234,9.54812563323202,7.89868513379233,1.69814807686189e-06,0.000255180013229428,4.64262026685514e-05,"3934/3576/2920/8061/5597/2354/3727/6354",8
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","12/84","260/9424",0.0461538461538462,5.17802197802198,6.47851777110321,2.91634300833632e-06,0.000255180013229428,4.64262026685514e-05,"1669/4057/3934/1668/1511/7060/5657/566/1667/1991/3690/4353",12
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","6/84","50/9424",0.12,13.4628571428571,8.37916890586345,4.86223415706933e-06,0.000283630325829044,5.16023132973485e-05,"3383/3040/3576/7060/3039/3043",6
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","9/84","158/9424",0.0569620253164557,6.39059674502712,6.48007512456801,1.04821333983841e-05,0.000381327583750581,6.9376874239741e-05,"1847/8877/5627/1844/1846/1850/246/100133941/3690",9
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","10/84","201/9424",0.0497512437810945,5.58161573086946,6.22646263317958,1.08950738214452e-05,0.000381327583750581,6.9376874239741e-05,"8013/7185/1669/1668/3576/84444/1667/1991/4353/5328",10
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","8/84","154/9424",0.051948051948052,5.82807668521954,5.72869173628755,6.46002324741323e-05,0.00188417344716219,0.000342797295186311,"2200/3383/3680/7060/3691/3674/7422/3690",8
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","6/84","89/9424",0.0674157303370786,7.56340288924558,5.89966981843718,0.000134826686570693,0.00337066716426733,0.000613242686666889,"3680/2812/7060/3691/3674/3690",6
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","4/84","37/9424",0.108108108108108,12.1287001287001,6.43195050455678,0.000310060250229958,0.00678256797378033,0.00123398722093819,"3383/3040/3039/3043",4
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","7/84","203/9424",0.0344827586206897,3.86863711001642,3.918279579126,0.00216363837315742,0.041986602720488,0.00763883700214704,"10398/3680/7060/3691/3674/7422/3690",7
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","5/84","105/9424",0.0476190476190476,5.34240362811791,4.24327308846833,0.00239923444117074,0.041986602720488,0.00763883700214704,"3383/7185/3576/2920/5328",5
