"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-913531","Interferon Signaling","37/328","266/11287",0.139097744360902,4.78657390427288,10.8118057919467,1.3664163323438e-15,1.24890452776223e-12,1.00815345165237e-12,"TRIM6/STAT2/TRIM21/UBE2L6/IRF9/TRIM38/GBP3/MAP2K6/STAT1/TRIM14/RIGI/HERC5/IFIH1/EIF2AK2/FKBP5/OASL/OAS3/SP100/MT2A/SPHK1/ICAM1/KPNB1/HSPA8/IFI44/ISG15/CASP1/IFITM1/IFI44L/OAS1/TRIM22/TRIM5/IRF2/HSPA1A/IRF7/OAS2/GBP1/USP18",37
"R-HSA-6798695","Neutrophil degranulation","43/328","475/11287",0.0905263157894737,3.1151540436457,8.14811724567906,2.45887498773558e-11,8.48039215191188e-09,6.84562865236349e-09,"SELL/JUP/FCGR3B/RETN/MNDA/CXCR2/MPO/HSPA6/TNFAIP6/FGL2/DEFA4/ELANE/LCN2/LTF/CLEC4C/PLAU/FPR2/PRTN3/CD300A/KPNB1/CTSG/DYNLT1/QPCT/TMED7-TICAM2/HSPA8/CEACAM1/HBB/FLG2/ORM2/MS4A3/SIGLEC5/CLEC4D/DEGS1/CXCR1/CLEC5A/MOSPD2/ABCA13/DEFA1/OLFM4/HSPA1A/AZU1/RAB44/C3AR1",43
"R-HSA-877300","Interferon gamma signaling","19/328","96/11287",0.197916666666667,6.8106262703252,9.89112278903253,2.783498518133e-11,8.48039215191188e-09,6.84562865236349e-09,"TRIM6/TRIM21/IRF9/TRIM38/GBP3/STAT1/TRIM14/OASL/OAS3/SP100/MT2A/ICAM1/OAS1/TRIM22/TRIM5/IRF2/IRF7/OAS2/GBP1",19
"R-HSA-909733","Interferon alpha/beta signaling","14/328","57/11287",0.245614035087719,8.45196833547283,9.75753307117259,5.78325962678425e-10,1.3214748247202e-07,1.06673438697551e-07,"STAT2/IRF9/STAT1/EIF2AK2/OASL/OAS3/KPNB1/ISG15/IFITM1/OAS1/IRF2/IRF7/OAS2/USP18",14
"R-HSA-9909505","Modulation of host responses by IFN-stimulated genes","8/328","17/11287",0.470588235294118,16.19368723099,10.8454397497219,9.03918153383714e-09,1.65236238438543e-06,1.33383681792196e-06,"UBE2L6/RIGI/HERC5/IFIH1/FKBP5/IFI44/ISG15/IFI44L",8
"R-HSA-1169410","Antimicrobial mechanism of IFN-stimulated genes","19/328","159/11287",0.119496855345912,4.11207623868692,6.83693911959275,1.68896768113068e-07,2.57286076758907e-05,2.07689091184054e-05,"UBE2L6/GBP3/MAP2K6/STAT1/RIGI/HERC5/EIF2AK2/OASL/OAS3/SPHK1/KPNB1/HSPA8/ISG15/CASP1/OAS1/HSPA1A/OAS2/GBP1/USP18",19
"R-HSA-8936459","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","13/328","95/11287",0.136842105263158,4.70895378690629,6.2803067326403,3.39215672439869e-06,0.000442918749442915,0.000357537390670295,"ITGA2B/MYL9/H2BC4/H2BC7/NFE2/MOV10/NR4A3/SETD1A/GATA1/H2AC6/H3C6/H2BC5/H4C15",13
"R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","15/328","131/11287",0.114503816793893,3.94025786631912,5.85582779765495,5.84955130063534e-06,0.000668311236097587,0.000539481012737681,"SELL/SH2D1B/KIR2DL4/SIGLEC1/ICAM1/CD300A/LILRA4/SIGLEC5/FCGR3A/IFITM1/KIR3DL1/MICB/FCGR2B/SIGLEC8/CLEC2B",15
"R-HSA-380108","Chemokine receptors bind chemokines","10/328","59/11287",0.169491525423729,5.8324720959074,6.43821743996188,6.63864485268398e-06,0.00067419126615035,0.00054422755057283,"CCR2/CXCR2/CCR1/CCR3/CXCL8/CXCL2/CXCR5/CCL7/CXCR1/CXCL10",10
"R-HSA-8851680","Butyrophilin (BTN) family interactions","5/328","12/11287",0.416666666666667,14.3381605691057,7.99741753179717,1.34590968047481e-05,0.00123016144795397,0.000993023471591245,"BTNL8/PPL/BTN3A1/BTN3A3/BTN3A2",5
