"Gene","logFC","t_statistic","P.Value","FDR","SYMBOL","GENENAME"
"ENSG00000124256",-1.69109043338523,-17.2204525099742,1.67423641432102e-33,3.15392655729795e-29,"ZBP1","Z-DNA binding protein 1"
"ENSG00000146859",-2.27721771177046,-16.708694681394,1.98247841367131e-32,1.867296417837e-28,"TMEM140","transmembrane protein 140"
"ENSG00000186470",-1.08189020427641,-16.6211171186761,3.03612834219179e-32,1.9064861903403e-28,"BTN3A2","butyrophilin subfamily 3 member A2"
"ENSG00000132256",-1.83592691168897,-16.352452608365,1.12918175861475e-31,5.31788149219615e-28,"TRIM5","tripartite motif containing 5"
"ENSG00000136514",-2.74112020316279,-16.2742400350816,1.65788505352509e-31,6.24624772766114e-28,"RTP4","receptor transporter protein 4"
"ENSG00000107201",-1.96919528745451,-15.9308176649569,9.03127079777358e-31,2.83551798814098e-27,"RIGI","RNA sensor RIG-I"
"ENSG00000185745",-3.22455849485808,-15.7594569717543,2.11549215750962e-30,5.69309160902375e-27,"IFIT1","interferon induced protein with tetratricopeptide repeats 1"
"ENSG00000079263",-1.339532922127,-15.5506751660362,5.99595688364859e-30,1.41189794717715e-26,"SP140","SP140 nuclear body protein"
"ENSG00000142687",-1.36493304268553,-15.3595373874394,1.56325809769422e-29,3.27207289381819e-26,"KIAA0319L","KIAA0319 like"
"ENSG00000163565",-1.92260978888529,-15.3062251397347,2.0438112290425e-29,3.85013159327026e-26,"IFI16","interferon gamma inducible protein 16"
"ENSG00000108771",-2.13281172581243,-15.2513063305037,2.69469042493044e-29,4.61477983862178e-26,"DHX58","DExH-box helicase 58"
"ENSG00000133574",-1.94389493918968,-15.2199136195407,3.15653345836682e-29,4.95523144072618e-26,"GIMAP4","GTPase, IMAP family member 4"
"ENSG00000205413",-1.70437239022199,-15.1764991862653,3.9291836207553e-29,5.69368931136834e-26,"SAMD9","sterile alpha motif domain containing 9"
"ENSG00000121858",-1.72332185620609,-15.1103623260361,5.48712496185363e-29,7.38331857367133e-26,"TNFSF10","TNF superfamily member 10"
"ENSG00000073737",-2.13909805381959,-14.9350654761894,1.33300484964591e-28,1.67407635717531e-25,"DHRS9","dehydrogenase/reductase 9"
"ENSG00000003400",-0.907838856452396,-14.9115343180971,1.50208016203097e-28,1.76851163077121e-25,"CASP10","caspase 10"
"ENSG00000089127",-2.31891858960714,-14.7585852302437,3.26920352226692e-28,3.58999269461377e-25,"OAS1","2'-5'-oligoadenylate synthetase 1"
"ENSG00000177409",-1.76382258880274,-14.7491423486106,3.43029347611465e-28,3.58999269461377e-25,"SAMD9L","sterile alpha motif domain containing 9 like"
