"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","89/1051","305/18842",0.291803278688525,5.23135811327229,18.1076933113885,4.23870546705353e-40,1.94302258609734e-36,1.94302258609734e-36,"TRAF3IP3/EIF2AK2/FADD/MORC3/CARD8/MOV10/TBK1/UBE2W/USP18/RSAD2/ZMPSTE24/TRIM6/TRIM5/CXCL10/TLR7/DDX60/IFI16/IFIT3/OAS3/AIM2/RNASEL/STAT2/APOBEC3A/MLKL/PML/IRF9/F2RL1/NT5C3A/APOBEC3F/IL10RB/OAS2/MICB/IFI27/TRIM34/TANK/GBP5/ZC3HAV1/ISG15/AZI2/MYD88/TLR2/IFI44L/RIGI/IRF2/PLSCR1/GBP3/ISG20/STAT1/GBP1/OAS1/SAMHD1/APOBEC3G/TRIM21/TRIM27/IRF7/ZBP1/EXOC1/GBP2/IFI6/BST2/RNF185/IL27/RNF135/IFIT2/PARP9/DDX60L/MX2/CASP1/IFITM3/HERC5/TRIM13/IFITM1/IFIT1/TLR8/SHFL/APOBEC3B/IFIH1/IFIT5/ADAR/NT5C2/TRIM22/DTX3L/OASL/RTP4/MX1/RIPK3/DHX58/TRIM25/PRF1",89
"GO:0009615","response to virus","95/1051","400/18842",0.2375,4.25782588011418,16.0068917811387,1.27580102913259e-34,2.92413595877189e-31,2.92413595877189e-31,"TRAF3IP3/EIF2AK2/FADD/MORC3/CARD8/MOV10/TBK1/UBE2W/USP18/RSAD2/ZMPSTE24/TRIM6/TRIM5/CXCL10/TLR7/ACTA2/IFNGR1/DDX60/IFI16/IFIT3/OAS3/AIM2/RNASEL/STAT2/APOBEC3A/MLKL/PML/IRF9/F2RL1/NT5C3A/APOBEC3F/IL10RB/OAS2/MICB/IFI27/TRIM34/TANK/GBP5/ZC3HAV1/ISG15/AZI2/MYD88/TLR2/IFI44L/RIGI/IRF2/PLSCR1/GBP3/ISG20/STAT1/NMI/GBP1/OAS1/SAMHD1/APOBEC3G/TRIM21/TRIM27/IRF7/ZBP1/EXOC1/GBP2/IFI6/BST2/RNF185/IL27/RNF135/IFIT2/PARP9/DDX60L/MX2/CASP1/IFITM3/HERC5/TRIM13/IFITM1/IFNGR2/IFIT1/TLR8/IFI44/SHFL/APOBEC3B/IFIH1/IFIT5/ADAR/NT5C2/TRIM22/DTX3L/LGALS9/OASL/RTP4/MX1/RIPK3/DHX58/TRIM25/PRF1",95
"GO:0045088","regulation of innate immune response","95/1051","482/18842",0.197095435684647,3.53346546067567,13.6947882478639,7.80323255502864e-28,1.19233393440838e-24,1.19233393440838e-24,"TRAF3IP3/EIF2AK2/CD274/HSPA8/FADD/CARD8/NAIP/NLRC4/TBK1/MEFV/IFI35/PIK3AP1/USP18/RSAD2/RALB/TICAM2/TRIM6/TRIM5/FCGR2B/B2M/TLR7/HLA-E/DDX60/IFI16/NCF1/LAMP2/HSPA1A/OAS3/TLR10/ERBIN/HMGB2/TLR1/AIM2/MARCHF5/STAT2/LILRA4/F2RL1/HCK/LY96/GBP5/MAP2K6/ZC3HAV1/ISG15/CEACAM1/TIFA/MYD88/SLAMF6/TLR2/PRKCE/RIGI/IRF2/PLSCR1/TASL/NMI/OAS1/CD300A/SAMHD1/TRIM21/FPR2/IRF7/ZBP1/TLR4/NCR1/GBP2/RNF185/RNF135/PARP9/CEP63/CASP1/MNDA/PTPN6/TLR5/NAGK/BTK/CLEC4E/LILRA2/FFAR2/TREX1/CR1/SERPING1/TLR8/IFIH1/SH2D1B/RBM47/PARP14/RNF34/NOD2/HSPA1B/TRAFD1/KIR2DL4/LGALS9/OASL/DHX58/TRIM25/ALPK1",95
"GO:0045089","positive regulation of innate immune response","78/1051","396/18842",0.196969696969697,3.53121125623504,12.3730861526883,5.58784328622581e-23,6.40366840601478e-20,6.40366840601478e-20,"TRAF3IP3/EIF2AK2/CD274/HSPA8/FADD/CARD8/NAIP/NLRC4/TBK1/MEFV/IFI35/PIK3AP1/RSAD2/RALB/TICAM2/TRIM6/TRIM5/TLR7/HLA-E/DDX60/IFI16/LAMP2/HSPA1A/OAS3/TLR10/ERBIN/HMGB2/TLR1/AIM2/MARCHF5/LILRA4/F2RL1/HCK/LY96/GBP5/MAP2K6/ZC3HAV1/TIFA/MYD88/SLAMF6/TLR2/PRKCE/RIGI/IRF2/PLSCR1/TASL/NMI/OAS1/CD300A/FPR2/IRF7/ZBP1/TLR4/GBP2/RNF185/RNF135/PARP9/CASP1/MNDA/TLR5/NAGK/BTK/CLEC4E/LILRA2/FFAR2/TREX1/TLR8/IFIH1/SH2D1B/RBM47/RNF34/NOD2/HSPA1B/KIR2DL4/OASL/DHX58/TRIM25/ALPK1",78
"GO:0048525","negative regulation of viral process","33/1051","74/18842",0.445945945945946,7.99477974644483,14.6532533774246,3.31878952468401e-22,3.0426662362303e-19,3.0426662362303e-19,"EIF2AK2/RSAD2/TRIM6/IFI16/FAM111A/OAS3/RNASEL/APOBEC3A/APOBEC3F/OAS2/ZC3HAV1/ISG15/TRIM14/SP100/PLSCR1/ISG20/STAT1/OAS1/APOBEC3G/TRIM21/TRIM27/BST2/IFITM3/TRIM13/IFITM1/IFIT1/ARK2N/SHFL/APOBEC3B/IFIH1/IFIT5/OASL/MX1",33
"GO:0002833","positive regulation of response to biotic stimulus","79/1051","424/18842",0.186320754716981,3.34030034288997,11.8464013762443,1.11813885264103e-21,8.54258083417746e-19,8.54258083417746e-19,"TRAF3IP3/EIF2AK2/CD274/HSPA8/FADD/CARD8/NAIP/NLRC4/TBK1/MEFV/IFI35/PIK3AP1/RSAD2/RALB/TICAM2/TRIM6/TRIM5/TLR7/HLA-E/DDX60/IFI16/LAMP2/HSPA1A/OAS3/TLR10/ERBIN/HMGB2/TLR1/AIM2/MARCHF5/LILRA4/F2RL1/HCK/LY96/GBP5/MAP2K6/ZC3HAV1/TIFA/MYD88/SLAMF6/TLR2/PRKCE/RIGI/IRF2/PLSCR1/TASL/NMI/OAS1/CD300A/FPR2/IRF7/ZBP1/TLR4/GBP2/RNF185/RNF135/PARP9/CASP1/MNDA/TLR5/NAGK/FBXO38/BTK/CLEC4E/LILRA2/FFAR2/TREX1/TLR8/IFIH1/SH2D1B/RBM47/RNF34/NOD2/HSPA1B/KIR2DL4/OASL/DHX58/TRIM25/ALPK1",79
"GO:0050792","regulation of viral process","43/1051","136/18842",0.316176470588235,5.66831309117367,13.2798178283355,1.9226610027119e-21,1.25906829091877e-18,1.25906829091877e-18,"EIF2AK2/RSAD2/TRIM6/TRIM5/PPID/IFI16/FAM111A/OAS3/RNASEL/LAMP3/APOBEC3A/DYNLT1/APOBEC3F/OAS2/ZC3HAV1/ISG15/TRIM14/TSG101/SP100/PLSCR1/ISG20/STAT1/OAS1/APOBEC3G/TRIM21/TRIM27/TRIM38/AXL/BST2/IFITM3/TRIM13/IFITM1/IFIT1/ARK2N/SHFL/APOBEC3B/IFIH1/IFIT5/ADAR/LGALS9/OASL/MX1/TRIM25",43
"GO:0045071","negative regulation of viral genome replication","26/1051","48/18842",0.541666666666667,9.71083095464637,14.6866838474442,1.59702910989977e-20,9.15097679972566e-18,9.15097679972566e-18,"EIF2AK2/RSAD2/TRIM6/IFI16/FAM111A/OAS3/RNASEL/APOBEC3A/APOBEC3F/OAS2/ZC3HAV1/ISG15/PLSCR1/ISG20/OAS1/APOBEC3G/BST2/IFITM3/IFITM1/IFIT1/SHFL/APOBEC3B/IFIH1/IFIT5/OASL/MX1",26
"GO:1903900","regulation of viral life cycle","37/1051","110/18842",0.336363636363636,6.03022229910907,12.8601075047008,1.142614028762e-19,5.40586700672971e-17,5.40586700672971e-17,"EIF2AK2/RSAD2/TRIM6/TRIM5/PPID/IFI16/FAM111A/OAS3/RNASEL/LAMP3/APOBEC3A/APOBEC3F/OAS2/ZC3HAV1/ISG15/TSG101/PLSCR1/ISG20/OAS1/APOBEC3G/TRIM21/TRIM38/AXL/BST2/IFITM3/IFITM1/IFIT1/ARK2N/SHFL/APOBEC3B/IFIH1/IFIT5/ADAR/LGALS9/OASL/MX1/TRIM25",37
"GO:0002218","activation of innate immune response","65/1051","326/18842",0.199386503067485,3.57453900171032,11.3969289880266,1.28926706296809e-19,5.40586700672971e-17,5.40586700672971e-17,"TRAF3IP3/EIF2AK2/CD274/HSPA8/CARD8/NAIP/NLRC4/TBK1/MEFV/IFI35/PIK3AP1/RSAD2/TICAM2/TRIM5/TLR7/DDX60/IFI16/LAMP2/HSPA1A/OAS3/TLR10/ERBIN/TLR1/AIM2/MARCHF5/LILRA4/F2RL1/HCK/LY96/GBP5/MAP2K6/ZC3HAV1/TIFA/MYD88/TLR2/PRKCE/RIGI/IRF2/TASL/NMI/OAS1/CD300A/IRF7/ZBP1/TLR4/GBP2/RNF135/CASP1/MNDA/TLR5/NAGK/BTK/CLEC4E/LILRA2/FFAR2/TREX1/TLR8/IFIH1/RNF34/NOD2/HSPA1B/OASL/DHX58/TRIM25/ALPK1",65
