"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-877300","Interferon gamma signaling","34/709","96/11287",0.354166666666667,5.63819346497414,11.8152084347944,1.64758891137758e-17,2.12209451785432e-14,2.12209451785432e-14,"MT2A/GBP4/TRIM6/TRIM5/B2M/HLA-E/IFNGR1/JAK2/OAS3/PML/IRF9/OAS2/TRIM34/GBP5/TRIM14/SP100/IRF2/GBP3/STAT1/GBP1/OAS1/TRIM21/IRF7/TRIM38/GBP2/PIAS1/TRIM68/PTPN6/GBP6/FCGR1A/IFNGR2/TRIM22/OASL/TRIM25",34
"R-HSA-913531","Interferon Signaling","54/709","266/11287",0.203007518796992,3.23179952702631,9.53623308447263,7.16196928827993e-15,4.61230822165228e-12,4.61230822165228e-12,"FKBP5/EIF2AK2/HSPA8/MT2A/GBP4/KPNB1/USP18/UBE2L6/TRIM6/TRIM5/B2M/HLA-E/UBA7/IFNGR1/JAK2/HSPA1A/OAS3/STAT2/PML/IRF9/OAS2/TRIM34/GBP5/MAP2K6/ISG15/TRIM14/SP100/IFI44L/RIGI/IRF2/GBP3/STAT1/GBP1/OAS1/TRIM21/IRF7/TRIM38/GBP2/PIAS1/CASP1/TRIM68/PTPN6/GBP6/HERC5/FCGR1A/IFITM1/IFNGR2/IFI44/IFIH1/STAT3/TRIM22/HSPA1B/OASL/TRIM25",54
"R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","29/709","131/11287",0.221374045801527,3.52418738358509,7.52305688923741,1.73824949305647e-09,7.46288449018909e-07,7.46288449018909e-07,"SELL/SIGLEC5/FCGR2B/B2M/KIR2DL1/HLA-E/PILRA/LILRA4/SIGLEC7/MICB/LILRA5/LILRA6/SLAMF6/CD300A/KIR3DL2/NCR1/SIGLEC9/SIGLEC1/KLRF1/KIR3DL1/TREML2/FCGR1A/IFITM1/LILRA2/KIR2DL3/SH2D1B/FCGR3A/KIR2DL4/CLEC2B",29
"R-HSA-6798695","Neutrophil degranulation","63/709","475/11287",0.132631578947368,2.11144235765719,6.40725619221857,9.95878295684507e-09,3.00919411025317e-06,3.00919411025317e-06,"HSPA8/SELL/SIGLEC5/MOSPD2/OSTF1/C3AR1/ERP44/KPNB1/ARPC5/TICAM2/SCAMP1/B2M/ALOX5/CD55/SDCBP/SIGLEC14/HSPA6/CRISPLD2/LAMP2/HSPA1A/SLCO4C1/CLEC4D/DYNLT1/FGL2/BIN2/IDH1/VNN1/BST1/CEACAM1/TLR2/FCGR3B/CD300A/CXCR1/FPR2/JUP/FCGR2A/SIGLEC9/CD68/TMED7-TICAM2/CXCR2/CLEC4C/MNDA/PTPN6/NCSTN/CD53/RAB10/CD58/CPPED1/PGM2/CR1/DEGS1/CLEC12A/SERPINA1/CEACAM3/GCA/RAB24/QPCT/SNAP23/HSPA1B/TNFAIP6/APAF1/PTPRN2/FPR1",63
"R-HSA-9909505","Modulation of host responses by IFN-stimulated genes","10/709","17/11287",0.588235294117647,9.36447357504356,8.93495717663312,1.16816541547095e-08,3.00919411025317e-06,3.00919411025317e-06,"FKBP5/UBE2L6/UBA7/ISG15/IFI44L/RIGI/HERC5/IFI44/IFIH1/TRIM25",10
"R-HSA-909733","Interferon alpha/beta signaling","17/709","57/11287",0.298245614035088,4.74795239155717,7.34400518036131,3.96485817846264e-08,8.51122888976647e-06,8.51122888976647e-06,"EIF2AK2/KPNB1/USP18/HLA-E/OAS3/STAT2/IRF9/OAS2/ISG15/IRF2/STAT1/OAS1/IRF7/GBP2/PTPN6/IFITM1/OASL",17
"R-HSA-140534","Caspase activation via Death Receptors in the presence of ligand","9/709","17/11287",0.529411764705882,8.4280262175392,7.9346411421086,2.23001362130485e-07,4.10322506320092e-05,4.10322506320092e-05,"FADD/TICAM2/FAS/CFLAR/LY96/TLR4/TMED7-TICAM2/TNFSF10/FASLG",9
"R-HSA-9686114","Non-canonical inflammasome activation","7/709","10/11287",0.7,11.1437235543018,8.30791364933298,3.80776658533355e-07,6.13050420238702e-05,6.13050420238702e-05,"GBP4/CALM2/GBP3/GBP1/CASP4/GBP2/CASP3",7
"R-HSA-8851680","Butyrophilin (BTN) family interactions","7/709","12/11287",0.583333333333333,9.28643629525153,7.43518027335819,2.2476429092436e-06,0.000321662674122863,0.000321662674122863,"BTN3A2/BTN2A2/BTNL8/BTN2A1/BTN3A1/BTN3A3/PPL",7
"R-HSA-168898","Toll-like Receptor Cascades","28/709","171/11287",0.16374269005848,2.6067189600706,5.48094020316602,2.5955266518709e-06,0.000333221216435942,0.000333221216435942,"FADD/TBK1/USP18/IKBIP/TICAM2/TLR7/UBE2D1/TLR10/TLR1/VRK3/LY96/TANK/MAP2K6/TIFA/MYD88/TLR2/TASL/PIK3R4/IRF7/TLR4/TMED7-TICAM2/TLR5/BTK/TLR8/CREB1/NOD2/RIPK3/ALPK1",28
