"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-6803157","Antimicrobial peptides","16/352","95/11287",0.168421052631579,5.40047846889952,7.72751422676928,3.34351178195043e-08,3.4471606471909e-05,2.85734086271994e-05,"DEFA1/RNASE3/PI3/S100A7A/EPPIN/DEFA4/LCN2/DEFA1B/LTF/CTSG/DEFA3/PRTN3/CAMP/BPI/ELANE/PGLYRP1",16
"R-HSA-6798695","Neutrophil degranulation","36/352","475/11287",0.0757894736842105,2.43021531100478,5.71382809742533,7.0474950161435e-07,0.000363298368082197,0.000301136900401395,"CEACAM8/SLC2A5/DEFA1/RNASE3/RETN/RAB44/SLPI/MPO/OLFM4/DEFA4/A1BG/PPBP/LCN2/DEFA1B/LTF/CTSG/SERPINB10/PRTN3/ORM2/MS4A3/PKP1/CRISP3/CAMP/BPI/PRG2/FLG2/AZU1/KRT1/OLR1/ELANE/HBB/PGLYRP1/ABCA13/CEACAM6/ORM1/PLAU",36
"R-HSA-112316","Neuronal System","30/352","413/11287",0.0726392251815981,2.32920151882016,4.93745501001855,1.43641350426727e-05,0.00493647440966517,0.00409182846178114,"SLC6A1/KCNMB4/NRGN/ABCC9/PRKAA2/KCNH3/KCNH2/GRIN2A/CACNG8/NRG1/SLITRK5/GRM1/GABRA2/CAMK1/ADCY1/KCNH5/KCNG4/GABRB2/ADCY6/KCNJ5/KCNJ12/GRIK3/TUBB6/GABRA4/GABRG2/KCNQ2/STX1A/PPFIA4/LRFN4/HRAS",30
"R-HSA-1237044","Erythrocytes take up carbon dioxide and release oxygen","5/352","13/11287",0.384615384615385,12.3328234265734,7.33504435111021,3.00193001804037e-05,0.00618997969719924,0.00513085514091932,"CA1/SLC4A1/HBA2/HBA1/HBB",5
"R-HSA-1480926","O2/CO2 exchange in erythrocytes","5/352","13/11287",0.384615384615385,12.3328234265734,7.33504435111021,3.00193001804037e-05,0.00618997969719924,0.00513085514091932,"CA1/SLC4A1/HBA2/HBA1/HBB",5
"R-HSA-5576892","Phase 0 - rapid depolarisation","7/352","34/11287",0.205882352941176,6.6016878342246,5.86889261684767,7.02640762045973e-05,0.0120737104278233,0.0100078614549573,"CACNA1C/CACNG8/FGF12/SCN4A/SCN2A/SCN8A/SCN1A",7
"R-HSA-373760","L1CAM interactions","13/352","121/11287",0.107438016528926,3.44503662659654,4.85133431394464,9.929381960978e-05,0.0146245611453833,0.0121222537725658,"RPS6KA4/ITGA2B/NRP2/ITGB3/SCN4A/SCN2A/ITGA9/SCN8A/DNM1/TUBB6/KCNQ2/CD24/SCN1A",13
"R-HSA-1462054","Alpha-defensins","4/352","10/11287",0.4,12.8261363636364,6.71240346970606,0.000168244286429203,0.0181123665959288,0.0150132849878305,"DEFA1/DEFA4/DEFA1B/DEFA3",4
"R-HSA-5083625","Defective GALNT3 causes HFTC","5/352","18/11287",0.277777777777778,8.90703914141414,6.02336821361613,0.000175677658544412,0.0181123665959288,0.0150132849878305,"MUC5AC/MUC19/MUC4/MUC3A/MUC16",5
"R-HSA-5083636","Defective GALNT12 causes CRCS1","5/352","18/11287",0.277777777777778,8.90703914141414,6.02336821361613,0.000175677658544412,0.0181123665959288,0.0150132849878305,"MUC5AC/MUC19/MUC4/MUC3A/MUC16",5
"R-HSA-5083632","Defective C1GALT1C1 causes TNPS","5/352","19/11287",0.263157894736842,8.4382476076555,5.82178246367339,0.000232364539118291,0.0217788945300871,0.0180524587203085,"MUC5AC/MUC19/MUC4/MUC3A/MUC16",5
"R-HSA-112314","Neurotransmitter receptors and postsynaptic signal transmission","17/352","207/11287",0.0821256038647343,2.63338548528766,4.25535645913764,0.000260403635313867,0.0223730123340497,0.0185449211414943,"NRGN/PRKAA2/GRIN2A/CACNG8/NRG1/GABRA2/CAMK1/ADCY1/GABRB2/ADCY6/KCNJ5/KCNJ12/GRIK3/TUBB6/GABRA4/GABRG2/HRAS",17
"R-HSA-112315","Transmission across Chemical Synapses","20/352","272/11287",0.0735294117647059,2.35774565508021,4.06670419731883,0.000336354715661263,0.0266755162959047,0.0221112534481249,"SLC6A1/NRGN/PRKAA2/GRIN2A/CACNG8/NRG1/GABRA2/CAMK1/ADCY1/GABRB2/ADCY6/KCNJ5/KCNJ12/GRIK3/TUBB6/GABRA4/GABRG2/STX1A/PPFIA4/HRAS",20
"R-HSA-1474244","Extracellular matrix organization","22/352","321/11287",0.0685358255451713,2.1976246105919,3.90553980451802,0.000457231017045888,0.0336717984695936,0.0279104502329602,"CEACAM8/PCOLCE2/FBN1/COL17A1/ITGA2B/ITGB3/MMP16/ITGB5/LTBP1/SPP1/ITGA9/CTSG/ITGB4/ADAMTS5/FN1/ELANE/SDC4/TPSAB1/COL6A3/HAPLN1/COL6A1/CEACAM6",22
"R-HSA-977443","GABA receptor activation","8/352","60/11287",0.133333333333333,4.27537878787879,4.56391194855608,0.000512980186694129,0.0352588381654432,0.0292259425577537,"GABRA2/ADCY1/GABRB2/ADCY6/KCNJ5/KCNJ12/GABRA4/GABRG2",8
"R-HSA-9931510","Phosphorylated BMAL1:CLOCK (ARNTL:CLOCK) activates expression of core clock genes","5/352","23/11287",0.217391304347826,6.97072628458498,5.14252865636939,0.000606781250376275,0.0390994668211212,0.032409427843055,"NR1D1/PER1/BHLHE40/DBP/LOC102724428",5
