"Gene","logFC","t","PValue","FDR"
"ENSG00000185745",-4.66328985839638,-20.3307314315493,1.02063392736205e-39,1.92267019236463e-35
"ENSG00000089127",-3.57478291338745,-19.7894722534366,1.12815470052824e-38,1.06260891242755e-34
"ENSG00000134321",-4.29511407432192,-18.9652407215696,4.69949279397956e-37,2.95096817509957e-33
"ENSG00000124256",-2.41174404889011,-18.9012663775009,6.29973534116487e-37,2.96686035892159e-33
"ENSG00000111335",-3.22144454702232,-18.7684293354679,1.15960025339369e-36,4.36890991468605e-33
"ENSG00000146859",-3.24166853976966,-18.6232003860695,2.2652931620484e-36,7.11226543111128e-33
"ENSG00000137628",-3.17594944494654,-18.429633321295,5.55316622704406e-36,1.3076318173132e-32
"ENSG00000133574",-2.62564444175569,-18.4306986938666,5.52575623183285e-36,1.3076318173132e-32
"ENSG00000132530",-3.53764824459119,-18.2687875854401,1.17408072545881e-35,2.29636166533099e-32
"ENSG00000138646",-2.90667979779546,-18.260739242116,1.21900502459443e-35,2.29636166533099e-32
"ENSG00000026950",-1.98953654336467,-18.1366012618079,2.17763679644838e-35,3.72930199740859e-32
"ENSG00000119917",-3.69404056605489,-18.0792237396036,2.84930697861536e-35,4.47293707192967e-32
"ENSG00000157601",-3.03639625208449,-18.0561721539554,3.17465439209117e-35,4.60031841832412e-32
"ENSG00000135114",-2.90874232124778,-17.9943628876476,4.24374542539636e-35,5.71026259454405e-32
"ENSG00000186470",-1.51476397796928,-17.9764190922335,4.61724592621454e-35,5.7986452505353e-32
"ENSG00000163565",-2.6032906147014,-17.8970188231333,6.70961513752135e-35,7.8997331225392e-32
"ENSG00000121858",-2.53647598575431,-17.7108338515236,1.61684109467878e-34,1.79165014950346e-31
"ENSG00000137959",-3.80531264104619,-17.5974452089112,2.76837017749358e-34,2.89725318909022e-31
"ENSG00000111331",-3.2718704938324,-17.4903259923258,4.60803067285315e-34,4.56874114816883e-31
"ENSG00000107201",-2.87245344556702,-17.3931917708178,7.32357015294344e-34,6.89807072705743e-31
"ENSG00000136514",-4.09806907164024,-17.3697191187428,8.19261383961529e-34,7.34916473860346e-31
"ENSG00000184979",-4.30390216217968,-17.3475135212181,9.11005639998622e-34,7.80069283922456e-31
"ENSG00000185507",-2.68180100355385,-17.2245000209194,1.64204131691585e-33,1.34490323165481e-30
"ENSG00000187608",-3.40485106635155,-17.1773521841705,2.05905864204957e-33,1.61618944578875e-30
