"Gene","logFC","t","PValue","FDR"
"ENSG00000183688",1.58984035946633,15.7991237814698,1.73662195527562e-30,6.96052859435791e-28
"ENSG00000168264",1.21301245081174,13.8141733007467,4.20926291622711e-26,7.41066306690527e-24
"ENSG00000143321",1.05744576006475,13.7996610683024,4.53875677056875e-26,7.9167685225902e-24
"ENSG00000103355",3.13021508699478,13.6882183779222,8.10181802855162e-26,1.36269685733799e-23
"ENSG00000198938",1.35861980701449,13.4699643397895,2.52879323484592e-25,3.7216724185959e-23
"ENSG00000240247",2.55264838398312,13.3854250176681,3.93467283703075e-25,5.53144529134218e-23
"ENSG00000123933",1.36716394470499,13.3100067886838,5.84020348909284e-25,7.85841095196649e-23
"ENSG00000198899",1.2542986307784,13.2970969654873,6.24899745088365e-25,8.23207090767456e-23
"ENSG00000136938",1.00534190742918,13.1344958623135,1.46701140736787e-24,1.77151031358948e-22
"ENSG00000182557",2.3143084429535,13.0087623050249,2.84251715111391e-24,3.30539124028913e-22
"ENSG00000228830",2.09338832329069,12.9251413356279,4.41646291311596e-24,4.89396049160462e-22
"ENSG00000164821",2.53700867179303,12.8756314871339,5.73453291254655e-24,6.10322774048316e-22
"ENSG00000119950",1.23917490051181,12.7570775399158,1.07261254827523e-23,1.07478059491537e-21
"ENSG00000172232",2.86369005855744,12.3839203995086,7.75226009656625e-23,6.57824665311329e-21
"ENSG00000102760",1.9949664003754,12.2640355926745,1.46657117438107e-22,1.19598561831128e-20
"ENSG00000224940",2.19101656696093,12.080084470433,3.9077251080955e-22,3.04188948703732e-20
"ENSG00000283633",1.53025783653781,11.8762663418008,1.16021450267664e-21,8.34203084023758e-20
"ENSG00000239839",2.51240374650506,11.8620544869804,1.25178661596334e-21,8.89854953642162e-20
"ENSG00000104918",1.84308845381205,11.7451144401702,2.33977452478511e-21,1.55747959356544e-19
"ENSG00000161905",2.89447281002661,11.694324554389,3.07077838961187e-21,1.97431137554636e-19
"ENSG00000197561",2.37585926967928,11.6714709615477,3.47052593421346e-21,2.22373359009228e-19
"ENSG00000100448",2.7023347151407,11.611191812779,4.7932202112525e-21,2.99982333354068e-19
"ENSG00000198840",1.13453635592767,11.5331392127079,7.28303703255852e-21,4.35548735299484e-19
"ENSG00000255587",1.7812072142673,11.5249010514921,7.61194041369467e-21,4.52346162502146e-19
"ENSG00000124102",2.38951592711151,11.4419067899613,1.18800534617413e-20,6.80232362043413e-19
"ENSG00000148346",2.09979842661128,11.4202105550714,1.33467735576595e-20,7.57308796021657e-19
"ENSG00000110400",1.43650607031187,11.3871472327473,1.5938135585683e-20,8.85671381012086e-19
"ENSG00000272398",1.96852094895631,11.2850761380431,2.75705329989887e-20,1.47710288518378e-18
"ENSG00000007255",1.32831810060227,11.1946879240068,4.48061473523941e-20,2.30616995580437e-18
"ENSG00000105205",1.66033792065196,11.1599873196217,5.39920044633713e-20,2.73414349484137e-18
"ENSG00000170801",1.94360904644961,10.9367962415723,1.79303154983093e-19,8.40227073027736e-18
"ENSG00000173320",1.90526759765668,10.8543582220877,2.79407501197797e-19,1.26525925662599e-17
"ENSG00000155252",1.52062160541335,10.7623581883792,4.58447286199017e-19,1.97625399940894e-17
"ENSG00000142583",1.51043494346944,10.7554780188086,4.75744605379595e-19,2.03683565366837e-17
