"Gene","logFC","t","PValue","FDR","SYMBOL","GENENAME"
"ENSG00000165949",-1.56446048381135,-8.89682912085406,1.01890769258238e-14,1.91941831128669e-10,"IFI27","interferon alpha inducible protein 27"
"ENSG00000137965",-1.31714519080836,-8.59520217877868,5.03884534539444e-14,4.74608843082702e-10,"IFI44","interferon induced protein 44"
"ENSG00000137628",-1.25011056630507,-8.50678191955272,8.03530788152692e-14,5.04563766240681e-10,"DDX60","DExD/H-box helicase 60"
"ENSG00000160932",-1.06611371185182,-8.25054769662407,3.08951635433657e-13,1.45500772707481e-09,"LY6E","lymphocyte antigen 6 family member E"
"ENSG00000137959",-1.4965631694122,-8.13178323182172,5.74960888967716e-13,2.16622264527477e-09,"IFI44L","interferon induced protein 44 like"
"ENSG00000089127",-1.25586432378032,-7.91714184564843,1.75684236328505e-12,5.51589940659397e-09,"OAS1","2'-5'-oligoadenylate synthetase 1"
"ENSG00000088827",-1.71118452856089,-7.86870584918081,2.25807789672586e-12,6.07681020264597e-09,"SIGLEC1","sialic acid binding Ig like lectin 1"
"ENSG00000134321",-1.50113588800624,-7.75183477473205,4.13061935688441e-12,8.64584527166538e-09,"RSAD2","radical S-adenosyl methionine domain containing 2"
"ENSG00000132530",-1.38074235681826,-7.76128870293557,3.93404461391545e-12,8.64584527166538e-09,"XAF1","XIAP associated factor 1"
"ENSG00000126709",-1.09415305979186,-7.63117699221704,7.68479421609056e-12,1.44766153442714e-08,"IFI6","interferon alpha inducible protein 6"
"ENSG00000111331",-1.13564764888723,-7.60073708763209,8.98376225353779e-12,1.53851012120132e-08,"OAS3","2'-5'-oligoadenylate synthetase 3"
"ENSG00000141664",-0.758376737376585,-7.42328001374498,2.22449484651946e-11,3.49208615989447e-08,"ZCCHC2","zinc finger CCHC-type containing 2"
"ENSG00000115267",-0.99607819911111,-7.38243912950446,2.73807931803437e-11,3.96768755331781e-08,"IFIH1","interferon induced with helicase C domain 1"
"ENSG00000133106",-1.12862993454116,-7.364639476658,2.9971912549357e-11,4.03293491860563e-08,"EPSTI1","epithelial stromal interaction 1"
"ENSG00000173801",-0.981868800401717,-7.34493045873451,3.31252811447418e-11,4.16009364136431e-08,"JUP","junction plakoglobin"
"ENSG00000185745",-1.4387313635383,-7.12562729616161,1.00219907439113e-10,1.15119081011314e-07,"IFIT1","interferon induced protein with tetratricopeptide repeats 1"
"ENSG00000120217",-1.15816756288653,-7.11074948736323,1.07991893033811e-10,1.15119081011314e-07,"CD274","CD274 molecule"
"ENSG00000111335",-1.01431867342594,-7.10708130236817,1.09998060208284e-10,1.15119081011314e-07,"OAS2","2'-5'-oligoadenylate synthetase 2"
"ENSG00000124256",-0.720653615504881,-7.04357116165193,1.51202226402718e-10,1.49913028472337e-07,"ZBP1","Z-DNA binding protein 1"
"ENSG00000177409",-1.01348283291657,-7.01342932864496,1.75784331951129e-10,1.65571262264768e-07,"SAMD9L","sterile alpha motif domain containing 9 like"
"ENSG00000165029",-0.981571979552982,-6.98458691724906,2.0299574531548e-10,1.82096850012049e-07,"ABCA1","ATP binding cassette subfamily A member 1"
"ENSG00000136514",-1.35694886847745,-6.97299550268143,2.15070711968001e-10,1.84159185093327e-07,"RTP4","receptor transporter protein 4"
"ENSG00000184979",-1.54684957415055,-6.95016655871713,2.40967920971925e-10,1.97363204142136e-07,"USP18","ubiquitin specific peptidase 18"
"ENSG00000106733",-0.587895111133529,-6.92763439764655,2.69548444395968e-10,2.11573066480469e-07,"NMRK1","nicotinamide riboside kinase 1"
"ENSG00000157601",-0.868531680941181,-6.79487397359192,5.20284711338567e-10,3.92044935687837e-07,"MX1","MX dynamin like GTPase 1"
"ENSG00000126262",-0.742610891913781,-6.77606858498902,5.70855417218695e-10,4.03630295951984e-07,"FFAR2","free fatty acid receptor 2"
"ENSG00000068079",-0.686254888363532,-6.77336569807845,5.78512474291515e-10,4.03630295951984e-07,"IFI35","interferon induced protein 35"
"ENSG00000149131",-1.21357629086943,-6.75791276566655,6.24278912424663e-10,4.20005934009136e-07,"SERPING1","serpin family G member 1"
"ENSG00000116663",-0.772795287378362,-6.70728971738946,8.00745138411328e-10,5.20152997151469e-07,"FBXO6","F-box protein 6"
"ENSG00000117226",-0.935800216955395,-6.68867898438721,8.77325546108552e-10,5.5090195458643e-07,"GBP3","guanylate binding protein 3"
"ENSG00000249437",-0.683048534813169,-6.65103325449061,1.05502789560031e-09,6.4111662894576e-07,"NAIP","NLR family apoptosis inhibitory protein"
"ENSG00000185880",-0.930359555028481,-6.6431338499782,1.09660310161134e-09,6.45556538379827e-07,"TRIM69","tripartite motif containing 69"
"ENSG00000206337",-0.730121482353009,-6.63310144585232,1.15174378546088e-09,6.57471194864002e-07,"HCP5","HLA complex P5"
"ENSG00000026950",-0.71802239016136,-6.54277322072504,1.78896326089782e-09,9.91190879670384e-07,"BTN3A1","butyrophilin subfamily 3 member A1"
"ENSG00000104320",-0.91069355852651,-6.45849202304707,2.69193850270676e-09,1.44887821468543e-06,"NBN","nibrin"
