"Gene","logFC","t","PValue","FDR","SYMBOL","GENENAME"
"ENSG00000165949",-1.56446048381135,-8.89682912085406,1.01890769258238e-14,1.91941831128669e-10,"IFI27","interferon alpha inducible protein 27"
"ENSG00000137965",-1.31714519080836,-8.59520217877868,5.03884534539444e-14,4.74608843082702e-10,"IFI44","interferon induced protein 44"
"ENSG00000137628",-1.25011056630507,-8.50678191955272,8.03530788152692e-14,5.04563766240681e-10,"DDX60","DExD/H-box helicase 60"
"ENSG00000160932",-1.06611371185182,-8.25054769662407,3.08951635433657e-13,1.45500772707481e-09,"LY6E","lymphocyte antigen 6 family member E"
"ENSG00000137959",-1.4965631694122,-8.13178323182172,5.74960888967716e-13,2.16622264527477e-09,"IFI44L","interferon induced protein 44 like"
"ENSG00000089127",-1.25586432378032,-7.91714184564843,1.75684236328505e-12,5.51589940659397e-09,"OAS1","2'-5'-oligoadenylate synthetase 1"
"ENSG00000088827",-1.71118452856089,-7.86870584918081,2.25807789672586e-12,6.07681020264597e-09,"SIGLEC1","sialic acid binding Ig like lectin 1"
"ENSG00000134321",-1.50113588800624,-7.75183477473205,4.13061935688441e-12,8.64584527166538e-09,"RSAD2","radical S-adenosyl methionine domain containing 2"
"ENSG00000132530",-1.38074235681826,-7.76128870293557,3.93404461391545e-12,8.64584527166538e-09,"XAF1","XIAP associated factor 1"
"ENSG00000126709",-1.09415305979186,-7.63117699221704,7.68479421609056e-12,1.44766153442714e-08,"IFI6","interferon alpha inducible protein 6"
"ENSG00000111331",-1.13564764888723,-7.60073708763209,8.98376225353779e-12,1.53851012120132e-08,"OAS3","2'-5'-oligoadenylate synthetase 3"
"ENSG00000133106",-1.12862993454116,-7.364639476658,2.9971912549357e-11,4.03293491860563e-08,"EPSTI1","epithelial stromal interaction 1"
"ENSG00000185745",-1.4387313635383,-7.12562729616161,1.00219907439113e-10,1.15119081011314e-07,"IFIT1","interferon induced protein with tetratricopeptide repeats 1"
"ENSG00000120217",-1.15816756288653,-7.11074948736323,1.07991893033811e-10,1.15119081011314e-07,"CD274","CD274 molecule"
"ENSG00000111335",-1.01431867342594,-7.10708130236817,1.09998060208284e-10,1.15119081011314e-07,"OAS2","2'-5'-oligoadenylate synthetase 2"
"ENSG00000177409",-1.01348283291657,-7.01342932864496,1.75784331951129e-10,1.65571262264768e-07,"SAMD9L","sterile alpha motif domain containing 9 like"
"ENSG00000136514",-1.35694886847745,-6.97299550268143,2.15070711968001e-10,1.84159185093327e-07,"RTP4","receptor transporter protein 4"
"ENSG00000184979",-1.54684957415055,-6.95016655871713,2.40967920971925e-10,1.97363204142136e-07,"USP18","ubiquitin specific peptidase 18"
"ENSG00000149131",-1.21357629086943,-6.75791276566655,6.24278912424663e-10,4.20005934009136e-07,"SERPING1","serpin family G member 1"
"ENSG00000119917",-1.19413525426847,-6.44997191144152,2.80512012488005e-09,1.46785702534696e-06,"IFIT3","interferon induced protein with tetratricopeptide repeats 3"
"ENSG00000168062",-1.06403688504969,-6.42038491016929,3.23583173115174e-09,1.60412100398517e-06,"BATF2","basic leucine zipper ATF-like transcription factor 2"
"ENSG00000225964",-1.17112932161184,-6.29894105155225,5.79864785700068e-09,2.73087320825447e-06,NA,NA
"ENSG00000260943",-1.05224930385009,-6.06782217825631,1.73573068634325e-08,5.83887404809539e-06,NA,NA
"ENSG00000134326",-1.07633266287388,-6.01792346152959,2.19386527063273e-08,7.00475152003041e-06,"CMPK2","cytidine/uridine monophosphate kinase 2"
"ENSG00000250687",-1.23933296708005,-6.00078947530376,2.37711300686397e-08,7.34099259398416e-06,"NAIPP1","NAIP pseudogene 1"
"ENSG00000270972",-1.07011188871317,-5.80411978430632,5.92288746890926e-08,1.43045325819632e-05,NA,NA
"ENSG00000163958",-1.29511790388852,-5.74982510484851,7.60066489979911e-08,1.72507620942669e-05,"ZDHHC19","zDHHC palmitoyltransferase 19"
"ENSG00000152778",-1.06331745775214,-5.74718607690023,7.69313882793385e-08,1.72527796715021e-05,"IFIT5","interferon induced protein with tetratricopeptide repeats 5"
"ENSG00000137757",-1.11881559203601,-5.72067744191303,8.68544600335054e-08,1.90251664896648e-05,"CASP5","caspase 5"
"ENSG00000279296",-1.277938123699,-5.62416921987892,1.34763476144948e-07,2.72975738023498e-05,NA,NA
"ENSG00000115155",-1.35748933930429,-5.30879054583059,5.51001381558017e-07,8.79641019134739e-05,"OTOF","otoferlin"
"ENSG00000129538",-1.1572316439743,-5.27754227559838,6.32000801450009e-07,9.44891356961529e-05,"RNASE1","ribonuclease A family member 1, pancreatic"
"ENSG00000248477",-1.08705401745218,-4.79884090417683,4.87738866144373e-06,0.000397749989628905,"NAIPP3","NAIP pseudogene 3"
"ENSG00000249624",-1.01330642162763,-4.38179607481086,2.6302157419106e-05,0.00132128011056298,"IFNAR2-IL10RB","IFNAR2-IL10RB readthrough"
"ENSG00000211966",-1.05528876954768,-4.04501214036971,9.55198867825582e-05,0.00334141388432361,"IGHV5-51","immunoglobulin heavy variable 5-51"
