"Database","Comparison","Pathway","GeneRatio","BgRatio","GeneCount","PValue","AdjustedPValue","QValue"
"GO-BP","D3_vs_D0","defense response to virus","57/469","305/18842",57,1.90495823873374e-33,7.00453144382395e-30,3.38919717405105e-30
"GO-BP","D3_vs_D0","response to virus","61/469","400/18842",61,1.40282770673935e-30,2.57909873884029e-27,1.24791704161502e-27
"GO-BP","D3_vs_D0","negative regulation of viral process","24/469","74/18842",24,9.91927566652115e-21,1.21577255419328e-17,5.8826103330492e-18
"GO-BP","D3_vs_D0","negative regulation of viral genome replication","20/469","48/18842",20,4.90982502871654e-20,4.51335665764768e-17,2.18382282273448e-17
"GO-BP","D3_vs_D0","regulation of viral process","29/469","136/18842",29,3.7582882395276e-19,2.76384517134859e-16,1.33730804399609e-16
"GO-BP","D3_vs_D0","regulation of viral life cycle","25/469","110/18842",25,2.17793034186892e-17,1.33470831117534e-14,6.45809027012998e-15
"GO-BP","D3_vs_D0","regulation of innate immune response","49/469","482/18842",49,4.89934736503006e-17,2.57355718017365e-14,1.24523571523031e-14
"GO-BP","D3_vs_D0","regulation of viral genome replication","21/469","77/18842",21,1.46950995758601e-16,6.75423514255469e-14,3.26808935638465e-14
"GO-BP","D3_vs_D0","viral process","42/469","383/18842",42,6.61757900621675e-16,2.70364866731766e-13,1.30818149599133e-13
"GO-BP","D3_vs_D0","viral genome replication","23/469","110/18842",23,2.97184141787496e-15,1.09274608935262e-12,5.28733718692167e-13
"GO-BP","D3_vs_D0","viral life cycle","34/469","284/18842",34,3.29865761247881e-14,1.10265127646224e-11,5.33526420735063e-12
"GO-BP","D3_vs_D0","positive regulation of innate immune response","40/469","396/18842",40,5.29480552271868e-14,1.62241665891972e-11,7.85018955178275e-12
"GO-BP","D3_vs_D0","antiviral innate immune response","18/469","73/18842",18,1.51710835984823e-13,4.29108264550919e-11,2.0762738082363e-11
"GO-BP","D3_vs_D0","positive regulation of response to biotic stimulus","40/469","424/18842",40,4.94014385110564e-13,1.2974934957511e-10,6.27802348296487e-11
"GO-BP","D3_vs_D0","response to interferon-beta","13/469","34/18842",13,6.88283719567739e-13,1.68721282456705e-10,8.16371085333237e-11
"GO-BP","D3_vs_D0","positive regulation of cytokine production","42/469","499/18842",42,5.52348026909588e-12,1.2693648093416e-09,6.14192063975053e-10
"GO-BP","D3_vs_D0","activation of innate immune response","32/469","326/18842",32,4.10737565202452e-11,8.88401192499657e-09,4.29859846470995e-09
"GO-BP","D3_vs_D0","type I interferon-mediated signaling pathway","16/469","80/18842",16,1.05153458896314e-10,2.05426700280892e-08,9.93973112477802e-09
"GO-BP","D3_vs_D0","interferon-mediated signaling pathway","18/469","105/18842",18,1.06149233215582e-10,2.05426700280892e-08,9.93973112477802e-09
"GO-BP","D3_vs_D0","response to type I interferon","19/469","122/18842",19,1.79897581126607e-10,3.30741702901267e-08,1.6003195271572e-08
"GO-BP","D3_vs_D0","pattern recognition receptor signaling pathway","29/469","291/18842",29,2.40437166984546e-10,4.20994030001036e-08,2.0370124514609e-08
"GO-BP","D3_vs_D0","pyroptotic inflammatory response","12/469","42/18842",12,2.76263262665109e-10,4.61736371281639e-08,2.23414744762712e-08
"GO-BP","D3_vs_D0","leukocyte migration","32/469","352/18842",32,2.97000913675759e-10,4.74814069385115e-08,2.29742490995399e-08
"GO-BP","D3_vs_D0","regulation of leukocyte migration","24/469","210/18842",24,5.52300880466321e-10,8.46170973947776e-08,4.09426425831305e-08
"GO-BP","D3_vs_D0","innate immune response-activating signaling pathway","29/469","306/18842",29,7.87077889729775e-10,1.15763416021455e-07,5.60130317902066e-08
"GO-BP","D3_vs_D0","myeloid leukocyte activation","24/469","222/18842",24,1.7173545903582e-09,2.39139414289408e-07,1.15709470878101e-07
"GO-BP","D3_vs_D0","positive regulation of leukocyte migration","19/469","139/18842",19,1.75598699641393e-09,2.39139414289408e-07,1.15709470878101e-07
"GO-BP","D3_vs_D0","cellular response to type I interferon","17/469","116/18842",17,4.29672441929859e-09,5.49044214091562e-07,2.65659325502625e-07
"GO-BP","D3_vs_D0","negative regulation of response to biotic stimulus","18/469","131/18842",18,4.33023720659649e-09,5.49044214091562e-07,2.65659325502625e-07
"GO-BP","D3_vs_D0","negative regulation of response to external stimulus","33/469","416/18842",33,5.02430203348791e-09,6.15811952571168e-07,2.9796541655064e-07
"GO-BP","D3_vs_D0","myeloid leukocyte mediated immunity","16/469","104/18842",16,5.98334046217458e-09,7.09701383206966e-07,3.43394549896124e-07
"GO-BP","D3_vs_D0","cell killing","24/469","238/18842",24,6.90984196751031e-09,7.93984028579232e-07,3.84175365259455e-07
"GO-BP","D3_vs_D0","negative regulation of defense response","27/469","300/18842",27,9.30399224701745e-09,1.03669028764494e-06,5.01610681803762e-07
"GO-BP","D3_vs_D0","negative regulation of innate immune response","15/469","94/18842",15,1.07158493749895e-08,1.15888759270107e-06,5.60736800987373e-07
"GO-BP","D3_vs_D0","immune response-regulating cell surface receptor signaling pathway","31/469","392/18842",31,1.59566118745952e-08,1.67635605322533e-06,8.11117951837331e-07
"GO-BP","D3_vs_D0","positive regulation of cellular extravasation","7/469","15/18842",7,3.0656119840357e-08,3.13118201813869e-06,1.51504684252251e-06
"GO-BP","D3_vs_D0","response to molecule of bacterial origin","27/469","319/18842",27,3.39688448856099e-08,3.37576872011858e-06,1.63339202603819e-06
"GO-BP","D3_vs_D0","regulation of inflammatory response","32/469","429/18842",32,3.71319953019454e-08,3.59300912434877e-06,1.73850549008807e-06
"GO-BP","D3_vs_D0","interleukin-27-mediated signaling pathway","6/469","10/18842",6,4.44555827238777e-08,4.19136353014611e-06,2.0280239364643e-06
"GO-BP","D3_vs_D0","regulation of response to cytokine stimulus","20/469","196/18842",20,1.03530604207796e-07,9.31865031472157e-06,4.50890163973373e-06
"GO-BP","D3_vs_D0","killing of cells of another organism","15/469","111/18842",15,1.06440933700926e-07,9.31865031472157e-06,4.50890163973373e-06
"GO-BP","D3_vs_D0","disruption of cell in another organism","15/469","111/18842",15,1.06440933700926e-07,9.31865031472157e-06,4.50890163973373e-06
"GO-BP","D3_vs_D0","leukocyte mediated immunity","31/469","429/18842",31,1.2430424371524e-07,1.06294582358358e-05,5.14314627659395e-06
"GO-BP","D3_vs_D0","myeloid cell differentiation","28/469","364/18842",28,1.42656130775385e-07,1.19215134741157e-05,5.76831728159487e-06
"GO-BP","D3_vs_D0","defense response to bacterium","26/469","322/18842",26,1.55825245402677e-07,1.27326539410143e-05,6.16079392335442e-06
"GO-BP","D3_vs_D0","response to lipopolysaccharide","25/469","302/18842",25,1.68473480205276e-07,1.31254424416196e-05,6.35084770310085e-06
"GO-BP","D3_vs_D0","negative regulation of immune response","20/469","202/18842",20,1.70071086432906e-07,1.31254424416196e-05,6.35084770310085e-06
"GO-BP","D3_vs_D0","disruption of anatomical structure in another organism","15/469","115/18842",15,1.71341103398897e-07,1.31254424416196e-05,6.35084770310085e-06
"GO-BP","D3_vs_D0","positive regulation of inflammatory response","18/469","166/18842",18,1.80324596024793e-07,1.35317048894523e-05,6.54742095730925e-06
"GO-BP","D3_vs_D0","myeloid leukocyte migration","20/469","207/18842",20,2.53387251933603e-07,1.86340985071972e-05,9.01625390764236e-06
"GO-BP","D3_vs_D0","intracellular receptor signaling pathway","29/469","399/18842",29,2.82883055587638e-07,2.03953136352107e-05,9.86843158471205e-06
"GO-BP","D3_vs_D0","response to interferon-alpha","7/469","20/18842",7,3.31448302603706e-07,2.34372193975736e-05,1.13402814145276e-05
"GO-BP","D3_vs_D0","mononuclear cell migration","20/469","212/18842",20,3.72703542302992e-07,2.58571872650585e-05,1.25112017428254e-05
"GO-BP","D3_vs_D0","cellular defense response","10/469","51/18842",10,4.2483336625428e-07,2.89280053280923e-05,1.39970410148349e-05
"GO-BP","D3_vs_D0","leukocyte chemotaxis","20/469","217/18842",20,5.41551872181009e-07,3.62052042547195e-05,1.75181704772315e-05
"GO-BP","D3_vs_D0","response to tumor necrosis factor","20/469","219/18842",20,6.26792090738834e-07,4.07676219494057e-05,1.97257318654104e-05
"GO-BP","D3_vs_D0","cellular extravasation","11/469","66/18842",11,6.31970206993779e-07,4.07676219494057e-05,1.97257318654104e-05
