"PC","Variance_Explained_Percent"
"PC1",43.7731923093242
"PC2",3.76281429668286
"PC3",3.06260902093698
"PC4",1.9875347427377
"PC5",1.39160556463763
"PC6",1.28263433084945
"PC7",1.26332789032299
"PC8",0.953016154921023
"PC9",0.736349256420204
"PC10",0.65656063515904
"PC11",0.558792444742747
"PC12",0.498423096328057
"PC13",0.47362972732357
"PC14",0.433722253055499
"PC15",0.385865459017856
"PC16",0.373644032864628
"PC17",0.343848798142539
"PC18",0.324231821389403
"PC19",0.302750710982833
"PC20",0.296494644236166
"PC21",0.289689204004014
"PC22",0.272287248716097
"PC23",0.258671679709936
"PC24",0.255264890237036
"PC25",0.242115313321632
"PC26",0.239354723656348
"PC27",0.233574854112181
"PC28",0.225861078871235
"PC29",0.221374940916004
"PC30",0.210175921479509
"PC31",0.208807631394414
"PC32",0.206146508644234
"PC33",0.202400569714152
"PC34",0.198463644189887
"PC35",0.19692687253348
"PC36",0.195439795820189
"PC37",0.189070344604677
"PC38",0.187184989657999
"PC39",0.185977353956779
"PC40",0.182018105039618
"PC41",0.180983732808795
"PC42",0.179390473884695
"PC43",0.175471604944673
"PC44",0.174945515364112
"PC45",0.171960086785726
"PC46",0.169313272012336
"PC47",0.168993613893412
"PC48",0.166685794271093
"PC49",0.164180980385867
"PC50",0.163269620485079
"PC51",0.161270050873651
"PC52",0.157290454103885
"PC53",0.157136757264957
"PC54",0.156682120345389
"PC55",0.1554094767648
"PC56",0.153828425483805
"PC57",0.152626790419629
"PC58",0.151211362243874
"PC59",0.150815794278206
"PC60",0.148792080564481
"PC61",0.14824571087374
"PC62",0.146541439299929
"PC63",0.145161073217572
"PC64",0.145093036629715
"PC65",0.143801865490426
"PC66",0.142259740613045
"PC67",0.141202131672951
"PC68",0.140860933493966
"PC69",0.139185046914441
"PC70",0.138536577496301
"PC71",0.137638103356536
"PC72",0.136267275153768
"PC73",0.135533062280088
"PC74",0.13531363422818
"PC75",0.134046125188534
"PC76",0.133524020273458
"PC77",0.133095267064077
"PC78",0.131800649890513
"PC79",0.131482532574685
"PC80",0.130035665727593
"PC81",0.129717933037555
"PC82",0.128631351725533
"PC83",0.127616301021392
"PC84",0.127021612263803
"PC85",0.126173420876269
"PC86",0.125479862530853
"PC87",0.124647679342265
"PC88",0.124146590630436
"PC89",0.123243167542542
"PC90",0.123088466086976
"PC91",0.121969897691443
"PC92",0.121069446105335
"PC93",0.120249836282383
"PC94",0.119666687829818
"PC95",0.119143730138951
"PC96",0.118444835549884
"PC97",0.117889865983254
"PC98",0.117237909289002
"PC99",0.116260141258881
"PC100",0.116103584190936
