"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016064","immunoglobulin mediated immune response","54/343","137/13352",0.394160583941606,15.3435338681875,27.4009022999335,1.65898479011218e-50,4.22543426041573e-47,4.22543426041573e-47,"IGHV4-61/IGKC/IGHV2-70/IGHV2-5/IGLC1/IGHV3-43/IGHV3-30/IGHV3-13/IGHV7-4-1/IGHV5-51/IGHV3-64/IGHV3-7/IGLL5/IGHA2/IGHV3-21/IGHV3-11/C1QB/IGHV1-58/IGHV1-3/IGHG1/IGHV3-53/IGHV4-34/IGHV4-59/IGHV2-26/IGHV3-15/IGHA1/C1QC/IGHV1-69-2/IGHV3-64D/IGHG3/IGHV3-66/IGHD/IGHV3-20/IGHV3-33/IGHV3-49/IGLC2/IGHV1-69D/IGHV3-73/IGHV1-24/IGLC3/IGHG4/IGLC6/IGHV6-1/IGHV2-70D/IGHV4-4/IGHV3-74/IGHG2/IGHV1-18/IGHV1-69/IGHV3-72/IGHV3-23/IGHV4-39/IGLC7/IGHV3-48",54
"GO:0019724","B cell mediated immunity","54/343","141/13352",0.382978723404255,14.9082563116432,26.9585417659948,1.07816664194795e-49,1.37304521852071e-46,1.37304521852071e-46,"IGHV4-61/IGKC/IGHV2-70/IGHV2-5/IGLC1/IGHV3-43/IGHV3-30/IGHV3-13/IGHV7-4-1/IGHV5-51/IGHV3-64/IGHV3-7/IGLL5/IGHA2/IGHV3-21/IGHV3-11/C1QB/IGHV1-58/IGHV1-3/IGHG1/IGHV3-53/IGHV4-34/IGHV4-59/IGHV2-26/IGHV3-15/IGHA1/C1QC/IGHV1-69-2/IGHV3-64D/IGHG3/IGHV3-66/IGHD/IGHV3-20/IGHV3-33/IGHV3-49/IGLC2/IGHV1-69D/IGHV3-73/IGHV1-24/IGLC3/IGHG4/IGLC6/IGHV6-1/IGHV2-70D/IGHV4-4/IGHV3-74/IGHG2/IGHV1-18/IGHV1-69/IGHV3-72/IGHV3-23/IGHV4-39/IGLC7/IGHV3-48",54
"GO:0002449","lymphocyte mediated immunity","55/343","284/13352",0.193661971830986,7.53870159733914,18.085400325586,6.88426156192365e-33,5.84473806607318e-30,5.84473806607318e-30,"IGHV4-61/IGKC/IGHV2-70/IGHV2-5/IGLC1/IGHV3-43/IGHV3-30/IGHV3-13/IGHV7-4-1/IGHV5-51/IGHV3-64/IGHV3-7/IGLL5/IGHA2/IGHV3-21/IGHV3-11/C1QB/IGHV1-58/IGHV1-3/IGHG1/IGHV3-53/IGHV4-34/IGHV4-59/IGHV2-26/IGHV3-15/IGHA1/C1QC/IGHV1-69-2/RSAD2/IGHV3-64D/IGHG3/IGHV3-66/IGHD/IGHV3-20/IGHV3-33/IGHV3-49/IGLC2/IGHV1-69D/IGHV3-73/IGHV1-24/IGLC3/IGHG4/IGLC6/IGHV6-1/IGHV2-70D/IGHV4-4/IGHV3-74/IGHG2/IGHV1-18/IGHV1-69/IGHV3-72/IGHV3-23/IGHV4-39/IGLC7/IGHV3-48",55
"GO:0002443","leukocyte mediated immunity","60/343","365/13352",0.164383561643836,6.39897759495187,16.9818710309001,1.0300049895985e-31,6.55855677126847e-29,6.55855677126847e-29,"IGHV4-61/IGKC/IGHV2-70/IGHV2-5/IGLC1/IGHV3-43/IGHV3-30/IGHV3-13/IGHV7-4-1/IGHV5-51/IGHV3-64/IGHV3-7/IGLL5/IGHA2/IGHV3-21/IGHV3-11/C1QB/IGHV1-58/IGHV1-3/IGHG1/IGHV3-53/IGHV4-34/IGHV4-59/CTSG/IGHV2-26/IGHV3-15/MPO/IGHA1/AZU1/C1QC/IGHV1-69-2/RSAD2/IGHV3-64D/IGHG3/IGHV3-66/IGHD/STAP1/IGHV3-20/IGHV3-33/IGHV3-49/IGLC2/IGHV1-69D/ELANE/IGHV3-73/IGHV1-24/IGLC3/IGHG4/IGLC6/IGHV6-1/IGHV2-70D/IGHV4-4/IGHV3-74/IGHG2/IGHV1-18/IGHV1-69/IGHV3-72/IGHV3-23/IGHV4-39/IGLC7/IGHV3-48",60
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","55/343","312/13352",0.176282051282051,6.86215145398819,17.0128681832615,1.12408137352728e-30,5.72607051674796e-28,5.72607051674796e-28,"IGHV4-61/IGKC/IGHV2-70/IGHV2-5/IGLC1/IGHV3-43/IGHV3-30/IGHV3-13/IGHV7-4-1/IGHV5-51/IGHV3-64/IGHV3-7/IGLL5/IGHA2/IGHV3-21/IGHV3-11/C1QB/IGHV1-58/IGHV1-3/IGHG1/IGHV3-53/IGHV4-34/IGHV4-59/IGHV2-26/IGHV3-15/IGHA1/C1QC/IGHV1-69-2/RSAD2/IGHV3-64D/IGHG3/IGHV3-66/IGHD/IGHV3-20/IGHV3-33/IGHV3-49/IGLC2/IGHV1-69D/IGHV3-73/IGHV1-24/IGLC3/IGHG4/IGLC6/IGHV6-1/IGHV2-70D/IGHV4-4/IGHV3-74/IGHG2/IGHV1-18/IGHV1-69/IGHV3-72/IGHV3-23/IGHV4-39/IGLC7/IGHV3-48",55
"GO:0019731","antibacterial humoral response","24/343","50/13352",0.48,18.6850145772595,20.342951030978,2.02937572217927e-25,8.61469994065101e-23,8.61469994065101e-23,"LTF/H2BC5/DEFA1/H2BC7/BPI/RNASE3/IGHA2/IGHG1/CTSG/H2BC9/DEFA4/IGHA1/IGHG3/CAMP/IGHM/DEFA1B/JCHAIN/DEFA3/IGHD/H2BC17/ELANE/IGHG4/IGHG2/IGKV3-20",24
"GO:0019730","antimicrobial humoral response","30/343","98/13352",0.306122448979592,11.9164633783543,17.6117907971806,1.64148029587836e-24,5.97264330514598e-22,5.97264330514598e-22,"LTF/H2BC5/DEFA1/CXCL2/H2BC7/BPI/CCL2/RNASE3/IGHA2/IGHG1/CTSG/H2BC9/DEFA4/IGHA1/AZU1/IGHG3/CAMP/IGHM/DEFA1B/JCHAIN/DEFA3/IGHD/H2BC17/PRTN3/ELANE/CCL7/IGHG4/IGHG2/CXCL10/IGKV3-20",30
"GO:0006959","humoral immune response","35/343","165/13352",0.212121212121212,8.25726654298083,15.2308466032536,1.58996450757817e-22,5.062049501002e-20,5.062049501002e-20,"LTF/H2BC5/DEFA1/CXCL2/H2BC7/BPI/CCL2/RNASE3/IGHA2/C1QB/IGHG1/CTSG/H2BC9/DEFA4/IGHA1/AZU1/C1QC/IGHG3/CAMP/IGHM/DEFA1B/JCHAIN/DEFA3/IGHD/H2BC17/PRTN3/ELANE/CCL7/IGHG4/IGHG2/CXCL10/BLNK/SERPING1/IGKV3-20/POU2AF1",35
"GO:0051783","regulation of nuclear division","29/343","109/13352",0.26605504587156,10.356755021799,15.9267557379722,8.37663525632553e-22,2.37058777754012e-19,2.37058777754013e-19,"AURKB/TTK/ZWINT/MAD2L1BP/BUB1/NUF2/PLK1/HASPIN/NEK2/FBXO5/SPC25/UBE2C/CCNB1/KNL1/IGF1/CDC20/RAD51AP1/BIRC5/DLGAP5/NUSAP1/SKA3/MKI67/CHEK1/PKMYT1/CDCA2/BUB1B/SKA1/SPC24/TRIP13",29
"GO:0000280","nuclear division","47/343","342/13352",0.137426900584795,5.34963258486352,13.2314968992523,1.80641782885088e-21,4.60094621008319e-19,4.60094621008319e-19,"NCAPG/AURKB/TTK/ZWINT/MAD2L1BP/CDT1/BUB1/NUF2/PLK1/HASPIN/NEK2/FBXO5/SPC25/UBE2C/CCNB1/PTTG1/MND1/CDK1/KNL1/IGF1/CDC20/RAD51AP1/KIF11/BIRC5/DLGAP5/KIF23/RAD51/NUSAP1/TOP2A/KIF2C/CCNA1/RAD54L/CENPE/TPX2/SKA3/ANLN/MKI67/CHEK1/PKMYT1/CDCA2/BUB1B/KIFC1/SKA1/SPC24/SPAG5/KIF4A/TRIP13",47
