"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019814","immunoglobulin complex","112/377","122/14065",0.918032786885246,34.249684741488,61.2131092044648,1.63535213695365e-170,4.79158176127419e-168,4.79158176127419e-168,"IGKV6-21/IGHV3-15/IGKV3D-15/IGHV2-70/IGLC2/IGKV1-39/IGLV8-61/IGLV2-23/IGLV4-60/IGKV1D-39/IGKV2-30/IGLV2-11/IGHV4-61/IGHV1-69-2/IGHV3-20/IGKV1D-33/IGHV3-53/IGLV2-8/IGLV6-57/IGKV5-2/IGKV1-6/IGLC3/IGHV3-7/IGHG2/IGLV2-18/IGHV1-58/IGLV3-19/IGKC/IGLV1-47/IGHV3-73/IGHA1/IGHV7-4-1/IGKV1-12/IGHV3-49/IGKV1-8/IGLC6/IGKV1D-17/IGHG4/IGHV4-34/IGLV1-51/IGHV1-3/IGHV4-4/IGHV3-74/IGLV1-36/IGKV2-40/IGHV2-26/IGHV3-43/IGLV2-14/JCHAIN/IGLV10-54/IGKV1-16/IGKV2D-30/IGLC1/IGHV6-1/IGKV2D-29/IGKV1D-13/IGHV1-18/IGHG1/IGLV9-49/IGHV3-66/IGKV1D-8/IGLL5/IGLV5-45/IGHV3-21/IGHV4-59/IGHD/IGLV3-9/IGLV1-40/IGKV1-17/IGHV3-11/IGKV3-15/IGHA2/IGLV3-27/IGLV3-25/IGHV1-69/IGHM/IGHV2-5/IGKV2-28/IGKV4-1/IGHV1-69D/IGLV7-46/IGKV1-27/IGLV5-37/IGKV3D-11/IGLV4-69/IGKV6D-21/IGKV2-24/IGKV3-20/IGHV3-33/IGKV1-9/IGLV3-16/IGLC7/IGKV1-5/IGHG3/IGHV1-24/IGLV1-44/IGHV2-70D/IGHV4-39/IGHV3-72/IGHV3-23/IGKV2-29/IGKV2D-28/IGLV3-10/IGLV3-21/IGHV3-48/IGHV3-64/IGHV5-51/IGHV3-30/IGHV3-13/IGHV3-64D/IGKV3D-20/IGLV7-43",112
"GO:0072562","blood microparticle","33/377","101/14065",0.326732673267327,12.1896420411272,18.7295380562701,2.81384490009636e-27,4.12228277864117e-25,4.12228277864117e-25,"IGLC2/IGKV1-39/C4BPA/IGKV2-30/IGKV1D-33/LGALS3BP/C1QC/IGLC3/IGHV3-7/IGHG2/C1QB/IGKC/IGLV1-47/IGHA1/IGHG4/JCHAIN/IGLC1/IGHG1/IGHD/IGKV1-17/IGKV3-15/IGHA2/IGLV3-25/IGHM/IGKV4-1/SERPING1/IGKV3-20/IGKV1-5/IGHG3/IGHV3-23/IGKV2D-28/IGLV3-21/IGHV3-13",33
"GO:0042571","immunoglobulin complex, circulating","10/377","12/14065",0.833333333333333,31.0897435897436,17.3053223141334,1.07103665582927e-14,1.04604580052658e-12,1.04604580052658e-12,"IGHG2/IGHA1/IGHG4/JCHAIN/IGHG1/IGHD/IGHA2/IGHM/IGKV3-20/IGHG3",10
"GO:0000940","outer kinetochore","11/377","20/14065",0.55,20.5192307692308,14.4967927572112,6.00852886440773e-13,4.40124739317867e-11,4.40124739317867e-11,"SPC24/ZWINT/PLK1/SKA3/KNL1/NUF2/CCNB1/BUB1/SKA1/BUB1B/SPC25",11
"GO:0098687","chromosomal region","36/377","382/14065",0.0942408376963351,3.51590817559404,8.27353122052064,5.03692677477182e-11,2.80509688977638e-09,2.80509688977638e-09,"SPC24/CENPM/SPAG5/CDCA5/ZWINT/OIP5/CDC20/NEK2/PLK1/SKA3/CDK1/MCM2/KNL1/ORC1/DSCC1/CDT1/TOP2A/AURKB/RECQL4/RAD51/NUF2/CHEK1/KIF2C/CCNB1/NCAPG/RAD51AP1/SNAI1/BUB1/MCM4/BIRC5/CENPE/SKA1/TTK/HJURP/BUB1B/SPC25",36
"GO:0000775","chromosome, centromeric region","28/377","240/14065",0.116666666666667,4.3525641025641,8.6937119605972,5.74422571285266e-11,2.80509688977638e-09,2.80509688977638e-09,"SPC24/CENPM/SPAG5/CDCA5/ZWINT/OIP5/CDC20/NEK2/PLK1/SKA3/KNL1/DSCC1/CDT1/TOP2A/AURKB/NUF2/KIF2C/CCNB1/NCAPG/SNAI1/BUB1/BIRC5/CENPE/SKA1/TTK/HJURP/BUB1B/SPC25",28
"GO:0000793","condensed chromosome","28/377","253/14065",0.110671936758893,4.12891456369717,8.33452370547966,1.99758915383837e-10,8.36133745820917e-09,8.36133745820917e-09,"SPC24/CENPM/SPAG5/ZWINT/CDC20/NEK2/PLK1/SKA3/KNL1/CDT1/TOP2A/AURKB/RAD51/NUF2/CHEK1/KIF2C/CCNB1/NCAPG/BUB1/BIRC5/CENPE/MKI67/SKA1/TTK/HJURP/BUB1B/CDCA2/SPC25",28
"GO:0000779","condensed chromosome, centromeric region","23/377","176/14065",0.130681818181818,4.87543706293706,8.58611377417798,3.25825888106193e-10,1.19333731518893e-08,1.19333731518893e-08,"SPC24/CENPM/SPAG5/ZWINT/CDC20/NEK2/PLK1/SKA3/KNL1/CDT1/AURKB/NUF2/KIF2C/CCNB1/NCAPG/BUB1/BIRC5/CENPE/SKA1/TTK/HJURP/BUB1B/SPC25",23
"GO:0000776","kinetochore","22/377","166/14065",0.132530120481928,4.94439295644115,8.4839391877312,6.06782279937121e-10,1.97541342246196e-08,1.97541342246196e-08,"SPC24/CENPM/SPAG5/ZWINT/CDC20/NEK2/PLK1/SKA3/KNL1/CDT1/AURKB/NUF2/KIF2C/CCNB1/BUB1/BIRC5/CENPE/SKA1/TTK/HJURP/BUB1B/SPC25",22
"GO:0005819","spindle","31/377","399/14065",0.0776942355889724,2.89859263543474,6.38487849909742,1.10026809226521e-07,3.22378551033706e-06,3.22378551033706e-06,"DLGAP5/MAD2L1BP/DIAPH3/CKAP2L/SPAG5/CDC20/CDC6/NEK2/PLK1/SKA3/KIFC1/CDK1/KIF4A/AURKB/KIF11/KIF23/HMMR/FBXO5/KIF2C/HASPIN/CCNB1/KIF20A/SHCBP1/TPX2/BIRC5/CENPE/SKA1/ASPM/TTK/BUB1B/NUSAP1",31
"GO:0034774","secretory granule lumen","24/377","287/14065",0.0836236933797909,3.11980702224605,6.02142512482055,8.49934691608184e-07,2.26391695128362e-05,2.26391695128362e-05,"CTSG/PRTN3/PRDX4/LGALS3BP/JUP/AZU1/DEFA3/CAMP/MMP8/OLFM4/BPI/IGF1/MPO/RNASE3/RNASE2/DEFA1B/LTF/DEFA4/SERPING1/TXNDC5/LCN2/CHIT1/DEFA1/ELANE",24
"GO:0060205","cytoplasmic vesicle lumen","24/377","292/14065",0.0821917808219178,3.0663856691254,5.92166232820348,1.15798023478025e-06,2.77387325142996e-05,2.77387325142996e-05,"CTSG/PRTN3/PRDX4/LGALS3BP/JUP/AZU1/DEFA3/CAMP/MMP8/OLFM4/BPI/IGF1/MPO/RNASE3/RNASE2/DEFA1B/LTF/DEFA4/SERPING1/TXNDC5/LCN2/CHIT1/DEFA1/ELANE",24
"GO:0031983","vesicle lumen","24/377","293/14065",0.0819112627986348,3.05592018902599,5.90196541397636,1.23072874636824e-06,2.77387325142996e-05,2.77387325142996e-05,"CTSG/PRTN3/PRDX4/LGALS3BP/JUP/AZU1/DEFA3/CAMP/MMP8/OLFM4/BPI/IGF1/MPO/RNASE3/RNASE2/DEFA1B/LTF/DEFA4/SERPING1/TXNDC5/LCN2/CHIT1/DEFA1/ELANE",24
"GO:0072686","mitotic spindle","17/377","161/14065",0.105590062111801,3.9393215480172,6.2250846669802,1.51197061668612e-06,3.16433850492166e-05,3.16433850492166e-05,"DLGAP5/CKAP2L/SPAG5/PLK1/SKA3/KIFC1/CDK1/AURKB/KIF11/KIF23/KIF20A/SHCBP1/TPX2/CENPE/SKA1/ASPM/NUSAP1",17
"GO:0005766","primary lysosome","16/377","151/14065",0.105960264900662,3.95313295975548,6.05481085156238,2.9364775325985e-06,5.37742448157101e-05,5.37742448157101e-05,"CTSG/ABCA13/PRTN3/AZU1/DEFA3/BPI/MPO/RNASE3/RNASE2/DEFA1B/DEFA4/CEACAM6/TXNDC5/CEACAM8/DEFA1/ELANE",16
"GO:0042582","azurophil granule","16/377","151/14065",0.105960264900662,3.95313295975548,6.05481085156238,2.9364775325985e-06,5.37742448157101e-05,5.37742448157101e-05,"CTSG/ABCA13/PRTN3/AZU1/DEFA3/BPI/MPO/RNASE3/RNASE2/DEFA1B/DEFA4/CEACAM6/TXNDC5/CEACAM8/DEFA1/ELANE",16
"GO:0035578","azurophil granule lumen","12/377","87/14065",0.137931034482759,5.14588859416446,6.43739030717596,3.3483533600144e-06,5.77098549696599e-05,5.77098549696599e-05,"CTSG/PRTN3/AZU1/DEFA3/BPI/MPO/RNASE3/RNASE2/DEFA1B/TXNDC5/DEFA1/ELANE",12
"GO:0032993","protein-DNA complex","17/377","174/14065",0.0977011494252874,3.64500442086649,5.82625349469179,4.41007139244289e-06,6.63701520138883e-05,6.63701520138883e-05,"H2BC7/H2AC13/H2BC9/JUP/CDC45/H3C3/MCM2/RAD51/H3C12/H1-5/HESX1/H3C2/MCM4/GINS2/H3C8/H2BC5/H2BC17",17
"GO:0042581","specific granule","16/377","156/14065",0.102564102564103,3.82642998027613,5.89125311472154,4.49961430617998e-06,6.63701520138883e-05,6.63701520138883e-05,"MS4A3/JUP/SLC2A5/CAMP/MMP8/OLFM4/BPI/PLAU/LTF/DEFA4/OLR1/TARM1/CEACAM8/LCN2/CHIT1/ELANE",16
"GO:0035580","specific granule lumen","10/377","61/14065",0.163934426229508,6.11601513240857,6.64547138880631,4.53038580299579e-06,6.63701520138883e-05,6.63701520138883e-05,"JUP/CAMP/MMP8/OLFM4/BPI/LTF/DEFA4/LCN2/CHIT1/ELANE",10
"GO:0000786","nucleosome","10/377","74/14065",0.135135135135135,5.04158004158004,5.78492551516184,2.64866438994544e-05,0.000369551745835245,0.000369551745835245,"H2BC7/H2AC13/H2BC9/H3C3/H3C12/H1-5/H3C2/H3C8/H2BC5/H2BC17",10
"GO:0031261","DNA replication preinitiation complex","4/377","12/14065",0.333333333333333,12.4358974358974,6.57705475253814,0.000212013160782083,0.00282362982314319,0.00282362982314319,"CDC45/MCM2/MCM4/GINS2",4
"GO:0005876","spindle microtubule","9/377","80/14065",0.1125,4.19711538461538,4.75912568320869,0.000280844251617167,0.00357771155320999,0.00357771155320999,"PLK1/SKA3/CDK1/KIF4A/AURKB/KIF11/BIRC5/CENPE/SKA1",9
"GO:0030496","midbody","14/377","179/14065",0.0782122905027933,2.91792006875806,4.28571753807712,0.000334890694270749,0.00408845722588872,0.00408845722588872,"SPAG5/NEK2/PLK1/CDK1/KIF4A/AURKB/KIF23/KIF20A/CEP55/SHCBP1/BIRC5/CENPE/ANLN/ASPM",14
"GO:0005775","vacuolar lumen","13/377","159/14065",0.0817610062893082,3.05031446540881,4.3149228109162,0.000353750124212782,0.00414595145577381,0.00414595145577381,"CTSG/PRTN3/AZU1/DEFA3/BPI/MPO/RNASE3/RNASE2/DEFA1B/SDC1/TXNDC5/DEFA1/ELANE",13
"GO:0000922","spindle pole","13/377","173/14065",0.0751445086705202,2.80346820809249,3.96099469578607,0.000789731778499278,0.0088996696577034,0.0088996696577034,"DLGAP5/DIAPH3/CKAP2L/SPAG5/CDC20/CDC6/NEK2/PLK1/AURKB/KIF11/CCNB1/TPX2/ASPM",13
"GO:0005874","microtubule","22/377","405/14065",0.054320987654321,2.02659069325736,3.4790012949772,0.0013891529913933,0.015074882462157,0.015074882462157,"SPAG5/NEK2/PLK1/SKA3/KIFC1/CDK1/KIF4A/AURKB/STMN1/MX1/KIF11/KIF23/HID1/KIF2C/KIF20A/TPX2/BIRC5/CENPE/SKA1/ASPM/GTSE1/NUSAP1",22
"GO:0071162","CMG complex","3/377","10/14065",0.3,11.1923076923077,5.35071977205799,0.00199252727712204,0.0208503747213128,0.0208503747213128,"MCM2/MCM4/GINS2",3
"GO:0051233","spindle midzone","5/377","36/14065",0.138888888888889,5.18162393162393,4.1690583261726,0.00256281728979352,0.0258932919279139,0.0258932919279139,"CDC6/PLK1/AURKB/BIRC5/CENPE",5
"GO:0072687","meiotic spindle","3/377","12/14065",0.25,9.32692307692308,4.78901015893892,0.00351010168071829,0.0339698215272143,0.0339698215272143,"SKA3/FBXO5/ASPM",3
"GO:0000228","nuclear chromosome","13/377","205/14065",0.0634146341463415,2.36585365853659,3.2692986217071,0.00359407668035373,0.0339698215272143,0.0339698215272143,"POLE2/NEK2/PLK1/MCM2/ORC1/TOP2A/RAD51/MCM10/CHEK1/NCAPG/MCM4/GINS2/BIRC5",13
"GO:0005871","kinesin complex","5/377","42/14065",0.119047619047619,4.44139194139194,3.70675106728984,0.00507342241977308,0.0464535240310472,0.0464535240310472,"KIFC1/KIF11/KIF23/KIF2C/KIF20A",5
