"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019814","immunoglobulin complex","112/354","122/14065",0.918032786885246,36.4749467444661,63.2331836715418,3.71691301287791e-174,1.03330181758006e-171,1.03330181758006e-171,"IGKV6-21/IGLV4-60/IGHV3-15/IGKV3D-15/IGHV2-70/IGLC2/IGKV1-39/IGLV8-61/IGLV2-23/IGKV1-8/IGKV1D-39/IGKV2-30/IGLV2-11/IGHV4-61/IGHV1-69-2/IGHV3-20/IGKV1D-33/IGHV3-53/IGLV2-8/IGLV6-57/IGLV3-25/IGKV1-17/IGHA2/IGLV3-27/IGHG2/IGLV2-18/IGHV1-58/IGLV3-19/IGLV10-54/IGKC/IGLV1-47/IGHV3-73/IGHA1/IGHV7-4-1/IGKV1-12/IGKV3-15/IGHV3-11/IGHV3-49/IGHV2-5/IGKV1D-17/IGHG4/IGHV4-34/IGLV1-51/IGHV1-3/IGHV4-4/IGHV3-74/IGLV1-36/IGKV2-40/IGHV2-26/IGHV3-43/IGLV2-14/IGLC6/JCHAIN/IGKV1-16/IGKV2D-30/IGLC1/IGHV6-1/IGKV2D-29/IGHV1-69/IGLV9-49/IGHV3-66/IGKV1D-8/IGHV1-18/IGKV1D-13/IGLL5/IGLV5-45/IGHV3-21/IGHV4-59/IGHD/IGLV3-9/IGLV1-40/IGKV2-28/IGKV4-1/IGHV1-69D/IGLV7-46/IGHV3-7/IGKV1-27/IGLV5-37/IGHM/IGKV3D-11/IGLV4-69/IGKV6D-21/IGKV2-24/IGKV3-20/IGHV3-33/IGLV3-16/IGLC7/IGKV1-5/IGHG3/IGKV1-6/IGLC3/IGHV1-24/IGLV1-44/IGHV2-70D/IGHV4-39/IGHV3-72/IGHV3-23/IGKV2-29/IGKV2D-28/IGLV3-10/IGLV3-21/IGHV3-48/IGHV3-64/IGHV5-51/IGHG1/IGHV3-30/IGHV3-13/IGHV3-64D/IGKV3D-20/IGLV7-43/IGKV1-9/IGKV5-2",112
"GO:0072562","blood microparticle","32/354","101/14065",0.316831683168317,12.588241875035,18.7799664769246,7.26112244792084e-27,1.009296020261e-24,1.009296020261e-24,"IGLC2/IGKV1-39/IGKV2-30/IGKV1D-33/LGALS3BP/IGLV3-25/IGKV1-17/IGHA2/IGHG2/C1QB/IGKC/IGLV1-47/IGHA1/IGKV3-15/IGHG4/JCHAIN/IGLC1/IGHD/IGKV4-1/IGHV3-7/IGHM/SERPING1/IGKV3-20/IGKV1-5/IGHG3/IGLC3/IGHV3-23/IGKV2D-28/IGLV3-21/C1QC/IGHG1/IGHV3-13",32
"GO:0042571","immunoglobulin complex, circulating","10/354","12/14065",0.833333333333333,33.1096986817326,17.8798480844434,5.67960545596542e-15,5.26310105586129e-13,5.26310105586129e-13,"IGHA2/IGHG2/IGHA1/IGHG4/JCHAIN/IGHD/IGHM/IGKV3-20/IGHG3/IGHG1",10
"GO:0000940","outer kinetochore","11/354","20/14065",0.55,21.8524011299435,14.9944897345251,3.01889353045746e-13,2.09813100366793e-11,2.09813100366793e-11,"SPC24/ZWINT/KNL1/NUF2/CCNB1/BUB1/PLK1/SKA1/BUB1B/SKA3/SPC25",11
"GO:0098687","chromosomal region","36/354","382/14065",0.0942408376963351,3.74434288756766,8.73777555877357,8.20257289014159e-12,4.56063052691872e-10,4.56063052691872e-10,"SPC24/CENPM/SPAG5/CDCA5/ZWINT/OIP5/CDC20/NEK2/SNAI1/CDK1/ORC1/DSCC1/CDT1/TOP2A/AURKB/RECQL4/RAD51AP1/MCM2/KNL1/RAD51/NUF2/KIF2C/CHEK1/CCNB1/NCAPG/BUB1/MCM4/BIRC5/CENPE/PLK1/SKA1/TTK/HJURP/BUB1B/SKA3/SPC25",36
"GO:0000775","chromosome, centromeric region","28/354","240/14065",0.116666666666667,4.63535781544256,9.12728704038767,1.29746299477641e-11,6.01157854246405e-10,6.01157854246405e-10,"SPC24/CENPM/SPAG5/CDCA5/ZWINT/OIP5/CDC20/NEK2/SNAI1/DSCC1/CDT1/TOP2A/AURKB/KNL1/NUF2/KIF2C/CCNB1/NCAPG/BUB1/BIRC5/CENPE/PLK1/SKA1/TTK/HJURP/BUB1B/SKA3/SPC25",28
"GO:0000793","condensed chromosome","28/354","253/14065",0.110671936758893,4.39717737433287,8.76136337951121,4.60785658205186e-11,1.8299773283006e-09,1.8299773283006e-09,"SPC24/CENPM/SPAG5/ZWINT/CDC20/NEK2/CDT1/TOP2A/AURKB/KNL1/RAD51/NUF2/KIF2C/CHEK1/CCNB1/NCAPG/BUB1/BIRC5/CENPE/MKI67/PLK1/SKA1/TTK/HJURP/BUB1B/SKA3/CDCA2/SPC25",28
"GO:0000779","condensed chromosome, centromeric region","23/354","176/14065",0.130681818181818,5.19220274781715,8.99258636967176,9.35434103449297e-11,3.25063350948631e-09,3.25063350948631e-09,"SPC24/CENPM/SPAG5/ZWINT/CDC20/NEK2/CDT1/AURKB/KNL1/NUF2/KIF2C/CCNB1/NCAPG/BUB1/BIRC5/CENPE/PLK1/SKA1/TTK/HJURP/BUB1B/SKA3/SPC25",23
"GO:0000776","kinetochore","22/354","166/14065",0.132530120481928,5.26563882649241,8.88316730750557,1.83501570790866e-10,5.66815963109564e-09,5.66815963109564e-09,"SPC24/CENPM/SPAG5/ZWINT/CDC20/NEK2/CDT1/AURKB/KNL1/NUF2/KIF2C/CCNB1/BUB1/BIRC5/CENPE/PLK1/SKA1/TTK/HJURP/BUB1B/SKA3/SPC25",22
"GO:0005819","spindle","31/354","399/14065",0.0776942355889724,3.0869192755901,6.79505356335403,2.61313003624835e-08,7.26450150077042e-07,7.26450150077042e-07,"DLGAP5/MAD2L1BP/DIAPH3/CKAP2L/SPAG5/CDC20/CDC6/NEK2/KIFC1/CDK1/KIF4A/AURKB/KIF11/KIF23/KIF2C/FBXO5/HASPIN/CCNB1/KIF20A/SHCBP1/TPX2/BIRC5/CENPE/HMMR/PLK1/SKA1/ASPM/TTK/BUB1B/SKA3/NUSAP1",31
