"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSEMBL","SYMBOL","Regulation"
"ENSG00000133101",37.0711614932459,2.02424258991859,0.284072718421169,7.12579018910724,1.03485253958659e-12,5.17271429014305e-11,"ENSG00000133101","CCNA1","Upregulated"
"ENSG00000093009",26.5406942717889,1.56232813746007,0.17217047613765,9.07430921089509,1.14400855296503e-19,1.38135586961633e-17,"ENSG00000093009","CDC45","Upregulated"
"ENSG00000145386",43.6651978958069,1.47580665385276,0.149480409166797,9.8729101832066,5.45583115756899e-23,9.18963695145486e-21,"ENSG00000145386","CCNA2","Upregulated"
"ENSG00000274641",5.58724064356316,1.39835265044974,0.2197903774947,6.36221051344006,1.98870617078125e-10,6.84907671600332e-09,"ENSG00000274641","H2BC17","Upregulated"
"ENSG00000094804",34.0839758925252,1.35424911024721,0.134525851165774,10.066831753983,7.74322868102413e-24,1.33797651450386e-21,"ENSG00000094804","CDC6","Upregulated"
"ENSG00000085840",18.827128558337,1.35341862281773,0.172830124643598,7.83091851382209,4.84318511233308e-15,3.43027570288354e-13,"ENSG00000085840","ORC1","Upregulated"
"ENSG00000073111",94.5680278922097,1.11502256810241,0.147552631408881,7.55677860473112,4.13174349713272e-14,2.48698698668253e-12,"ENSG00000073111","MCM2","Upregulated"
"ENSG00000104738",102.957438498849,1.08459906556654,0.140520273490816,7.71845256647202,1.1775046468393e-14,7.71304024223754e-13,"ENSG00000104738","MCM4","Upregulated"
"ENSG00000277224",59.8296653248095,1.0782036366757,0.147555578935961,7.30710180157703,2.72965756284982e-13,1.47475084069439e-11,"ENSG00000277224","H2BC7","Upregulated"
"ENSG00000158373",128.787769289888,1.06992282292609,0.137295196673421,7.79286419954718,6.55070153763379e-15,4.52766419380454e-13,"ENSG00000158373","H2BC5","Upregulated"
"ENSG00000065328",18.0335711607248,1.03123570646764,0.179360700005823,5.74950759243335,8.95037340364387e-09,2.28828169008467e-07,"ENSG00000065328","MCM10","Upregulated"
"ENSG00000275713",14.0873962797327,1.00978030352881,0.15879814088874,6.35889247743969,2.03213584979167e-10,6.97851723744761e-09,"ENSG00000275713","H2BC9","Upregulated"
"ENSG00000274290",21.1394464592782,0.94441328960899,0.148032480636799,6.37977074724655,1.77353275740713e-10,6.17164767178272e-09,"ENSG00000274290","H2BC6","Not significant"
"ENSG00000276180",19.6411641788286,0.782050475952282,0.181249279322239,4.31477840285309,1.59763079698018e-05,0.000187597608053138,"ENSG00000276180","H4C9","Not significant"
"ENSG00000197061",286.576346191307,0.775404564592449,0.168555281469269,4.60029823944627,4.21886474817079e-06,5.7424118012286e-05,"ENSG00000197061","H4C3","Not significant"
"ENSG00000158406",205.051386420893,0.74955897984726,0.109161629524389,6.86650596105103,6.57934280432488e-12,2.93058549266417e-10,"ENSG00000158406","H4C8","Not significant"
"ENSG00000076003",113.081579686514,0.735526252608583,0.117895602317791,6.23879295027436,4.40960187940709e-10,1.43251312918696e-08,"ENSG00000076003","MCM6","Not significant"
"ENSG00000163918",36.6744849031859,0.712643065101774,0.127531603864186,5.587972263414,2.2973632551179e-08,5.30510934165706e-07,"ENSG00000163918","RFC4","Not significant"
"ENSG00000180596",1409.96227005303,0.675179749820635,0.134382899011649,5.02429814199877,5.05276922298525e-07,8.59013624304633e-06,"ENSG00000180596","H2BC4","Not significant"
"ENSG00000124635",31.4913837146734,0.637088903542284,0.106171657329008,6.00055532304684,1.96643836461178e-09,5.75405701901876e-08,"ENSG00000124635","H2BC11","Not significant"
"ENSG00000006634",61.1940039409419,0.557730589562589,0.12181618240541,4.57846058339306,4.68410406684764e-06,6.30213649120547e-05,"ENSG00000006634","DBF4","Not significant"
"ENSG00000161057",195.236178642276,0.554497515958,0.0923851694259342,6.00201871581288,1.94879231013252e-09,5.71912050721761e-08,"ENSG00000161057","PSMC2","Not significant"
"ENSG00000133119",16.4152274347349,0.551663879168011,0.136399778205592,4.04446316867541,5.24431516658788e-05,0.00052611137737281,"ENSG00000133119","RFC3","Not significant"
"ENSG00000273802",156.406173584786,0.507633261472501,0.129142396411902,3.93080255265974,8.46627801205495e-05,0.000795957206724341,"ENSG00000273802","H2BC8","Not significant"
"ENSG00000112118",131.080393857022,0.505789765345298,0.127368656579348,3.97106932685753,7.15507525485529e-05,0.000689170247036615,"ENSG00000112118","MCM3","Not significant"
"ENSG00000111445",32.1026079965193,0.494146325972236,0.113025201320944,4.37200128995186,1.23112797934681e-05,0.000149658827838798,"ENSG00000111445","RFC5","Not significant"
"ENSG00000166508",454.336469760469,0.487726892384524,0.108256045175864,4.50530860971506,6.62765509527859e-06,8.63188555748954e-05,"ENSG00000166508","MCM7","Not significant"
"ENSG00000091651",24.3104563680161,0.473010913212854,0.140500428793745,3.36661544220079,0.000760967240519586,0.00523073640911337,"ENSG00000091651","ORC6","Not significant"
