"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSEMBL","SYMBOL","Regulation"
"ENSG00000275713",14.0873962797327,1.00978030352881,0.15879814088874,6.35889247743969,2.03213584979167e-10,6.97851723744761e-09,"ENSG00000275713","H2BC9","Upregulated"
"ENSG00000065328",18.0335711607248,1.03123570646764,0.179360700005823,5.74950759243335,8.95037340364387e-09,2.28828169008467e-07,"ENSG00000065328","MCM10","Upregulated"
"ENSG00000158373",128.787769289888,1.06992282292609,0.137295196673421,7.79286419954718,6.55070153763379e-15,4.52766419380454e-13,"ENSG00000158373","H2BC5","Upregulated"
"ENSG00000277224",59.8296653248095,1.0782036366757,0.147555578935961,7.30710180157703,2.72965756284982e-13,1.47475084069439e-11,"ENSG00000277224","H2BC7","Upregulated"
"ENSG00000104738",102.957438498849,1.08459906556654,0.140520273490816,7.71845256647202,1.1775046468393e-14,7.71304024223754e-13,"ENSG00000104738","MCM4","Upregulated"
"ENSG00000073111",94.5680278922097,1.11502256810241,0.147552631408881,7.55677860473112,4.13174349713272e-14,2.48698698668253e-12,"ENSG00000073111","MCM2","Upregulated"
"ENSG00000085840",18.827128558337,1.35341862281773,0.172830124643598,7.83091851382209,4.84318511233308e-15,3.43027570288354e-13,"ENSG00000085840","ORC1","Upregulated"
"ENSG00000094804",34.0839758925252,1.35424911024721,0.134525851165774,10.066831753983,7.74322868102413e-24,1.33797651450386e-21,"ENSG00000094804","CDC6","Upregulated"
"ENSG00000274641",5.58724064356316,1.39835265044974,0.2197903774947,6.36221051344006,1.98870617078125e-10,6.84907671600332e-09,"ENSG00000274641","H2BC17","Upregulated"
"ENSG00000145386",43.6651978958069,1.47580665385276,0.149480409166797,9.8729101832066,5.45583115756899e-23,9.18963695145486e-21,"ENSG00000145386","CCNA2","Upregulated"
"ENSG00000093009",26.5406942717889,1.56232813746007,0.17217047613765,9.07430921089509,1.14400855296503e-19,1.38135586961633e-17,"ENSG00000093009","CDC45","Upregulated"
"ENSG00000133101",37.0711614932459,2.02424258991859,0.284072718421169,7.12579018910724,1.03485253958659e-12,5.17271429014305e-11,"ENSG00000133101","CCNA1","Upregulated"
