"EntrezID","SYMBOL","G2M_Checkpoints","Cell_Cycle_Checkpoints","DNA_Replication","N_Pathways"
"11047","ADRM1",TRUE,TRUE,TRUE,3
"8900","CCNA1",TRUE,TRUE,TRUE,3
"890","CCNA2",TRUE,TRUE,TRUE,3
"8318","CDC45",TRUE,TRUE,TRUE,3
"990","CDC6",TRUE,TRUE,TRUE,3
"8317","CDC7",TRUE,TRUE,TRUE,3
"10926","DBF4",TRUE,TRUE,TRUE,3
"1763","DNA2",TRUE,TRUE,TRUE,3
"8970","H2BC11",TRUE,TRUE,TRUE,3
"85236","H2BC12",TRUE,TRUE,TRUE,3
"8341","H2BC15",TRUE,TRUE,TRUE,3
"8348","H2BC17",TRUE,TRUE,TRUE,3
"8347","H2BC4",TRUE,TRUE,TRUE,3
"3017","H2BC5",TRUE,TRUE,TRUE,3
"8344","H2BC6",TRUE,TRUE,TRUE,3
"8343","H2BC7",TRUE,TRUE,TRUE,3
"8339","H2BC8",TRUE,TRUE,TRUE,3
"8345","H2BC9",TRUE,TRUE,TRUE,3
"8364","H4C3",TRUE,TRUE,TRUE,3
"8365","H4C8",TRUE,TRUE,TRUE,3
"8294","H4C9",TRUE,TRUE,TRUE,3
"55388","MCM10",TRUE,TRUE,TRUE,3
"4171","MCM2",TRUE,TRUE,TRUE,3
"4172","MCM3",TRUE,TRUE,TRUE,3
"4173","MCM4",TRUE,TRUE,TRUE,3
"4174","MCM5",TRUE,TRUE,TRUE,3
"4175","MCM6",TRUE,TRUE,TRUE,3
"4176","MCM7",TRUE,TRUE,TRUE,3
"4998","ORC1",TRUE,TRUE,TRUE,3
"23595","ORC3",TRUE,TRUE,TRUE,3
"5000","ORC4",TRUE,TRUE,TRUE,3
"23594","ORC6",TRUE,TRUE,TRUE,3
"5683","PSMA2",TRUE,TRUE,TRUE,3
"5684","PSMA3",TRUE,TRUE,TRUE,3
"5685","PSMA4",TRUE,TRUE,TRUE,3
"5686","PSMA5",TRUE,TRUE,TRUE,3
"5687","PSMA6",TRUE,TRUE,TRUE,3
"5690","PSMB2",TRUE,TRUE,TRUE,3
"5695","PSMB7",TRUE,TRUE,TRUE,3
"5700","PSMC1",TRUE,TRUE,TRUE,3
"5701","PSMC2",TRUE,TRUE,TRUE,3
"5702","PSMC3",TRUE,TRUE,TRUE,3
"5704","PSMC4",TRUE,TRUE,TRUE,3
"5717","PSMD11",TRUE,TRUE,TRUE,3
"5718","PSMD12",TRUE,TRUE,TRUE,3
"10213","PSMD14",TRUE,TRUE,TRUE,3
"5708","PSMD2",TRUE,TRUE,TRUE,3
"5709","PSMD3",TRUE,TRUE,TRUE,3
"5714","PSMD8",TRUE,TRUE,TRUE,3
"5983","RFC3",TRUE,TRUE,TRUE,3
"5984","RFC4",TRUE,TRUE,TRUE,3
"5985","RFC5",TRUE,TRUE,TRUE,3
"6119","RPA3",TRUE,TRUE,TRUE,3
"7316","UBC",TRUE,TRUE,TRUE,3
"580","BARD1",TRUE,TRUE,FALSE,2
"672","BRCA1",TRUE,TRUE,FALSE,2
"83990","BRIP1",TRUE,TRUE,FALSE,2
"891","CCNB1",TRUE,TRUE,FALSE,2
"9133","CCNB2",TRUE,TRUE,FALSE,2
"898","CCNE1",FALSE,TRUE,TRUE,2
"9134","CCNE2",FALSE,TRUE,TRUE,2
"8697","CDC23",FALSE,TRUE,TRUE,2
"993","CDC25A",TRUE,TRUE,FALSE,2
"995","CDC25C",TRUE,TRUE,FALSE,2
"996","CDC27",FALSE,TRUE,TRUE,2
"983","CDK1",TRUE,TRUE,FALSE,2
"1111","CHEK1",TRUE,TRUE,FALSE,2
"11200","CHEK2",TRUE,TRUE,FALSE,2
"63967","CLSPN",TRUE,TRUE,FALSE,2
"8454","CUL1",FALSE,TRUE,TRUE,2
"9156","EXO1",TRUE,TRUE,FALSE,2
"51512","GTSE1",TRUE,TRUE,FALSE,2
"8363","H4C11",TRUE,TRUE,FALSE,2
"4683","NBN",TRUE,TRUE,FALSE,2
"51588","PIAS4",TRUE,TRUE,FALSE,2
"9088","PKMYT1",TRUE,TRUE,FALSE,2
"5884","RAD17",TRUE,TRUE,FALSE,2
"5932","RBBP8",TRUE,TRUE,FALSE,2
"116028","RMI2",TRUE,TRUE,FALSE,2
"7158","TP53BP1",TRUE,TRUE,FALSE,2
"11065","UBE2C",FALSE,TRUE,TRUE,2
"7334","UBE2N",TRUE,TRUE,FALSE,2
"51720","UIMC1",TRUE,TRUE,FALSE,2
"7465","WEE1",TRUE,TRUE,FALSE,2
"10971","YWHAQ",TRUE,TRUE,FALSE,2
"84142","ABRAXAS1",TRUE,FALSE,FALSE,1
"9212","AURKB",FALSE,TRUE,FALSE,1
"332","BIRC5",FALSE,TRUE,FALSE,1
"699","BUB1",FALSE,TRUE,FALSE,1
"701","BUB1B",FALSE,TRUE,FALSE,1
"9184","BUB3",FALSE,TRUE,FALSE,1
"991","CDC20",FALSE,TRUE,FALSE,1
"55143","CDCA8",FALSE,TRUE,FALSE,1
"1026","CDKN1A",FALSE,TRUE,FALSE,1
"1029","CDKN2A",FALSE,TRUE,FALSE,1
"81620","CDT1",FALSE,FALSE,TRUE,1
"1060","CENPC",FALSE,TRUE,FALSE,1
"1062","CENPE",FALSE,TRUE,FALSE,1
"1063","CENPF",FALSE,TRUE,FALSE,1
"64946","CENPH",FALSE,TRUE,FALSE,1
"64105","CENPK",FALSE,TRUE,FALSE,1
"91687","CENPL",FALSE,TRUE,FALSE,1
"79019","CENPM",FALSE,TRUE,FALSE,1
"55839","CENPN",FALSE,TRUE,FALSE,1
"79172","CENPO",FALSE,TRUE,FALSE,1
"378708","CENPS",FALSE,TRUE,FALSE,1
"79682","CENPU",FALSE,TRUE,FALSE,1
"2237","FEN1",FALSE,FALSE,TRUE,1
"51659","GINS2",FALSE,FALSE,TRUE,1
"64785","GINS3",FALSE,FALSE,TRUE,1
"84296","GINS4",FALSE,FALSE,TRUE,1
"51053","GMNN",FALSE,FALSE,TRUE,1
"8331","H2AC14",FALSE,FALSE,TRUE,1
"8334","H2AC6",FALSE,FALSE,TRUE,1
"3013","H2AC7",FALSE,FALSE,TRUE,1
"3012","H2AC8",FALSE,FALSE,TRUE,1
"8357","H3C10",FALSE,FALSE,TRUE,1
"8354","H3C11",FALSE,FALSE,TRUE,1
"8356","H3C12",FALSE,FALSE,TRUE,1
"126961","H3C14",FALSE,FALSE,TRUE,1
"8358","H3C2",FALSE,FALSE,TRUE,1
"8352","H3C3",FALSE,FALSE,TRUE,1
"8353","H3C6",FALSE,FALSE,TRUE,1
"8355","H3C8",FALSE,FALSE,TRUE,1
"3364","HUS1",TRUE,FALSE,FALSE,1
"23421","ITGB3BP",FALSE,TRUE,FALSE,1
"81930","KIF18A",FALSE,TRUE,FALSE,1
"11004","KIF2C",FALSE,TRUE,FALSE,1
"57082","KNL1",FALSE,TRUE,FALSE,1
"9735","KNTC1",FALSE,TRUE,FALSE,1
"3978","LIG1",FALSE,FALSE,TRUE,1
"4085","MAD2L1",FALSE,TRUE,FALSE,1
"10403","NDC80",FALSE,TRUE,FALSE,1
"83540","NUF2",FALSE,TRUE,FALSE,1
"79023","NUP37",FALSE,TRUE,FALSE,1
"5111","PCNA",FALSE,FALSE,TRUE,1
"5347","PLK1",FALSE,TRUE,FALSE,1
"100527963","PMF1-BGLAP",FALSE,TRUE,FALSE,1
"5424","POLD1",FALSE,FALSE,TRUE,1
"5427","POLE2",FALSE,FALSE,TRUE,1
"5501","PPP1CC",FALSE,TRUE,FALSE,1
"5515","PPP2CA",FALSE,TRUE,FALSE,1
"5519","PPP2R1B",FALSE,TRUE,FALSE,1
"5694","PSMB6",TRUE,FALSE,FALSE,1
"5713","PSMD7",TRUE,FALSE,FALSE,1
"5903","RANBP2",FALSE,TRUE,FALSE,1
"5981","RFC1",FALSE,FALSE,TRUE,1
"246243","RNASEH1",FALSE,FALSE,TRUE,1
"6396","SEC13",FALSE,TRUE,FALSE,1
"151648","SGO1",FALSE,TRUE,FALSE,1
"151246","SGO2",FALSE,TRUE,FALSE,1
"220134","SKA1",FALSE,TRUE,FALSE,1
"348235","SKA2",FALSE,TRUE,FALSE,1
"147841","SPC24",FALSE,TRUE,FALSE,1
"57405","SPC25",FALSE,TRUE,FALSE,1
"54908","SPDL1",FALSE,TRUE,FALSE,1
"7531","YWHAE",TRUE,FALSE,FALSE,1
"55055","ZWILCH",FALSE,TRUE,FALSE,1
"11130","ZWINT",FALSE,TRUE,FALSE,1
