"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-HSA-69481","G2/M Checkpoints",144,0.661955999101941,2.48981009845312,1e-10,1.287921120334e-08,3.40753662170642e-09,3027,"tags=58%, list=18%, signal=48%","983/990/890/9088/8318/9133/891/51512/4998/3017/9156/1111/4173/4171/8343/8900/8365/63967/8344/8348/8345/4175/5701/8970/7158/55388/5984/5684/4683/5932/8347/5690/8364/4174/10926/4176/85236/5687/5985/8294/993/23595/5983/5686/4172/8339/5685/6119/10213/1763/7465/580/5714/995/23594/5704/11200/5702/8317/672/51720/5708/83990/10971/116028/5718/5717/5884/7316/5709/8341/7334/5683/5700/11047/5000/51588/5695/8363/3364/5713/5694/84142/7531",NA
"R-HSA-69620","Cell Cycle Checkpoints",275,0.612969733702394,2.45963526861363,1e-10,1.287921120334e-08,3.40753662170642e-09,2735,"tags=47%, list=16%, signal=40%","699/11065/11004/332/983/990/890/11130/991/9088/9212/8318/9133/891/51512/79019/701/5347/57405/55143/4998/3017/9156/1111/4173/79682/4171/1062/10403/8343/8900/83540/8365/63967/57082/147841/220134/55839/8344/8348/8345/4175/4085/5701/8970/81930/7158/1063/55388/5984/5684/4683/5932/8347/9735/898/5690/9134/378708/8364/4174/10926/996/4176/151648/85236/5687/5985/8294/993/23595/6396/5983/5686/1060/4172/79023/8339/5685/6119/55055/64946/91687/10213/54908/1763/8454/7465/580/5903/348235/5519/5714/23421/1026/100527963/995/23594/5515/1029/5704/11200/5702/8317/672/64105/51720/5708/79172/83990/151246/10971/116028/5718/5717/5884/7316/5709/8341/7334/5683/8697/5700/11047/5000/51588/5695/5501/8363/9184",NA
"R-HSA-69306","DNA Replication",167,0.622906769385527,2.36211944799425,1e-10,1.287921120334e-08,3.40753662170642e-09,2616,"tags=50%, list=15%, signal=43%","11065/51053/990/890/8318/5111/4998/3017/2237/4173/4171/51659/8343/8900/8355/8356/8365/8357/81620/8344/8348/8345/4175/5701/8970/8358/55388/5984/5684/8352/8334/8347/898/5690/8331/9134/5427/8364/4174/10926/996/4176/85236/5687/5985/8294/23595/5983/5686/4172/8339/5685/6119/3012/246243/10213/84296/5981/1763/8454/5714/23594/5704/8353/5702/8317/3978/5708/5424/5718/5717/7316/5709/8354/8341/5683/8697/5700/11047/5000/3013/64785/126961/5695",NA
"R-HSA-9664407","Parasite infection",57,-0.599489482923008,-2.36017123252362,2.37325733335313e-07,6.28122107560796e-06,1.66186348730874e-06,1578,"tags=37%, list=9%, signal=34%","5595/1398/4644/4650/7409/10094/10109/10097/4627/10095/998/26999/71/7454/3055/2885/60/10093/6850/5594/10163",0.690132458796796
"R-HSA-9664417","Leishmania phagocytosis",57,-0.599489482923008,-2.36017123252362,2.37325733335313e-07,6.28122107560796e-06,1.66186348730874e-06,1578,"tags=37%, list=9%, signal=34%","5595/1398/4644/4650/7409/10094/10109/10097/4627/10095/998/26999/71/7454/3055/2885/60/10093/6850/5594/10163",0.690132458796796
"R-HSA-9664422","FCGR3A-mediated phagocytosis",57,-0.599489482923008,-2.36017123252362,2.37325733335313e-07,6.28122107560796e-06,1.66186348730874e-06,1578,"tags=37%, list=9%, signal=34%","5595/1398/4644/4650/7409/10094/10109/10097/4627/10095/998/26999/71/7454/3055/2885/60/10093/6850/5594/10163",0.690132458796796
"R-HSA-156842","Eukaryotic Translation Elongation",83,-0.560751544641973,-2.34282923326531,5.35781364449945e-09,2.74458324756939e-07,7.26152229337566e-08,4679,"tags=77%, list=28%, signal=56%","6217/6166/6229/6205/6234/6181/6169/6230/6175/6235/6141/6209/6143/6155/6146/6157/1933/2197/6170/6147/6202/6201/6228/6130/4736/6210/9349/6133/6206/6224/6125/6176/6207/6159/6139/6171/6124/6135/6173/6232/6223/6222/6142/23521/6154/6233/6122/6128/6144/6193/6189/7311/6137/6191/6188/6187/1915/6203/6194/6129/6134/6208/1937/1936",0.761460801445585
"R-HSA-606279","Deposition of new CENPA-containing nucleosomes at the centromere",55,0.716399276472048,2.33878313393784,2.77181799155663e-10,2.20082348529597e-08,5.82286174646532e-09,2715,"tags=64%, list=16%, signal=54%","55355/79019/3017/79682/8343/11339/8365/387103/57082/55839/8344/8348/8345/8970/8334/8347/8331/378708/8364/85236/8294/1060/8339/3012/64946/91687/23421/8467/64105/79172/5931/54069/8341/3013/8363",0.814035837847908
"R-HSA-774815","Nucleosome assembly",55,0.716399276472048,2.33878313393784,2.77181799155663e-10,2.20082348529597e-08,5.82286174646532e-09,2715,"tags=64%, list=16%, signal=54%","55355/79019/3017/79682/8343/11339/8365/387103/57082/55839/8344/8348/8345/8970/8334/8347/8331/378708/8364/85236/8294/1060/8339/3012/64946/91687/23421/8467/64105/79172/5931/54069/8341/3013/8363",0.814035837847908
"R-HSA-69206","G1/S Transition",121,0.63001996665128,2.33044680075095,1e-10,1.287921120334e-08,3.40753662170642e-09,2511,"tags=51%, list=15%, signal=44%","6241/7083/51053/983/990/890/7298/8318/891/26271/5111/4998/4173/4171/8900/1719/81620/4175/1022/5701/55388/5684/1163/898/5690/9134/5427/4174/10926/4176/5687/993/23595/1019/5686/4172/1869/5685/6119/10213/8454/7465/5519/5714/1026/23594/5515/5704/5702/8317/5708/1875/5933/5718/5717/7316/5709/91750/5683/5700/11047/5000",NA
