"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-HSA-69481","G2/M Checkpoints",144,0.661955999101941,2.48981009845312,1e-10,1.287921120334e-08,3.40753662170642e-09,3027,"tags=58%, list=18%, signal=48%","983/990/890/9088/8318/9133/891/51512/4998/3017/9156/1111/4173/4171/8343/8900/8365/63967/8344/8348/8345/4175/5701/8970/7158/55388/5984/5684/4683/5932/8347/5690/8364/4174/10926/4176/85236/5687/5985/8294/993/23595/5983/5686/4172/8339/5685/6119/10213/1763/7465/580/5714/995/23594/5704/11200/5702/8317/672/51720/5708/83990/10971/116028/5718/5717/5884/7316/5709/8341/7334/5683/5700/11047/5000/51588/5695/8363/3364/5713/5694/84142/7531",NA
"R-HSA-69620","Cell Cycle Checkpoints",275,0.612969733702394,2.45963526861363,1e-10,1.287921120334e-08,3.40753662170642e-09,2735,"tags=47%, list=16%, signal=40%","699/11065/11004/332/983/990/890/11130/991/9088/9212/8318/9133/891/51512/79019/701/5347/57405/55143/4998/3017/9156/1111/4173/79682/4171/1062/10403/8343/8900/83540/8365/63967/57082/147841/220134/55839/8344/8348/8345/4175/4085/5701/8970/81930/7158/1063/55388/5984/5684/4683/5932/8347/9735/898/5690/9134/378708/8364/4174/10926/996/4176/151648/85236/5687/5985/8294/993/23595/6396/5983/5686/1060/4172/79023/8339/5685/6119/55055/64946/91687/10213/54908/1763/8454/7465/580/5903/348235/5519/5714/23421/1026/100527963/995/23594/5515/1029/5704/11200/5702/8317/672/64105/51720/5708/79172/83990/151246/10971/116028/5718/5717/5884/7316/5709/8341/7334/5683/8697/5700/11047/5000/51588/5695/5501/8363/9184",NA
"R-HSA-69306","DNA Replication",167,0.622906769385527,2.36211944799425,1e-10,1.287921120334e-08,3.40753662170642e-09,2616,"tags=50%, list=15%, signal=43%","11065/51053/990/890/8318/5111/4998/3017/2237/4173/4171/51659/8343/8900/8355/8356/8365/8357/81620/8344/8348/8345/4175/5701/8970/8358/55388/5984/5684/8352/8334/8347/898/5690/8331/9134/5427/8364/4174/10926/996/4176/85236/5687/5985/8294/23595/5983/5686/4172/8339/5685/6119/3012/246243/10213/84296/5981/1763/8454/5714/23594/5704/8353/5702/8317/3978/5708/5424/5718/5717/7316/5709/8354/8341/5683/8697/5700/11047/5000/3013/64785/126961/5695",NA
"R-HSA-69206","G1/S Transition",121,0.63001996665128,2.33044680075095,1e-10,1.287921120334e-08,3.40753662170642e-09,2511,"tags=51%, list=15%, signal=44%","6241/7083/51053/983/990/890/7298/8318/891/26271/5111/4998/4173/4171/8900/1719/81620/4175/1022/5701/55388/5684/1163/898/5690/9134/5427/4174/10926/4176/5687/993/23595/1019/5686/4172/1869/5685/6119/10213/8454/7465/5519/5714/1026/23594/5515/5704/5702/8317/5708/1875/5933/5718/5717/7316/5709/91750/5683/5700/11047/5000",NA
"R-HSA-453279","Mitotic G1 phase and G1/S transition",139,0.620875170499878,2.32682638793241,1e-10,1.287921120334e-08,3.40753662170642e-09,2511,"tags=49%, list=15%, signal=42%","4605/6241/7083/51053/983/990/890/7153/7298/8318/891/26271/5111/4998/4173/4171/8900/1719/81620/4175/1022/5701/55388/5684/1163/898/5690/1870/9134/5427/4174/10926/4176/5687/993/23595/1019/5686/4172/1869/5685/6119/10213/8454/7465/5519/5714/1026/23594/5515/1029/5704/5702/8317/894/5708/1875/5933/5718/5717/7316/5709/91750/5683/6714/5700/11047/5000",NA
"R-HSA-68867","Assembly of the pre-replicative complex",115,0.630383408670492,2.32543640712623,1e-10,1.287921120334e-08,3.40753662170642e-09,2715,"tags=53%, list=16%, signal=45%","11065/51053/990/4998/3017/4173/4171/8343/8355/8356/8365/8357/81620/8344/8348/8345/4175/5701/8970/8358/5684/8352/8334/8347/5690/8331/8364/4174/996/4176/85236/5687/8294/23595/5686/4172/8339/5685/3012/10213/5714/23594/5704/8353/5702/5708/5718/5717/7316/5709/8354/8341/5683/8697/5700/11047/5000/3013/126961/5695/8363",NA
"R-HSA-69002","DNA Replication Pre-Initiation",132,0.618275452302008,2.30915057590616,1e-10,1.287921120334e-08,3.40753662170642e-09,3435,"tags=58%, list=20%, signal=46%","11065/51053/990/8318/4998/3017/4173/4171/8343/8355/8356/8365/8357/81620/8344/8348/8345/4175/5701/8970/8358/55388/5684/8352/8334/8347/5690/8331/5427/8364/4174/10926/996/4176/85236/5687/8294/23595/5686/4172/8339/5685/6119/3012/10213/5714/23594/5704/8353/5702/8317/5708/5718/5717/7316/5709/8354/8341/5683/8697/5700/11047/5000/3013/126961/5695/8363/5713/5694/8351/5422/51434/5426/5682/51433/5557",NA
"R-HSA-69239","Synthesis of DNA",108,0.63278291652484,2.28816258994059,1e-10,1.287921120334e-08,3.40753662170642e-09,3435,"tags=58%, list=20%, signal=47%","11065/51053/990/890/8318/5111/4998/2237/4173/4171/51659/8900/81620/4175/5701/5984/5684/898/5690/9134/5427/4174/996/4176/5687/5985/23595/5983/5686/4172/5685/6119/10213/84296/5981/1763/8454/5714/23594/5704/5702/3978/5708/5424/5718/5717/7316/5709/5683/8697/5700/11047/5000/64785/5695/5713/5694/5422/51434/5426/5682/51433/5557",NA
"R-HSA-5693538","Homology Directed Repair",129,0.602345476297411,2.25789743393293,1e-10,1.287921120334e-08,3.40753662170642e-09,3239,"tags=50%, list=19%, signal=40%","890/10635/5111/3017/9156/2237/1111/675/8343/8900/8365/54962/5888/63967/8344/8348/8345/8970/7158/10038/5984/4683/5932/8347/5427/8914/10721/8364/85236/5985/5429/8294/5983/8339/6119/348654/5981/1763/580/5890/672/146956/3978/51720/83990/5424/116028/5884/142/7316/8341/7334/51548/6613/51588/8363/55732/3364/2072/84142/5889/5426/7517/7486",NA
"R-HSA-5693567","HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)",123,0.598962988275506,2.17941440985586,1.05434348641952e-10,1.287921120334e-08,3.40753662170642e-09,3239,"tags=49%, list=19%, signal=40%","890/10635/5111/3017/9156/1111/675/8343/8900/8365/54962/5888/63967/8344/8348/8345/8970/7158/5984/4683/5932/8347/5427/8914/8364/85236/5985/5429/8294/5983/8339/6119/348654/5981/1763/580/5890/672/146956/3978/51720/83990/5424/116028/5884/7316/8341/7334/51548/6613/51588/8363/55732/3364/2072/84142/5889/5426/7517/7486",0.839088935621274
