"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","27/154","153/6581",0.176470588235294,7.54125286478228,12.6717873597554,6.17203095648725e-17,1.2590943151234e-14,1.2590943151234e-14,"9212/7272/9133/9587/81620/699/4173/1028/8318/9319/4998/891/9232/983/890/5347/991/4171/57082/990/113130/26271/8900/1111/9088/9134/701",27
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","14/154","100/6581",0.14,5.98272727272727,7.77168632223534,6.36705527999987e-08,6.49439638559987e-06,6.49439638559987e-06,"8355/3017/8343/1511/8358/713/8348/1991/8352/8345/714/8331/8356/8329",14
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","16/154","154/6581",0.103896103896104,4.43987181649519,6.68601931754277,4.91505522188524e-07,3.34223755088196e-05,3.34223755088196e-05,"8355/3017/8343/1511/4353/8358/291/8348/1991/8352/820/8345/566/8331/8356/8329",16
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","15/154","164/6581",0.0914634146341463,3.90857617991764,5.83855673517956,5.71100447665371e-06,0.000291261228309339,0.000291261228309339,"8355/1667/3728/5328/4353/8358/890/3479/728358/1668/1991/8352/1669/8900/8356",15
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","11/154","117/6581",0.094017094017094,4.01770451770452,5.09786261543772,8.27781249916881e-05,0.00337734749966087,0.00337734749966087,"9133/699/891/9232/983/3479/5347/991/26271/9088/9134",11
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","8/154","72/6581",0.111111111111111,4.74819624819625,4.94994748377614,0.00025211062787746,0.00742807301196,0.00742807301196,"9133/6241/891/983/51512/3479/1111/9134",8
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","12/154","155/6581",0.0774193548387097,3.30842061164642,4.50173150696214,0.00025488485825353,0.00742807301196,0.00742807301196,"1667/2920/6347/3665/4938/4939/728358/1668/1669/820/2635/4940",12
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","9/154","95/6581",0.0947368421052632,4.04846206425154,4.63258378456065,0.000351384427061234,0.00839449208221412,0.00839449208221412,"9133/699/891/983/890/3479/5347/8900/9088",9
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","7/154","58/6581",0.120689655172414,5.15752351097179,4.92259582068441,0.000370345238921211,0.00839449208221412,0.00839449208221412,"1667/728358/1668/713/1669/820/714",7
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","11/154","141/6581",0.0780141843971631,3.3338399189463,4.33617542564641,0.000433332367166324,0.00883998029019301,0.00883998029019302,"6347/3665/3838/4938/4599/4939/291/91543/64135/4940/3627",11
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","14/154","219/6581",0.0639269406392694,2.73183893731839,4.03461298627764,0.000571411530867772,0.0105970865724569,0.0105970865724569,"4057/1667/671/4973/1511/4317/4353/728358/1668/1991/5657/1669/566/3934",14
"Human Diseases","Substance dependence","hsa05034","Alcoholism","10/154","132/6581",0.0757575757575758,3.23740653286108,4.01934084282609,0.00099388009952064,0.0168959616918509,0.0168959616918509,"8355/3017/8343/8358/8348/8352/8345/8331/8356/8329",10
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","10/154","144/6581",0.0694444444444444,2.96762265512265,3.69530647602683,0.00192429811786058,0.029420265044721,0.029420265044721,"2305/9133/4605/891/983/890/291/8900/1111/9134",10
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","6/154","57/6581",0.105263157894737,4.49829118250171,4.10587349539304,0.00201903779718673,0.029420265044721,0.029420265044721,"5055/722/5328/713/714/710",6
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","11/154","179/6581",0.0614525139664804,2.62609736632083,3.41416404385191,0.00304787645994825,0.0414511198552962,0.0414511198552962,"3017/8343/3665/983/890/991/8348/8345/8900/1111/9134",11
