"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","26/142","153/6581",0.169934640522876,7.87563288226089,12.7781613513285,8.09718865951914e-17,1.5222714679896e-14,1.5222714679896e-14,"9212/7272/9133/9587/81620/699/4173/5347/26271/4998/891/9232/983/4171/57082/890/991/990/113130/8900/1111/9088/9134/701/9319/8318",26
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","14/142","100/6581",0.14,6.48830985915493,8.21231347330302,2.25098187061074e-08,2.11592295837409e-06,2.11592295837409e-06,"8355/3017/8343/8352/713/1511/8345/714/8358/8348/1991/8331/8356/8329",14
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","16/142","154/6581",0.103896103896104,4.81507225169197,7.11388571868929,1.59231736671177e-07,9.97852216472707e-06,9.97852216472707e-06,"8355/3017/8343/8352/291/1511/8345/4353/566/8358/820/8348/1991/8331/8356/8329",16
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","15/142","164/6581",0.0914634146341463,4.23887839230505,6.23732613714869,2.06115561540388e-06,9.68743139239825e-05,9.68743139239825e-05,"8355/1667/3728/8352/5328/4353/1669/8358/890/3479/728358/1668/1991/8900/8356",15
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","11/142","117/6581",0.094017094017094,4.35722884314434,5.44090457442496,3.93020446652868e-05,0.00147775687941478,0.00147775687941478,"9133/699/5347/26271/891/9232/983/3479/991/9088/9134",11
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","12/142","155/6581",0.0774193548387097,3.58800545206724,4.84181935128205,0.00011819457360106,0.00370342997283322,0.00370342997283322,"1667/2920/6347/4940/3665/4938/1669/820/728358/1668/2635/4939",12
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","8/142","72/6581",0.111111111111111,5.14945226917058,5.25711881099032,0.000143947896974774,0.0038660292330368,0.0038660292330368,"9133/891/983/51512/3479/1111/9134/6241",8
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","9/142","95/6581",0.0947368421052632,4.39058561897702,4.94306080256987,0.000191197350463145,0.00423200594029688,0.00423200594029688,"9133/699/5347/891/983/890/3479/8900/9088",9
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","11/142","141/6581",0.0780141843971631,3.61557286984317,4.66209751340562,0.000214114273922486,0.00423200594029688,0.00423200594029688,"6347/4940/3665/3838/64135/291/4938/4599/91543/4939/3627",11
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","7/142","58/6581",0.120689655172414,5.59337056823701,5.21758697527201,0.000225106698951962,0.00423200594029688,0.00423200594029688,"1667/713/1669/714/820/728358/1668",7
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","14/142","219/6581",0.0639269406392694,2.96269856582417,4.38658689283072,0.000247726894214719,0.00423387782839702,0.00423387782839702,"4057/1667/671/1511/4317/4353/1669/566/728358/1668/5657/1991/3934/4973",14
"Human Diseases","Substance dependence","hsa05034","Alcoholism","10/142","132/6581",0.0757575757575758,3.51099018352539,4.32746633949553,0.000527301313866473,0.00826105391724141,0.00826105391724141,"8355/3017/8343/8352/8345/8358/8348/8331/8356/8329",10
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","10/142","144/6581",0.0694444444444444,3.21840766823161,3.99695037030594,0.0010410401539599,0.015055042226497,0.015055042226497,"2305/9133/291/4605/891/983/890/8900/1111/9134",10
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","11/142","179/6581",0.0614525139664804,2.84802108741836,3.72240402910357,0.00160299606153792,0.0215259471120807,0.0215259471120807,"3017/8343/3665/8345/983/890/991/8348/8900/1111/9134",11
