"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69620","Cell Cycle Checkpoints","36/200","275/8882",0.130909090909091,5.81367272727273,12.3070240024746,3.61298829456349e-18,2.4640580168923e-15,1.54639574231231e-15,"SPC24/CENPM/H2BC7/ZWINT/H2BC9/CDC20/CDC6/PLK1/CDC45/UBE2C/CDK1/MCM2/KNL1/ORC1/AURKB/CCNB2/CCNA2/NUF2/MCM10/CHEK1/KIF2C/PKMYT1/CCNB1/EXO1/BUB1/MCM4/H2BC5/BIRC5/H2BC17/CENPE/SKA1/CCNE2/BUB1B/GTSE1/SPC25/CCNA1",36
"R-HSA-68886","M Phase","35/200","373/8882",0.0938337801608579,4.1671581769437,9.48464215334434,3.50360579997021e-13,1.19472957778984e-10,7.49789460979867e-11,"PTTG1/SPC24/CENPM/H2BC7/CDCA5/ZWINT/H2BC9/CDC20/NEK2/PLK1/UBE2C/H3C3/CDK1/KNL1/H2AC14/AURKB/CCNB2/KIF23/NUF2/FBXO5/H3C12/KIF2C/CCNB1/KIF20A/NCAPG/BUB1/H3C2/H3C8/H2BC5/BIRC5/H2BC17/CENPE/SKA1/BUB1B/SPC25",35
"R-HSA-69306","DNA Replication","23/200","167/8882",0.137724550898204,6.11634730538922,10.1302601718932,2.25998415571315e-12,5.13769731398789e-10,3.22432069260305e-10,"H2BC7/POLE2/H2BC9/CDC6/CDC45/UBE2C/H3C3/GMNN/MCM2/ORC1/H2AC14/CDT1/CCNA2/MCM10/H3C12/H3C2/MCM4/GINS2/H3C8/H2BC5/H2BC17/CCNE2/CCNA1",23
"R-HSA-453279","Mitotic G1 phase and G1/S transition","21/200","139/8882",0.151079136690647,6.70942446043165,10.2968772228134,3.49215805354923e-12,5.92160174853109e-10,3.7162841413721e-10,"POLE2/CDC6/CDC45/CDK1/GMNN/MYBL2/MCM2/ORC1/CDT1/TOP2A/TK1/CCNA2/CDKN1C/MCM10/FBXO5/CCNB1/TYMS/MCM4/RRM2/CCNE2/CCNA1",21
"R-HSA-6803157","Antimicrobial peptides","12/200","34/8882",0.352941176470588,15.6741176470588,13.0108281391032,4.34135025552133e-12,5.92160174853109e-10,3.7162841413721e-10,"CTSG/PRTN3/DEFA3/CAMP/BPI/RNASE3/DEFA1B/LTF/DEFA4/LCN2/DEFA1/ELANE",12
"R-HSA-2500257","Resolution of Sister Chromatid Cohesion","19/200","116/8882",0.163793103448276,7.27405172413793,10.3231538137704,9.07303344346462e-12,1.03130146807381e-09,6.47225101169153e-10,"SPC24/CENPM/CDCA5/ZWINT/CDC20/PLK1/CDK1/KNL1/AURKB/CCNB2/NUF2/KIF2C/CCNB1/BUB1/BIRC5/CENPE/SKA1/BUB1B/SPC25",19
"R-HSA-69002","DNA Replication Pre-Initiation","19/200","132/8882",0.143939393939394,6.39234848484849,9.4732049287681,9.4061003945125e-11,9.16422924151075e-09,5.75129521443636e-09,"H2BC7/POLE2/H2BC9/CDC6/CDC45/UBE2C/H3C3/GMNN/MCM2/ORC1/H2AC14/CDT1/MCM10/H3C12/H3C2/MCM4/H3C8/H2BC5/H2BC17",19
"R-HSA-69206","G1/S Transition","18/200","121/8882",0.148760330578512,6.60644628099174,9.42409276412813,1.72054062294734e-10,1.46676088106261e-08,9.20511110499805e-09,"POLE2/CDC6/CDC45/CDK1/GMNN/MCM2/ORC1/CDT1/TK1/CCNA2/MCM10/FBXO5/CCNB1/TYMS/MCM4/RRM2/CCNE2/CCNA1",18
"R-HSA-69205","G1/S-Specific Transcription","10/200","28/8882",0.357142857142857,15.8607142857143,11.9532219433672,2.46899631429131e-10,1.87095054038519e-08,1.17417281975266e-08,"CDC6/CDC45/CDK1/ORC1/CDT1/TK1/FBXO5/TYMS/RRM2/CCNA1",10
"R-HSA-69481","G2/M Checkpoints","19/200","144/8882",0.131944444444444,5.85965277777778,8.92311536662502,4.3673318495678e-10,2.97852032140524e-08,1.86926245722934e-08,"H2BC7/H2BC9/CDC6/CDC45/CDK1/MCM2/ORC1/CCNB2/CCNA2/MCM10/CHEK1/PKMYT1/CCNB1/EXO1/MCM4/H2BC5/H2BC17/GTSE1/CCNA1",19
"R-HSA-141424","Amplification of signal from the kinetochores","15/200","91/8882",0.164835164835165,7.32032967032967,9.19765954705658,1.39859197683727e-09,7.94866440169183e-08,4.98842994100774e-08,"SPC24/CENPM/ZWINT/CDC20/PLK1/KNL1/AURKB/NUF2/KIF2C/BUB1/BIRC5/CENPE/SKA1/BUB1B/SPC25",15
"R-HSA-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","15/200","91/8882",0.164835164835165,7.32032967032967,9.19765954705658,1.39859197683727e-09,7.94866440169183e-08,4.98842994100774e-08,"SPC24/CENPM/ZWINT/CDC20/PLK1/KNL1/AURKB/NUF2/KIF2C/BUB1/BIRC5/CENPE/SKA1/BUB1B/SPC25",15
"R-HSA-2555396","Mitotic Metaphase and Anaphase","22/200","211/8882",0.104265402843602,4.63042654028436,8.10028557400734,1.71497575669736e-09,8.98848800806802e-08,5.64100337338332e-08,"PTTG1/SPC24/CENPM/CDCA5/ZWINT/CDC20/PLK1/UBE2C/CDK1/KNL1/AURKB/CCNB2/NUF2/FBXO5/KIF2C/CCNB1/BUB1/BIRC5/CENPE/SKA1/BUB1B/SPC25",22
"R-HSA-68877","Mitotic Prometaphase","21/200","193/8882",0.10880829015544,4.83217616580311,8.16911977055186,1.89026413759594e-09,8.98848800806802e-08,5.64100337338332e-08,"SPC24/CENPM/CDCA5/ZWINT/CDC20/NEK2/PLK1/CDK1/KNL1/AURKB/CCNB2/NUF2/KIF2C/CCNB1/NCAPG/BUB1/BIRC5/CENPE/SKA1/BUB1B/SPC25",21
"R-HSA-69618","Mitotic Spindle Checkpoint","16/200","108/8882",0.148148148148148,6.57925925925926,8.85371723615141,1.97694017772757e-09,8.98848800806802e-08,5.64100337338332e-08,"SPC24/CENPM/ZWINT/CDC20/PLK1/UBE2C/KNL1/AURKB/NUF2/KIF2C/BUB1/BIRC5/CENPE/SKA1/BUB1B/SPC25",16
"R-HSA-2299718","Condensation of Prophase Chromosomes","12/200","55/8882",0.218181818181818,9.68945454545455,9.81077553310502,2.29443071191541e-09,9.78001090953942e-08,6.13774802646653e-08,"H2BC7/H2BC9/PLK1/H3C3/CDK1/H2AC14/H3C12/CCNB1/H3C2/H3C8/H2BC5/H2BC17",12
"R-HSA-68867","Assembly of the pre-replicative complex","16/200","115/8882",0.139130434782609,6.17878260869565,8.4837358902553,5.06594916422566e-09,2.03233960588347e-07,1.27545751436268e-07,"H2BC7/H2BC9/CDC6/UBE2C/H3C3/GMNN/MCM2/ORC1/H2AC14/CDT1/H3C12/H3C2/MCM4/H3C8/H2BC5/H2BC17",16
"R-HSA-195258","RHO GTPase Effectors","25/200","287/8882",0.0871080139372822,3.8684668989547,7.49728279532801,5.39889405520484e-09,2.04558096980539e-07,1.28376754142003e-07,"SPC24/CENPM/H2BC7/DIAPH3/ZWINT/H2BC9/CDC20/PLK1/H3C3/KNL1/H2AC14/AURKB/NUF2/H3C12/KIF2C/BUB1/H3C2/H3C8/H2BC5/BIRC5/H2BC17/CENPE/SKA1/BUB1B/SPC25",25
"R-HSA-68882","Mitotic Anaphase","21/200","210/8882",0.1,4.441,7.65897633281061,8.75333681379244e-09,3.14198721421392e-07,1.97185115656816e-07,"PTTG1/SPC24/CENPM/CDCA5/ZWINT/CDC20/PLK1/UBE2C/CDK1/KNL1/AURKB/CCNB2/NUF2/KIF2C/CCNB1/BUB1/BIRC5/CENPE/SKA1/BUB1B/SPC25",21
"R-HSA-9648025","EML4 and NUDC in mitotic spindle formation","15/200","106/8882",0.141509433962264,6.28443396226415,8.30690306275789,1.22902436913504e-08,4.19097309875047e-07,2.63017465969692e-07,"SPC24/CENPM/ZWINT/CDC20/PLK1/KNL1/AURKB/NUF2/KIF2C/BUB1/BIRC5/CENPE/SKA1/BUB1B/SPC25",15
"R-HSA-69273","Cyclin A/B1/B2 associated events during G2/M transition","9/200","32/8882",0.28125,12.4903125,9.88260042388196,2.22766526249362e-08,7.23460813819357e-07,4.54030187012822e-07,"FOXM1/PLK1/CDK1/CCNB2/CCNA2/PKMYT1/CCNB1/HJURP/CCNA1",9
"R-HSA-5663220","RHO GTPases Activate Formins","16/200","128/8882",0.125,5.55125,7.87169843193969,2.44076007418479e-08,7.56635622997286e-07,4.74850063538893e-07,"SPC24/CENPM/DIAPH3/ZWINT/CDC20/PLK1/KNL1/AURKB/NUF2/KIF2C/BUB1/BIRC5/CENPE/SKA1/BUB1B/SPC25",16
"R-HSA-68962","Activation of the pre-replicative complex","9/200","33/8882",0.272727272727273,12.1118181818182,9.70579336709721,3.00384154490703e-08,8.90704318968085e-07,5.58989016114404e-07,"POLE2/CDC6/CDC45/GMNN/MCM2/ORC1/CDT1/MCM10/MCM4",9
"R-HSA-2467813","Separation of Sister Chromatids","18/200","167/8882",0.107784431137725,4.78670658682635,7.49759948445376,3.34938739779265e-08,9.51784252206079e-07,5.97321615449496e-07,"PTTG1/SPC24/CENPM/CDCA5/ZWINT/CDC20/PLK1/UBE2C/KNL1/AURKB/NUF2/KIF2C/BUB1/BIRC5/CENPE/SKA1/BUB1B/SPC25",18
"R-HSA-174143","APC/C-mediated degradation of cell cycle proteins","12/200","75/8882",0.16,7.1056,8.05899756076936,9.20682871753611e-08,2.41502199436909e-06,1.51562167127584e-06,"PTTG1/CDC20/NEK2/PLK1/UBE2C/CDK1/AURKB/CCNA2/FBXO5/CCNB1/BUB1B/CCNA1",12
"R-HSA-453276","Regulation of mitotic cell cycle","12/200","75/8882",0.16,7.1056,8.05899756076936,9.20682871753611e-08,2.41502199436909e-06,1.51562167127584e-06,"PTTG1/CDC20/NEK2/PLK1/UBE2C/CDK1/AURKB/CCNA2/FBXO5/CCNB1/BUB1B/CCNA1",12
"R-HSA-9970672","FXIIa activates plasma kallikrein-kinin system","10/200","50/8882",0.2,8.882,8.48257961733664,1.25510894331391e-07,3.1703122197781e-06,1.98962738898848e-06,"H2BC7/H2BC9/H3C3/H2AC14/H3C12/H3C2/SERPING1/H3C8/H2BC5/H2BC17",10
"R-HSA-68616","Assembly of the ORC complex at the origin of replication","10/200","51/8882",0.196078431372549,8.7078431372549,8.37816782374393,1.53092666869517e-07,3.72889995732181e-06,2.3401863827799e-06,"H2BC7/H2BC9/H3C3/ORC1/H2AC14/H3C12/H3C2/H3C8/H2BC5/H2BC17",10
"R-HSA-912446","Meiotic recombination","11/200","65/8882",0.169230769230769,7.51553846153846,8.00170641289684,1.77283430458459e-07,4.16921722664376e-06,2.61652108994918e-06,"H2BC7/H2BC9/H3C3/MND1/H2AC14/RAD51/H3C12/H3C2/H3C8/H2BC5/H2BC17",11
"R-HSA-9940465","ChAHP complex assembly","9/200","45/8882",0.2,8.882,8.04500469770313,5.46190555021637e-07,1.2016192210476e-05,7.54113269480646e-06,"H2BC7/H2BC9/H3C3/H2AC14/H3C12/H3C2/H3C8/H2BC5/H2BC17",9
"R-HSA-73728","RNA Polymerase I Promoter Opening","9/200","45/8882",0.2,8.882,8.04500469770313,5.46190555021637e-07,1.2016192210476e-05,7.54113269480646e-06,"H2BC7/H2BC9/H3C3/H2AC14/H3C12/H3C2/H3C8/H2BC5/H2BC17",9
"R-HSA-5334118","DNA methylation","9/200","46/8882",0.195652173913043,8.68891304347826,7.93509359582091,6.65944208292792e-07,1.41929359392401e-05,8.9072154782432e-06,"H2BC7/H2BC9/H3C3/H2AC14/H3C12/H3C2/H3C8/H2BC5/H2BC17",9
"R-HSA-156711","Polo-like kinase mediated events","6/200","16/8882",0.375,16.65375,9.51153397524272,8.02560343831584e-07,1.63696842502953e-05,1.02733011374383e-05,"FOXM1/PLK1/MYBL2/CCNB2/PKMYT1/CCNB1",6
"R-HSA-69239","Synthesis of DNA","13/200","108/8882",0.12037037037037,5.34564814814815,6.89610181632193,8.16083965557243e-07,1.63696842502953e-05,1.02733011374383e-05,"POLE2/CDC6/CDC45/UBE2C/GMNN/MCM2/ORC1/CDT1/CCNA2/MCM4/GINS2/CCNE2/CCNA1",13
"R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)","12/200","92/8882",0.130434782608696,5.79260869565217,7.0130589525757,9.1449117328729e-07,1.78195137194838e-05,1.11831864172742e-05,"H2BC7/H2BC9/UBE2C/H3C3/H2AC14/CCNA2/H3C12/H3C2/H3C8/H2BC5/H2BC17/CCNA1",12
"R-HSA-5625886","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3","9/200","49/8882",0.183673469387755,8.1569387755102,7.62442802363021,1.17134239352781e-06,2.21904308996102e-05,1.39262905451032e-05,"H2BC7/H2BC9/H3C3/H2AC14/H3C12/H3C2/H3C8/H2BC5/H2BC17",9
"R-HSA-1912408","Pre-NOTCH Transcription and Translation","11/200","79/8882",0.139240506329114,6.18367088607595,7.02379224155406,1.35917399209808e-06,2.39859349882819e-05,1.50531146129585e-05,"H2BC7/H2BC9/H3C3/H2AC14/H3C12/MOV10/H3C2/H3C8/H2BC5/H2BC17/ELANE",11
"R-HSA-6798695","Neutrophil degranulation","28/200","461/8882",0.0607375271149675,2.69735357917571,5.68037479415398,1.37849622703471e-06,2.39859349882819e-05,1.50531146129585e-05,"CTSG/MS4A3/ABCA13/PRTN3/PRDX4/JUP/AZU1/SLC2A5/CAMP/MMP8/OLFM4/BPI/MPO/RNASE3/PLAU/RNASE2/DEFA1B/LTF/DEFA4/OLR1/CEACAM6/TARM1/TXNDC5/CEACAM8/LCN2/CHIT1/DEFA1/ELANE",28
"R-HSA-427359","SIRT1 negatively regulates rRNA expression","9/200","50/8882",0.18,7.9938,7.52670202077252,1.40091516164411e-06,2.39859349882819e-05,1.50531146129585e-05,"H2BC7/H2BC9/H3C3/H2AC14/H3C12/H3C2/H3C8/H2BC5/H2BC17",9
"R-HSA-176814","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","10/200","64/8882",0.15625,6.9390625,7.23700507998452,1.40679970605759e-06,2.39859349882819e-05,1.50531146129585e-05,"PTTG1/CDC20/NEK2/PLK1/UBE2C/CDK1/CCNA2/CCNB1/BUB1B/CCNA1",10
"R-HSA-1538133","G0 and Early G1","7/200","27/8882",0.259259259259259,11.5137037037037,8.30384769626929,1.60125790301955e-06,2.66355582892521e-05,1.67159675828409e-05,"CDC6/CDK1/MYBL2/TOP2A/CCNA2/CCNE2/CCNA1",7
"R-HSA-9821002","Chromatin modifications during the maternal to zygotic transition (MZT)","9/200","51/8882",0.176470588235294,7.83705882352941,7.43165438428204,1.66830569623866e-06,2.70901067817801e-05,1.70012335338457e-05,"H2BC7/H2BC9/H3C3/H2AC14/H3C12/H3C2/H3C8/H2BC5/H2BC17",9
"R-HSA-9843970","Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex","9/200","53/8882",0.169811320754717,7.54132075471698,7.24909287349597,2.33734499316854e-06,3.70713787288592e-05,2.32652891429305e-05,"H2BC7/H2BC9/H3C3/H2AC14/H3C12/H3C2/H3C8/H2BC5/H2BC17",9
"R-HSA-606279","Deposition of new CENPA-containing nucleosomes at the centromere","9/200","55/8882",0.163636363636364,7.26709090909091,7.07582067815946,3.22554013797965e-06,4.78221385674375e-05,3.00122606537584e-05,"CENPM/H2BC7/H2BC9/OIP5/KNL1/H2AC14/H2BC5/H2BC17/HJURP",9
"R-HSA-774815","Nucleosome assembly","9/200","55/8882",0.163636363636364,7.26709090909091,7.07582067815946,3.22554013797965e-06,4.78221385674375e-05,3.00122606537584e-05,"CENPM/H2BC7/H2BC9/OIP5/KNL1/H2AC14/H2BC5/H2BC17/HJURP",9
"R-HSA-9710421","Defective pyroptosis","9/200","55/8882",0.163636363636364,7.26709090909091,7.07582067815946,3.22554013797965e-06,4.78221385674375e-05,3.00122606537584e-05,"H2BC7/H2BC9/H3C3/H2AC14/H3C12/H3C2/H3C8/H2BC5/H2BC17",9
"R-HSA-68875","Mitotic Prophase","13/200","123/8882",0.105691056910569,4.69373983739837,6.2607683922813,3.61932064639326e-06,5.25186527838341e-05,3.29597032619097e-05,"H2BC7/H2BC9/PLK1/H3C3/CDK1/H2AC14/CCNB2/H3C12/CCNB1/H3C2/H3C8/H2BC5/H2BC17",13
"R-HSA-9943962","CHD6, CHD7, CHD8, CHD9 subfamily","9/200","56/8882",0.160714285714286,7.13732142857143,6.9924112544705,3.76912949610211e-06,5.35530482571175e-05,3.36088701016458e-05,"H2BC7/H2BC9/H3C3/H2AC14/H3C12/H3C2/H3C8/H2BC5/H2BC17",9
"R-HSA-9616222","Transcriptional regulation of granulopoiesis","10/200","72/8882",0.138888888888889,6.16805555555556,6.68253911828001,4.25828951816179e-06,5.80830690277268e-05,3.64518246036229e-05,"H2BC7/GATA2/H2BC9/H3C3/H2AC14/H3C12/H3C2/H3C8/H2BC5/H2BC17",10
"R-HSA-9940951","Interaction of NuRD complexes with transcription factors","10/200","72/8882",0.138888888888889,6.16805555555556,6.68253911828001,4.25828951816179e-06,5.80830690277268e-05,3.64518246036229e-05,"H2BC7/H2BC9/H3C3/TCF19/H2AC14/H3C12/H3C2/H3C8/H2BC5/H2BC17",10
"R-HSA-212300","PRC2 methylates histones and DNA","9/200","57/8882",0.157894736842105,7.01210526315789,6.91102857676892,4.38959287611029e-06,5.87000459119062e-05,3.68390275104779e-05,"H2BC7/H2BC9/H3C3/H2AC14/H3C12/H3C2/H3C8/H2BC5/H2BC17",9
"R-HSA-9764725","Negative Regulation of CDH1 Gene Transcription","10/200","73/8882",0.136986301369863,6.08356164383562,6.61915058577768,4.83862032999418e-06,6.34603666356929e-05,3.98265138638184e-05,"H2BC7/H2BC9/H3C3/H2AC14/H3C12/SNAI1/H3C2/H3C8/H2BC5/H2BC17",10
"R-HSA-427389","ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression","9/200","58/8882",0.155172413793103,6.89120689655172,6.83158638618013,5.09573522891242e-06,6.55715363418541e-05,4.11514436432819e-05,"H2BC7/H2BC9/H3C3/H2AC14/H3C12/H3C2/H3C8/H2BC5/H2BC17",9
"R-HSA-1500620","Meiosis","11/200","91/8882",0.120879120879121,5.36824175824176,6.35688367651997,5.62282378651023e-06,7.10141818962958e-05,4.45671440263916e-05,"H2BC7/H2BC9/H3C3/MND1/H2AC14/RAD51/H3C12/H3C2/H3C8/H2BC5/H2BC17",11
"R-HSA-5578749","Transcriptional regulation by small RNAs","9/200","59/8882",0.152542372881356,6.77440677966102,6.75400352455481,5.89712997515214e-06,7.31244116918866e-05,4.58914839359355e-05,"H2BC7/H2BC9/H3C3/H2AC14/H3C12/H3C2/H3C8/H2BC5/H2BC17",9
"R-HSA-3214815","HDACs deacetylate histones","10/200","75/8882",0.133333333333333,5.92133333333333,6.4958420677847,6.20771642794488e-06,7.5601117926043e-05,4.74458174577932e-05,"H2BC7/H2AC13/H2BC9/H3C3/H2AC14/H3C12/H3C2/H3C8/H2BC5/H2BC17",10
"R-HSA-69242","S Phase","14/200","150/8882",0.0933333333333333,4.14493333333333,5.89571188166068,6.6454424443998e-06,7.95121359136959e-05,4.9900297637542e-05,"POLE2/CDCA5/CDC6/CDC45/UBE2C/GMNN/MCM2/ORC1/CDT1/CCNA2/MCM4/GINS2/CCNE2/CCNA1",14
