"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","geneID"
"R-HSA-69620","Cell Cycle Checkpoints","36/185","275/8882",2.4442191668561e-19,1.58385402012275e-16,1.00867665336388e-16,36,"H2BC9/SPC24/CENPM/H2BC7/ZWINT/CDC20/CDC6/UBE2C/CDK1/ORC1/AURKB/MCM2/KNL1/CCNA2/NUF2/MCM10/KIF2C/CHEK1/PKMYT1/CCNB1/EXO1/BUB1/MCM4/H2BC5/BIRC5/H2BC17/CENPE/PLK1/SKA1/CCNE2/BUB1B/GTSE1/CCNB2/SPC25/CCNA1/CDC45"
"R-HSA-68886","M Phase","35/185","373/8882",3.08839988871672e-14,1.00064156394422e-11,6.37258087622134e-12,35,"H2BC9/PTTG1/SPC24/CENPM/H2BC7/CDCA5/ZWINT/CDC20/NEK2/UBE2C/CDK1/H2AC14/AURKB/KNL1/KIF23/NUF2/H3C12/KIF2C/FBXO5/CCNB1/KIF20A/NCAPG/BUB1/H3C2/H3C3/H3C8/H2BC5/BIRC5/H2BC17/CENPE/PLK1/SKA1/BUB1B/CCNB2/SPC25"
"R-HSA-69306","DNA Replication","23/185","167/8882",4.27213281371206e-13,9.22780687761806e-11,5.87672426937591e-11,23,"H2BC9/H2BC7/POLE2/CDC6/UBE2C/GMNN/ORC1/H2AC14/CDT1/MCM2/CCNA2/MCM10/H3C12/H3C2/MCM4/GINS2/H3C3/H3C8/H2BC5/H2BC17/CCNE2/CCNA1/CDC45"
"R-HSA-6803157","Antimicrobial peptides","12/185","34/8882",1.71553284826211e-12,2.77916321418462e-10,1.76990872543827e-10,12,"CTSG/PRTN3/DEFA3/CAMP/RNASE3/DEFA1B/LTF/DEFA4/BPI/LCN2/DEFA1/ELANE"
"R-HSA-2500257","Resolution of Sister Chromatid Cohesion","19/185","116/8882",2.24533000932604e-12,2.90994769208655e-10,1.8531987558363e-10,19,"SPC24/CENPM/CDCA5/ZWINT/CDC20/CDK1/AURKB/KNL1/NUF2/KIF2C/CCNB1/BUB1/BIRC5/CENPE/PLK1/SKA1/BUB1B/CCNB2/SPC25"
"R-HSA-453279","Mitotic G1 phase and G1/S transition","20/185","139/8882",6.95694245894305e-12,7.51349785565849e-10,4.78496741228395e-10,20,"POLE2/CDC6/CDK1/GMNN/TK1/MYBL2/ORC1/CDT1/TOP2A/MCM2/CCNA2/MCM10/TYMS/FBXO5/CCNB1/MCM4/RRM2/CCNE2/CCNA1/CDC45"
"R-HSA-69002","DNA Replication Pre-Initiation","19/185","132/8882",2.38955369843672e-11,2.21204399512428e-09,1.40873912983641e-09,19,"H2BC9/H2BC7/POLE2/CDC6/UBE2C/GMNN/ORC1/H2AC14/CDT1/MCM2/MCM10/H3C12/H3C2/MCM4/H3C3/H3C8/H2BC5/H2BC17/CDC45"
"R-HSA-69206","G1/S Transition","18/185","121/8882",4.68338939157142e-11,3.79354540717285e-09,2.41591752590587e-09,18,"POLE2/CDC6/CDK1/GMNN/TK1/ORC1/CDT1/MCM2/CCNA2/MCM10/TYMS/FBXO5/CCNB1/MCM4/RRM2/CCNE2/CCNA1/CDC45"
"R-HSA-69481","G2/M Checkpoints","19/185","144/8882",1.13150125072105e-10,7.40524421140312e-09,4.71602613220721e-09,19,"H2BC9/H2BC7/CDC6/CDK1/ORC1/MCM2/CCNA2/MCM10/CHEK1/PKMYT1/CCNB1/EXO1/MCM4/H2BC5/H2BC17/GTSE1/CCNB2/CCNA1/CDC45"
"R-HSA-69205","G1/S-Specific Transcription","10/185","28/8882",1.14278460052517e-10,7.40524421140312e-09,4.71602613220721e-09,10,"CDC6/CDK1/TK1/ORC1/CDT1/TYMS/FBXO5/RRM2/CCNA1/CDC45"
"R-HSA-2555396","Mitotic Metaphase and Anaphase","22/185","211/8882",3.81171167358023e-10,2.17280474809311e-08,1.38374963467268e-08,22,"PTTG1/SPC24/CENPM/CDCA5/ZWINT/CDC20/UBE2C/CDK1/AURKB/KNL1/NUF2/KIF2C/FBXO5/CCNB1/BUB1/BIRC5/CENPE/PLK1/SKA1/BUB1B/CCNB2/SPC25"
"R-HSA-68877","Mitotic Prometaphase","21/185","193/8882",4.45469777005173e-10,2.17280474809311e-08,1.38374963467268e-08,21,"SPC24/CENPM/CDCA5/ZWINT/CDC20/NEK2/CDK1/AURKB/KNL1/NUF2/KIF2C/CCNB1/NCAPG/BUB1/BIRC5/CENPE/PLK1/SKA1/BUB1B/CCNB2/SPC25"
"R-HSA-141424","Amplification of signal from the kinetochores","15/185","91/8882",4.69433124588018e-10,2.17280474809311e-08,1.38374963467268e-08,15,"SPC24/CENPM/ZWINT/CDC20/AURKB/KNL1/NUF2/KIF2C/BUB1/BIRC5/CENPE/PLK1/SKA1/BUB1B/SPC25"
"R-HSA-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","15/185","91/8882",4.69433124588018e-10,2.17280474809311e-08,1.38374963467268e-08,15,"SPC24/CENPM/ZWINT/CDC20/AURKB/KNL1/NUF2/KIF2C/BUB1/BIRC5/CENPE/PLK1/SKA1/BUB1B/SPC25"
"R-HSA-69618","Mitotic Spindle Checkpoint","16/185","108/8882",6.26093124924656e-10,2.70472229967451e-08,1.72250106566191e-08,16,"SPC24/CENPM/ZWINT/CDC20/UBE2C/AURKB/KNL1/NUF2/KIF2C/BUB1/BIRC5/CENPE/PLK1/SKA1/BUB1B/SPC25"
"R-HSA-2299718","Condensation of Prophase Chromosomes","12/185","55/8882",9.37330296989154e-10,3.79618770280607e-08,2.41760027057972e-08,12,"H2BC9/H2BC7/CDK1/H2AC14/H3C12/CCNB1/H3C2/H3C3/H3C8/H2BC5/H2BC17/PLK1"
