"Gene","Pathway","log2FoldChange","padj","Regulation"
"CCNA1","Cell Cycle Checkpoints",2.02424258991859,5.17271429014305e-11,"Upregulated"
"CDC45","Cell Cycle Checkpoints",1.56232813746007,1.38135586961633e-17,"Upregulated"
"CCNA2","Cell Cycle Checkpoints",1.47580665385276,9.18963695145486e-21,"Upregulated"
"H2BC17","Cell Cycle Checkpoints",1.39835265044974,6.84907671600332e-09,"Upregulated"
"CDC6","Cell Cycle Checkpoints",1.35424911024721,1.33797651450386e-21,"Upregulated"
"ORC1","Cell Cycle Checkpoints",1.35341862281773,3.43027570288354e-13,"Upregulated"
"MCM2","Cell Cycle Checkpoints",1.11502256810241,2.48698698668253e-12,"Upregulated"
"MCM4","Cell Cycle Checkpoints",1.08459906556654,7.71304024223754e-13,"Upregulated"
"H2BC7","Cell Cycle Checkpoints",1.0782036366757,1.47475084069439e-11,"Upregulated"
"H2BC5","Cell Cycle Checkpoints",1.06992282292609,4.52766419380454e-13,"Upregulated"
"MCM10","Cell Cycle Checkpoints",1.03123570646764,2.28828169008467e-07,"Upregulated"
"H2BC9","Cell Cycle Checkpoints",1.00978030352881,6.97851723744761e-09,"Upregulated"
"CCNA1","DNA Replication",2.02424258991859,5.17271429014305e-11,"Upregulated"
"CDC45","DNA Replication",1.56232813746007,1.38135586961633e-17,"Upregulated"
"CCNA2","DNA Replication",1.47580665385276,9.18963695145486e-21,"Upregulated"
"H2BC17","DNA Replication",1.39835265044974,6.84907671600332e-09,"Upregulated"
"CDC6","DNA Replication",1.35424911024721,1.33797651450386e-21,"Upregulated"
"ORC1","DNA Replication",1.35341862281773,3.43027570288354e-13,"Upregulated"
"MCM2","DNA Replication",1.11502256810241,2.48698698668253e-12,"Upregulated"
"MCM4","DNA Replication",1.08459906556654,7.71304024223754e-13,"Upregulated"
"H2BC7","DNA Replication",1.0782036366757,1.47475084069439e-11,"Upregulated"
"H2BC5","DNA Replication",1.06992282292609,4.52766419380454e-13,"Upregulated"
"MCM10","DNA Replication",1.03123570646764,2.28828169008467e-07,"Upregulated"
"H2BC9","DNA Replication",1.00978030352881,6.97851723744761e-09,"Upregulated"
"CCNA1","G2/M Checkpoints",2.02424258991859,5.17271429014305e-11,"Upregulated"
"CDC45","G2/M Checkpoints",1.56232813746007,1.38135586961633e-17,"Upregulated"
"CCNA2","G2/M Checkpoints",1.47580665385276,9.18963695145486e-21,"Upregulated"
"H2BC17","G2/M Checkpoints",1.39835265044974,6.84907671600332e-09,"Upregulated"
"CDC6","G2/M Checkpoints",1.35424911024721,1.33797651450386e-21,"Upregulated"
"ORC1","G2/M Checkpoints",1.35341862281773,3.43027570288354e-13,"Upregulated"
"MCM2","G2/M Checkpoints",1.11502256810241,2.48698698668253e-12,"Upregulated"
"MCM4","G2/M Checkpoints",1.08459906556654,7.71304024223754e-13,"Upregulated"
"H2BC7","G2/M Checkpoints",1.0782036366757,1.47475084069439e-11,"Upregulated"
"H2BC5","G2/M Checkpoints",1.06992282292609,4.52766419380454e-13,"Upregulated"
"MCM10","G2/M Checkpoints",1.03123570646764,2.28828169008467e-07,"Upregulated"
"H2BC9","G2/M Checkpoints",1.00978030352881,6.97851723744761e-09,"Upregulated"
