"Node","log2FoldChange","padj","Regulation","NodeType"
"CCNA1",2.02424258991859,5.17271429014305e-11,"Upregulated","Gene"
"CDC45",1.56232813746007,1.38135586961633e-17,"Upregulated","Gene"
"CCNA2",1.47580665385276,9.18963695145486e-21,"Upregulated","Gene"
"H2BC17",1.39835265044974,6.84907671600332e-09,"Upregulated","Gene"
"CDC6",1.35424911024721,1.33797651450386e-21,"Upregulated","Gene"
"ORC1",1.35341862281773,3.43027570288354e-13,"Upregulated","Gene"
"MCM2",1.11502256810241,2.48698698668253e-12,"Upregulated","Gene"
"MCM4",1.08459906556654,7.71304024223754e-13,"Upregulated","Gene"
"H2BC7",1.0782036366757,1.47475084069439e-11,"Upregulated","Gene"
"H2BC5",1.06992282292609,4.52766419380454e-13,"Upregulated","Gene"
"MCM10",1.03123570646764,2.28828169008467e-07,"Upregulated","Gene"
"H2BC9",1.00978030352881,6.97851723744761e-09,"Upregulated","Gene"
"Cell Cycle Checkpoints",NA,NA,NA,"Pathway"
"DNA Replication",NA,NA,NA,"Pathway"
"G2/M Checkpoints",NA,NA,NA,"Pathway"
