"source","target","combined_score"
"CDC6","CCNA1",993
"CDC6","MCM4",999
"CCNA1","MCM4",923
"CDC6","MCM2",999
"CCNA1","MCM2",698
"MCM4","MCM2",999
"CCNA1","H2BC5",619
"H2BC5","H2BC7",971
"CDC6","ORC1",999
"CCNA1","ORC1",879
"MCM4","ORC1",998
"MCM2","ORC1",998
"H2BC5","ORC1",658
"CDC6","CDC45",994
"CCNA1","CDC45",554
"MCM4","CDC45",999
"MCM2","CDC45",999
"ORC1","CDC45",990
"CDC6","MCM10",998
"CCNA1","MCM10",600
"MCM4","MCM10",999
"MCM2","MCM10",997
"ORC1","MCM10",930
"CDC45","MCM10",999
"CCNA1","H2BC17",621
"H2BC5","H2BC17",945
"H2BC7","H2BC17",964
"ORC1","H2BC17",658
"CCNA1","H2BC9",620
"H2BC5","H2BC9",977
"H2BC7","H2BC9",966
"ORC1","H2BC9",658
"H2BC17","H2BC9",971
"CDC6","CCNA2",999
"CCNA1","CCNA2",977
"MCM4","CCNA2",895
"MCM2","CCNA2",827
"H2BC5","CCNA2",651
"ORC1","CCNA2",977
"CDC45","CCNA2",906
"MCM10","CCNA2",949
"H2BC17","CCNA2",723
"H2BC9","CCNA2",648
