"gene","STRING_id","log2FoldChange","padj","Regulation"
"CCNA1","9606.ENSP00000255465",2.02424258991859,5.17271429014305e-11,"Upregulated"
"CCNA2","9606.ENSP00000481380",1.47580665385276,9.18963695145486e-21,"Upregulated"
"CDC45","9606.ENSP00000405726",1.56232813746007,1.38135586961633e-17,"Upregulated"
"CDC6","9606.ENSP00000209728",1.35424911024721,1.33797651450386e-21,"Upregulated"
"H2BC17","9606.ENSP00000477527",1.39835265044974,6.84907671600332e-09,"Upregulated"
"H2BC5","9606.ENSP00000289316",1.06992282292609,4.52766419380454e-13,"Upregulated"
"H2BC7","9606.ENSP00000348924",1.0782036366757,1.47475084069439e-11,"Upregulated"
"H2BC9","9606.ENSP00000479169",1.00978030352881,6.97851723744761e-09,"Upregulated"
"MCM10","9606.ENSP00000418268",1.03123570646764,2.28828169008467e-07,"Upregulated"
"MCM2","9606.ENSP00000265056",1.11502256810241,2.48698698668253e-12,"Upregulated"
"MCM4","9606.ENSP00000262105",1.08459906556654,7.71304024223754e-13,"Upregulated"
"ORC1","9606.ENSP00000360623",1.35341862281773,3.43027570288354e-13,"Upregulated"
