"from","to","combined_score","from_name","to_name"
"9606.ENSP00000209728","9606.ENSP00000255465",993,"CDC6","CCNA1"
"9606.ENSP00000209728","9606.ENSP00000262105",999,"CDC6","MCM4"
"9606.ENSP00000255465","9606.ENSP00000262105",923,"CCNA1","MCM4"
"9606.ENSP00000209728","9606.ENSP00000265056",999,"CDC6","MCM2"
"9606.ENSP00000255465","9606.ENSP00000265056",698,"CCNA1","MCM2"
"9606.ENSP00000262105","9606.ENSP00000265056",999,"MCM4","MCM2"
"9606.ENSP00000255465","9606.ENSP00000289316",619,"CCNA1","H2BC5"
"9606.ENSP00000289316","9606.ENSP00000348924",971,"H2BC5","H2BC7"
"9606.ENSP00000209728","9606.ENSP00000360623",999,"CDC6","ORC1"
"9606.ENSP00000255465","9606.ENSP00000360623",879,"CCNA1","ORC1"
"9606.ENSP00000262105","9606.ENSP00000360623",998,"MCM4","ORC1"
"9606.ENSP00000265056","9606.ENSP00000360623",998,"MCM2","ORC1"
"9606.ENSP00000289316","9606.ENSP00000360623",658,"H2BC5","ORC1"
"9606.ENSP00000209728","9606.ENSP00000405726",994,"CDC6","CDC45"
"9606.ENSP00000255465","9606.ENSP00000405726",554,"CCNA1","CDC45"
"9606.ENSP00000262105","9606.ENSP00000405726",999,"MCM4","CDC45"
"9606.ENSP00000265056","9606.ENSP00000405726",999,"MCM2","CDC45"
"9606.ENSP00000360623","9606.ENSP00000405726",990,"ORC1","CDC45"
"9606.ENSP00000209728","9606.ENSP00000418268",998,"CDC6","MCM10"
"9606.ENSP00000255465","9606.ENSP00000418268",600,"CCNA1","MCM10"
"9606.ENSP00000262105","9606.ENSP00000418268",999,"MCM4","MCM10"
"9606.ENSP00000265056","9606.ENSP00000418268",997,"MCM2","MCM10"
"9606.ENSP00000360623","9606.ENSP00000418268",930,"ORC1","MCM10"
"9606.ENSP00000405726","9606.ENSP00000418268",999,"CDC45","MCM10"
"9606.ENSP00000255465","9606.ENSP00000477527",621,"CCNA1","H2BC17"
"9606.ENSP00000289316","9606.ENSP00000477527",945,"H2BC5","H2BC17"
"9606.ENSP00000348924","9606.ENSP00000477527",964,"H2BC7","H2BC17"
"9606.ENSP00000360623","9606.ENSP00000477527",658,"ORC1","H2BC17"
"9606.ENSP00000255465","9606.ENSP00000479169",620,"CCNA1","H2BC9"
"9606.ENSP00000289316","9606.ENSP00000479169",977,"H2BC5","H2BC9"
"9606.ENSP00000348924","9606.ENSP00000479169",966,"H2BC7","H2BC9"
"9606.ENSP00000360623","9606.ENSP00000479169",658,"ORC1","H2BC9"
"9606.ENSP00000477527","9606.ENSP00000479169",971,"H2BC17","H2BC9"
"9606.ENSP00000209728","9606.ENSP00000481380",999,"CDC6","CCNA2"
"9606.ENSP00000255465","9606.ENSP00000481380",977,"CCNA1","CCNA2"
"9606.ENSP00000262105","9606.ENSP00000481380",895,"MCM4","CCNA2"
"9606.ENSP00000265056","9606.ENSP00000481380",827,"MCM2","CCNA2"
"9606.ENSP00000289316","9606.ENSP00000481380",651,"H2BC5","CCNA2"
"9606.ENSP00000360623","9606.ENSP00000481380",977,"ORC1","CCNA2"
"9606.ENSP00000405726","9606.ENSP00000481380",906,"CDC45","CCNA2"
"9606.ENSP00000418268","9606.ENSP00000481380",949,"MCM10","CCNA2"
"9606.ENSP00000477527","9606.ENSP00000481380",723,"H2BC17","CCNA2"
"9606.ENSP00000479169","9606.ENSP00000481380",648,"H2BC9","CCNA2"
