"Gene","log2FoldChange","padj","Degree","Betweenness","Closeness","N_Core_Pathways"
"CCNA1",2.02424258991859,5.17271429014305e-11,10,0.121212121212121,0.916666666666667,3
"CCNA2",1.47580665385276,9.18963695145486e-21,10,0.121212121212121,0.916666666666667,3
"ORC1",1.35341862281773,3.43027570288354e-13,10,0.121212121212121,0.916666666666667,3
"CDC45",1.56232813746007,1.38135586961633e-17,7,0,0.6875,3
"CDC6",1.35424911024721,1.33797651450386e-21,7,0,0.6875,3
"MCM2",1.11502256810241,2.48698698668253e-12,7,0,0.6875,3
"MCM4",1.08459906556654,7.71304024223754e-13,7,0,0.6875,3
"MCM10",1.03123570646764,2.28828169008467e-07,7,0,0.6875,3
"H2BC17",1.39835265044974,6.84907671600332e-09,6,0.0484848484848485,0.6875,3
"H2BC5",1.06992282292609,4.52766419380454e-13,6,0.0484848484848485,0.6875,3
"H2BC9",1.00978030352881,6.97851723744761e-09,6,0.0484848484848485,0.6875,3
"H2BC7",1.0782036366757,1.47475084069439e-11,3,0,0.458333333333333,3
