"Rank","Gene","Degree","Betweenness","Closeness","log2FoldChange","padj","Regulation","N_Core_Pathways"
1,"CCNA2",10,0.121212121212121,0.916666666666667,1.47580665385276,9.18963695145486e-21,"Upregulated",3
2,"ORC1",10,0.121212121212121,0.916666666666667,1.35341862281773,3.43027570288354e-13,"Upregulated",3
3,"CCNA1",10,0.121212121212121,0.916666666666667,2.02424258991859,5.17271429014305e-11,"Upregulated",3
4,"CDC6",7,0,0.6875,1.35424911024721,1.33797651450386e-21,"Upregulated",3
5,"CDC45",7,0,0.6875,1.56232813746007,1.38135586961633e-17,"Upregulated",3
6,"MCM4",7,0,0.6875,1.08459906556654,7.71304024223754e-13,"Upregulated",3
7,"MCM2",7,0,0.6875,1.11502256810241,2.48698698668253e-12,"Upregulated",3
8,"MCM10",7,0,0.6875,1.03123570646764,2.28828169008467e-07,"Upregulated",3
9,"H2BC5",6,0.0484848484848485,0.6875,1.06992282292609,4.52766419380454e-13,"Upregulated",3
10,"H2BC17",6,0.0484848484848485,0.6875,1.39835265044974,6.84907671600332e-09,"Upregulated",3
11,"H2BC9",6,0.0484848484848485,0.6875,1.00978030352881,6.97851723744761e-09,"Upregulated",3
12,"H2BC7",3,0,0.458333333333333,1.0782036366757,1.47475084069439e-11,"Upregulated",3
