"Protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","Significant"
"OID20697",2.38172330382813,6.91940130548303,13.3012341510708,2.86907463316579e-33,4.09990765079392e-30,64.8094822063785,"Up",TRUE
"OID21481",1.67561296710324,4.75477702349869,12.9113722303242,9.59779559791826e-32,6.8576249547126e-29,61.344590029325,"Up",TRUE
"OID20341",0.950390668057511,7.77943133159269,12.7861089626701,2.9076556139392e-31,1.38501329077304e-28,60.2504271109355,"Up",TRUE
"OID21044",1.04668832309554,4.61704334203655,12.4791238884603,4.45776324538732e-30,1.37576951799449e-27,57.5563173296623,"Up",TRUE
"OID20178",1.96002515966242,4.4876044386423,12.4713399308417,4.81374918822424e-30,1.37576951799449e-27,57.4806234401846,"Up",TRUE
"OID21226",2.20552374035809,3.91665561357702,12.1159025504225,1.09342148842021e-28,2.60416551158748e-26,54.3990679011161,"Up",TRUE
"OID20795",1.8271656575561,2.12340704960836,11.1785916179051,3.41007089795972e-25,6.96141616169206e-23,46.4642581889696,"Up",TRUE
"OID20754",-1.0464999125747,4.10794830287206,-11.0549404301236,9.60825791069565e-25,1.71627506929801e-22,45.4429877730137,"Down",TRUE
"OID20523",2.05448487415158,4.35613315926893,10.9317965731209,2.69602279329135e-24,4.28068507957038e-22,44.4260564899104,"Up",TRUE
"OID20781",0.996597497409819,8.38766657963446,10.6941246333902,1.92283465717332e-23,2.74773072510067e-21,42.4897973798942,"Up",TRUE
"OID20436",1.69871696357656,3.83139190600522,10.4040681942688,2.07368796782492e-22,2.69390918729256e-20,40.1469720708196,"Up",TRUE
"OID21042",1.57100891575227,4.90927336814621,10.0914044254946,2.57527937923884e-21,3.06672852744358e-19,37.6660060193225,"Up",TRUE
"OID20234",1.40417716480759,5.13277415143603,10.0593729164543,3.32568776862842e-21,3.65569832413078e-19,37.4142320998649,"Up",TRUE
"OID20224",-0.670428037433063,0.751980156657963,-9.9808413869142,6.20124741828454e-21,6.32970182909186e-19,36.8007674028412,"Down",TRUE
"OID21466",1.33680034573918,8.26877023498695,9.66023808140651,7.74559830606369e-20,7.37897331957667e-18,34.3158034393362,"Up",TRUE
"OID20279",-0.990129434090005,1.73982663185379,-9.58195926599082,1.42386402924895e-19,1.27168856112297e-17,33.7168027281637,"Down",TRUE
"OID20536",1.18124621367248,2.50028877284595,9.49213494295012,2.85321674790578e-19,2.39838043103374e-17,33.0330603705503,"Up",TRUE
"OID21429",0.825620348291831,5.95109817232376,9.35044671011697,8.447787820499e-19,6.70660488638504e-17,31.9654316078786,"Up",TRUE
"OID20750",0.939602016932085,6.18758798955614,9.31360717083654,1.12134573386487e-18,8.43370028259419e-17,31.6870016072092,"Up",TRUE
"OID20654",0.802187046178941,6.48111096605744,9.26207381561022,1.65767339142351e-18,1.1844076381721e-16,31.302617571188,"Up",TRUE
"OID20362",0.7224154938209,4.35890835509138,9.10967351255337,5.25302113676284e-18,3.57455581163528e-16,30.1688115158155,"Up",TRUE
"OID20604",1.22720999759839,6.34757754569191,9.07227634460839,6.97848263817429e-18,4.53284167725048e-16,29.8897545443925,"Up",TRUE
"OID21514",0.738567637242181,3.75887806788512,8.96152303405989,1.59391733825725e-17,9.90307772334615e-16,29.0780332702769,"Up",TRUE
"OID21029",1.63117025695571,4.43708772845953,8.84210972155381,3.87745990199777e-17,2.30870424998117e-15,28.2047790273535,"Up",TRUE
"OID20773",0.760461647454878,6.07667545691906,8.7369675217305,8.38919074401678e-17,4.79526142927999e-15,27.4467079962239,"Up",TRUE
"OID21187",1.25496140089659,2.01743577023499,8.59133859987685,2.43366426821983e-16,1.33757932280236e-14,26.4011021260935,"Up",TRUE
"OID20116",-0.632630731507023,1.68339608355091,-8.54816528475069,3.32107562327021e-16,1.75771002431597e-14,26.0958606022079,"Down",TRUE
"OID21062",0.751417925553874,5.77180574412533,8.50093714538362,4.66938577960683e-16,2.38305438537792e-14,25.7614212684306,"Up",TRUE
"OID20405",-0.855098428414291,5.13665404699739,-8.44086114409821,7.20267403274012e-16,3.54917972165022e-14,25.3361398202872,"Down",TRUE
"OID20302",0.726647135007577,5.66979869451697,8.36241847995947,1.26075568152045e-15,6.00539956297573e-14,24.786802118989,"Up",TRUE
"OID21107",-0.549405944829316,1.87618590078329,-8.31235853559239,1.8003365423067e-15,8.29897070631054e-14,24.437320053623,"Down",TRUE
"OID21048",-0.631756884376457,1.63635091383812,-8.26642802741992,2.49600463272658e-15,1.11462206880196e-13,24.116909387081,"Down",TRUE
"OID21159",0.678638863542584,5.6621091383812,8.18985683356465,4.2804372915404e-15,1.85355905745795e-13,23.5879480120826,"Up",TRUE
"OID20638",1.03677806444303,6.12384934725849,7.98976801866366,1.73194205035363e-14,7.16761955620706e-13,22.2179033543223,"Up",TRUE
"OID20104",0.634333167717184,2.91932767624021,7.9875538948821,1.75554012923196e-14,7.16761955620706e-13,22.204564609761,"Up",TRUE
"OID20180",0.629738794625988,3.97661723237598,7.96727019577018,2.01973389728468e-14,8.01722149783281e-13,22.0671990652284,"Up",TRUE
"OID21315",0.862496310970193,3.37169164490862,7.90423408090356,3.12142073520237e-14,1.2055433055687e-12,21.6407583315049,"Up",TRUE
"OID21079",-0.709091702681915,2.49372480417755,-7.81096318435324,5.90570199915068e-14,2.22085477810166e-12,21.0162122376365,"Down",TRUE
"OID20664",-0.834152528406096,5.1858365535248,-7.66931816046957,1.5411684522992e-13,5.60784698060964e-12,20.0771242269252,"Down",TRUE
"OID20378",0.828482646703629,7.14910339425587,7.6633641584218,1.60402989137523e-13,5.60784698060964e-12,20.0379917507851,"Up",TRUE
"OID20904",1.07303466243879,3.33567127937337,7.66279591410535,1.61101378589919e-13,5.60784698060964e-12,20.0337643789229,"Up",TRUE
"OID20157",-0.615821241452943,1.07769216710183,-7.65933079247041,1.64821254853467e-13,5.60784698060964e-12,20.0113997383337,"Down",TRUE
"OID20690",0.762381468537282,4.36732506527415,7.6116882158475,2.26830676320138e-13,7.53816363863902e-12,19.6988666797941,"Up",TRUE
"OID21084",0.916930721324635,5.12056292428198,7.51536978766307,4.3113793634383e-13,1.40021843417121e-11,19.0705558082585,"Up",TRUE
"OID21483",-0.413389075163285,-0.00304621409921671,-7.4978431808894,4.83868839462202e-13,1.53655238131442e-11,18.9576531178275,"NS",FALSE
"OID20265",-0.674691154313042,2.92362036553525,-7.39935039738182,9.26052399192895e-13,2.86617082815039e-11,18.3228668583294,"Down",TRUE
"OID20495",2.14671837982672,2.96134162303665,7.39746528255966,9.42687396242606e-13,2.86617082815039e-11,18.3057510074669,"Up",TRUE
"OID20355",0.823606508649469,4.81667415143603,7.32991416380004,1.45853406163441e-12,4.34217744599077e-11,17.8788125304598,"Up",TRUE
"OID20883",1.02587570996529,1.49966135770235,7.27155378024055,2.13185779948403e-12,6.21719346012793e-11,17.5078858210364,"Up",TRUE
"OID21028",0.625220617624327,2.43186266318538,7.174974766072,3.97112250886174e-12,1.13494681303268e-10,16.9001264639877,"Up",TRUE
"OID20126",-0.617668358660895,0.840514882506527,-7.13820097785552,5.02896313382881e-12,1.40909574867478e-10,16.6695080432148,"Down",TRUE
"OID20397",-0.569854759932392,4.07834778067885,-7.11946013694034,5.66170324645948e-12,1.5558796036905e-10,16.5537131377472,"Down",TRUE
"OID20211",0.646851890400778,2.13363107049608,7.11157355308551,5.95821320973054e-12,1.60646918428395e-10,16.5039092620916,"Up",TRUE
"OID20652",0.64700808513336,6.50119033942559,6.94831318072808,1.67196466627481e-11,4.4245139039013e-10,15.4967725191882,"Up",TRUE
"OID20946",-0.465989808456059,1.8845681462141,-6.91159046599407,2.10319732350616e-11,5.46448904598238e-10,15.2729012990311,"NS",FALSE
"OID20985",-0.823528176946306,3.40285665796345,-6.89998638774447,2.26363307898151e-11,5.7763065533296e-10,15.2012580837355,"Down",TRUE
"OID20239",-0.732685831119532,2.99622245430809,-6.82214734864434,3.66969617585138e-11,9.19999269349407e-10,14.7300770894195,"Down",TRUE
"OID21117",-0.371487802130175,0.530564751958225,-6.79804231625809,4.2558955320886e-11,1.03485032837362e-09,14.5855515759263,"NS",FALSE
"OID20173",-0.517772045623654,3.41194125326371,-6.79739989669688,4.27265006116469e-11,1.03485032837362e-09,14.5817191737201,"Down",TRUE
"OID20393",-0.687239976343474,3.08158015665796,-6.78810122664778,4.52803094353793e-11,1.07842603638595e-09,14.5251698622483,"Down",TRUE
"OID21322",0.565607425525824,2.57959373368146,6.77216423409957,4.99209258459722e-11,1.16945906612941e-09,14.430028407,"Up",TRUE
"OID21439",-0.916153615507383,5.62953315926893,-6.67020193396393,9.3223022726669e-11,2.14864031413565e-09,13.8214760148041,"Down",TRUE
"OID20772",-1.21476093831347,5.01057180156658,-6.66437861141395,9.65830238538931e-11,2.19074827122561e-09,13.7869826843534,"Down",TRUE
"OID20343",-0.375358720347656,0.693620626631854,-6.63796448157545,1.13273494999512e-10,2.52918475553598e-09,13.6316558648037,"NS",FALSE
"OID20953",0.657992615465834,3.32242872062663,6.62241504299425,1.24529063097102e-10,2.7377235563963e-09,13.5394264913654,"Up",TRUE
"OID20746",-0.525964274029396,4.91078485639687,-6.61464591705321,1.3044514275116e-10,2.82433498471829e-09,13.4941888476109,"Down",TRUE
"OID21054",-0.509931101791322,3.00352558746736,-6.5771843308122,1.63519118559025e-10,3.4875943346395e-09,13.2741442188476,"Down",TRUE
"OID20145",-0.52989201141755,1.79166762402089,-6.55743276928008,1.84214916049755e-10,3.87122227992794e-09,13.1581466443681,"Down",TRUE
"OID20989",0.665279984686758,5.10659791122715,6.52382397360111,2.25358112713708e-10,4.66719917489693e-09,12.9619259640001,"Up",TRUE
"OID20596",1.34306280316621,2.9021365535248,6.4312758367824,3.90994653899376e-10,7.98187657746013e-09,12.4258004662924,"Up",TRUE
"OID21393",-0.626313070441343,1.17781749347258,-6.42592107046357,4.03579787395878e-10,8.12275374913676e-09,12.3949840095686,"Down",TRUE
"OID21517",-0.650324681673339,1.81500704960836,-6.38644927832017,5.09425806823485e-10,1.01106871937606e-08,12.1684581352914,"Down",TRUE
"OID21458",-0.547124054961791,4.42380861618799,-6.34777110324322,6.38854030351388e-10,1.25057864297553e-08,11.9482746933787,"Down",TRUE
"OID20096",0.788493238360269,2.40250574412533,6.32238737077845,7.41721662094589e-10,1.43232466909888e-08,11.8031915625761,"Up",TRUE
"OID21416",-0.401598489964485,1.15414934725849,-6.31917642028436,7.55184356881322e-10,1.43887792797788e-08,11.7856532203275,"NS",FALSE
"OID20599",0.610476959266621,3.24314281984334,6.311415784111,7.90545744860704e-10,1.48643403869203e-08,11.7412051989733,"Up",TRUE
"OID20113",0.725977647226903,3.29710835509138,6.29096322276801,8.90877617831172e-10,1.65333002062434e-08,11.6250998997818,"Up",TRUE
"OID21112",0.751602004076359,4.02330026109661,6.27312694251567,9.8821492275602e-10,1.81046041617738e-08,11.5243334127972,"Up",TRUE
"OID20330",-0.33578012948323,0.452741253263708,-6.24814829859799,1.14139062101868e-09,2.06461670561479e-08,11.3842664890831,"NS",FALSE
"OID20994",-0.595335974760534,1.67551618798956,-6.22932785037682,1.2734584387891e-09,2.27471513628704e-08,11.2779463310221,"Down",TRUE
"OID21284",-0.86551663953947,1.84048459530026,-6.20446811162097,1.46990922273915e-09,2.56340709236984e-08,11.1386013457754,"Down",TRUE
"OID21421",0.760897600753121,4.63275613577023,6.2043446821491,1.47095438470488e-09,2.56340709236984e-08,11.1379110002281,"Up",TRUE
"OID21460",-0.588905143012395,4.11321227154047,-6.19604805892792,1.54231901742305e-09,2.65539021192475e-08,11.0918717470245,"Down",TRUE
"OID20334",-0.942992007199042,5.08809399477807,-6.19175381811664,1.58147945802046e-09,2.69039779227528e-08,11.0675483236391,"Down",TRUE
"OID20533",0.921616772208008,4.4393046997389,6.18464648806116,1.64741503648068e-09,2.76959539662458e-08,11.0278809638387,"Up",TRUE
"OID21298",-0.511628076589501,1.42549242819843,-6.1240178645104,2.33025310482819e-09,3.87201358930173e-08,10.6911911445588,"Down",TRUE
"OID21007",-0.315498806669511,0.844586422976501,-6.12138954848126,2.36395448883602e-09,3.88286317763985e-08,10.677207146155,"NS",FALSE
"OID20969",0.622874844809805,6.02230522193211,6.11818683678239,2.40883567026783e-09,3.91162065092356e-08,10.6589930750791,"Up",TRUE
"OID20368",-0.776921235366699,3.35617806788512,-6.10400261142369,2.6120949255947e-09,4.19402657154474e-08,10.5803878060686,"Down",TRUE
"OID20384",-0.608200902943065,4.50405039164491,-6.08696468879411,2.87679201180403e-09,4.56770642763106e-08,10.4866956401676,"Down",TRUE
"OID20937",1.06088073564723,4.21807597911227,5.99969366285127,4.70883466747619e-09,7.39442279101481e-08,10.0086977710487,"Up",TRUE
"OID20306",-0.364632234425709,2.51882375979112,-5.99444479145165,4.84553661022298e-09,7.52638240870505e-08,9.98088265007731,"NS",FALSE
"OID20109",-0.432452419530659,3.51774699738903,-5.99214654174737,4.90873180418124e-09,7.54255671846774e-08,9.96832317016835,"NS",FALSE
"OID20602",0.590910534110052,1.47319608355091,5.9868384007204,5.06078669276403e-09,7.69347253612745e-08,9.93880093125744,"Up",TRUE
"OID20243",-0.339223756756019,1.75368302872063,-5.97645615086677,5.3592837276938e-09,8.06149099670993e-08,9.88317081981915,"NS",FALSE
"OID20692",0.453659233465317,4.52108798955614,5.96570205705307,5.69230623092867e-09,8.47323500416362e-08,9.82473523712622,"NS",FALSE
"OID20227",1.02948836856505,2.1081637075718,5.95781631466046,5.95250883094757e-09,8.76921146332379e-08,9.78145515227107,"Up",TRUE
"OID20376",-0.319225039312362,2.23571488250653,-5.93499899227497,6.75429515561184e-09,9.84886507894828e-08,9.65890234578145,"NS",FALSE
"OID20235",0.481311873605477,2.69386005221932,5.88677075095991,8.82792778884572e-09,1.27425341517783e-07,9.399464221918,"NS",FALSE
"OID20649",-0.554489851277068,3.69355221932115,-5.8781727097751,9.26013650139554e-09,1.32327350604942e-07,9.35317879785538,"Down",TRUE
"OID20719",0.497307217015398,4.62042584856397,5.85308127238693,1.06313690171046e-08,1.50418082430123e-07,9.21939195528951,"NS",FALSE
"OID21337",0.746529095280175,3.46018851174935,5.81784960119396,1.29084684608586e-08,1.80845112064382e-07,9.03149163276585,"Up",TRUE
"OID21443",-0.372228703752427,3.29118563968668,-5.80807633062582,1.36080264635921e-08,1.88112983565243e-07,8.98033089134494,"NS",FALSE
"OID20274",1.29418254893867,3.45766240208877,5.80710659681035,1.36905180481353e-08,1.88112983565243e-07,8.97454010681744,"Up",TRUE
"OID20429",0.583146166538777,3.79833054830287,5.78379864246003,1.5546267019814e-08,2.11577291155373e-07,8.8514620335513,"Up",TRUE
"OID20759",-0.564138599224884,3.87662532637076,-5.7676205220663,1.69782012069709e-08,2.271170251991e-07,8.76617596400843,"Down",TRUE
"OID20705",0.33261336290151,4.82431749347259,5.7672316083228,1.70059633983931e-08,2.271170251991e-07,8.7645544117119,"NS",FALSE
"OID20550",-0.455743046393569,0.511870496083551,-5.69305549211745,2.54292712692046e-08,3.36466931886049e-07,8.37534176963993,"NS",FALSE
"OID20255",-0.489759511179491,3.74623028720627,-5.68805838278587,2.61092220091019e-08,3.42294295880795e-07,8.34977547677414,"NS",FALSE
"OID20275",-0.578341318090197,0.338053263707572,-5.68281884562309,2.68698695518749e-08,3.49064032632993e-07,8.3220470088222,"Down",TRUE
"OID21520",-0.357244918277662,4.5307861618799,-5.68043808824507,2.71976413275805e-08,3.50139004118131e-07,8.31026285459696,"NS",FALSE
"OID21296",1.06250507806658,5.68130652741514,5.67341964606802,2.82624351076001e-08,3.60598390792505e-07,8.27318304552442,"Up",TRUE
"OID20653",-0.594279771439527,4.76473968668407,-5.67012649305986,2.8761948729629e-08,3.63724112695928e-07,8.25622679466197,"Down",TRUE
"OID20979",0.697762118932043,6.51764621409922,5.64938378223706,3.21510694778789e-08,4.03016476174464e-07,8.14853570662762,"Up",TRUE
"OID20390",-0.319735918140224,1.87983864229765,-5.633591236806,3.4961666229914e-08,4.34436704717802e-07,8.06745940436749,"NS",FALSE
"OID21017",0.414910689724132,0.620263968668407,5.61835049004164,3.79435576742698e-08,4.67425378590789e-07,7.98839045848811,"NS",FALSE
"OID20570",0.766227916165195,5.66872506527415,5.61561469651971,3.85066996659936e-08,4.70308323270982e-07,7.97416451052605,"Up",TRUE
"OID21136",-0.524008730964407,4.03881906005222,-5.61141799185061,3.93670227681135e-08,4.76741318098595e-07,7.95278594587291,"Down",TRUE
"OID20189",-0.418661471064605,3.0251864229765,-5.60555997699071,4.0603978985929e-08,4.87588957738593e-07,7.92286485872457,"NS",FALSE
"OID20916",-1.16860793500705,2.07014255874674,-5.59955861306092,4.19425606550367e-08,4.99465993133729e-07,7.89156546906909,"Down",TRUE
"OID20543",0.75335975256034,2.45647885117493,5.59741013206909,4.24243764293732e-08,5.01028379484085e-07,7.88052792237966,"Up",TRUE
"OID21495",0.364379226719856,3.06705744125326,5.56526591446111,5.02780496003367e-08,5.88912564580993e-07,7.71637068512191,"NS",FALSE
"OID20581",-0.508156731503172,1.75866736292428,-5.55887248448641,5.20325629886865e-08,6.04508394397016e-07,7.68327932248738,"Down",TRUE
"OID20410",0.432719482067541,4.84201566579634,5.54383469844053,5.63136637105086e-08,6.48969560018684e-07,7.60687734853627,"NS",FALSE
"OID20307",-0.302594462190736,1.63358903394256,-5.50979565681232,6.73532303481878e-08,7.69982129340483e-07,7.43400031916171,"NS",FALSE
"OID20660",0.607439031499704,3.8357592689295,5.49633688487221,7.23131480782153e-08,8.20122925426743e-07,7.36544454287936,"Up",TRUE
"OID20847",0.945637953654842,3.03329373368146,5.48762035094222,7.57006186354239e-08,8.51780976614337e-07,7.32126468333769,"Up",TRUE
"OID20933",-0.428631051532537,2.4351725848564,-5.46000396504011,8.74059820669227e-08,9.75805846669004e-07,7.18245823502717,"NS",FALSE
"OID21503",0.327160031325033,1.06114464751958,5.45494109310203,8.97424116982561e-08,9.94123304781457e-07,7.15700252606948,"NS",FALSE
"OID21423",0.421549851938929,4.49359582245431,5.43790331899727,9.80580730755186e-08,1.07066170862563e-06,7.07149864616788,"NS",FALSE
"OID21150",0.724433573914516,4.28928328981723,5.43781054946778,9.81502336108873e-08,1.07066170862563e-06,7.07063502315839,"Up",TRUE
"OID20966",0.590182067923645,4.40776945169713,5.38666520542915,1.278795642204e-07,1.38439316114357e-06,6.81542227830105,"Up",TRUE
"OID20562",0.487834265183685,3.40607336814621,5.36027173759946,1.46470625116358e-07,1.57373325782914e-06,6.68454841494598,"NS",FALSE
"OID20716",-0.344897746987406,5.39295091383812,-5.3563801012033,1.49378152776114e-07,1.5929953755005e-06,6.66556940094339,"NS",FALSE
"OID20489",0.650514677349479,2.13458903394256,5.31667106324627,1.83142339137362e-07,1.93859557501697e-06,6.46923201147176,"Up",TRUE
"OID21195",0.240838535538917,2.19747650130548,5.30658490549749,1.92705690217949e-07,2.02482670089301e-06,6.42013989672031,"NS",FALSE
"OID20299",-0.710550525886451,2.84009295039164,-5.29965891789859,1.99729573076903e-07,2.08331065640069e-06,6.38570303553756,"Down",TRUE
"OID20557",0.514909315678187,1.69561331592689,5.29446765224782,2.05065574480851e-07,2.12346888357345e-06,6.36030059793961,"Up",TRUE
"OID20679",0.384941313667513,2.64283107049608,5.26484804049015,2.38239511237256e-07,2.44923929178445e-06,6.21585006588365,"NS",FALSE
"OID20852",0.422914695740478,1.36165509138381,5.2587030338162,2.45829745695382e-07,2.50921933284786e-06,6.1856767828011,"NS",FALSE
"OID20932",0.532372964922793,2.13320234986945,5.22724932722592,2.88135539966195e-07,2.92018217455101e-06,6.03281426522868,"Up",TRUE
"OID20383",-0.620436655676614,3.73900078328982,-5.21241627454356,3.10472484470591e-07,3.12440267822869e-06,5.96096202781846,"Down",TRUE
"OID20714",1.00648035582545,6.54355039164491,5.19811843791172,3.33562864475475e-07,3.33329603731087e-06,5.89193224463079,"Up",TRUE
"OID20573",-0.417200353907999,2.12196631853786,-5.19336986435958,3.41485069601332e-07,3.38876503097433e-06,5.86931536705848,"NS",FALSE
"OID20657",0.475909809524425,5.01103994778068,5.1904066677344,3.46609632487793e-07,3.39432956633046e-06,5.85499030957666,"NS",FALSE
"OID20125",-1.18908749755758,2.00666762402089,-5.19035069906713,3.46796442746149e-07,3.39432956633046e-06,5.85449829173755,"Down",TRUE
"OID21364",-0.560796888965223,0.627720365535248,-5.17725075411565,3.70275254284821e-07,3.5994784923334e-06,5.79147711247098,"Down",TRUE
"OID21138",0.511942250857756,1.79995535248042,5.15637924702137,4.10880095842037e-07,3.9672138983667e-06,5.69138957956422,"Up",TRUE
"OID21093",0.449322446287632,3.45517859007833,5.15475673063763,4.14102331205568e-07,3.97149148518628e-06,5.68384953256731,"NS",FALSE
"OID21052",-0.443932184179995,4.71719634464752,-5.14049413488668,4.44515993547043e-07,4.23475569852483e-06,5.61569222423083,"NS",FALSE
"OID21135",0.57213647847405,2.13862637075718,5.13724500172267,4.51908855913512e-07,4.27667387483714e-06,5.59987008431936,"Up",TRUE
"OID20148",0.542803103169097,2.94804751958225,5.11576271945357,5.02626075903912e-07,4.72534646359665e-06,5.49760327068156,"Up",TRUE
"OID20363",-0.371963619262602,2.86633107049608,-5.08696694034962,5.79260807161078e-07,5.41022021851752e-06,5.36119660338804,"NS",FALSE
"OID21528",0.430393522470889,5.96187127937337,5.08066057190576,5.97535112666287e-07,5.54466023376704e-06,5.33135390740135,"NS",FALSE
"OID21351",-0.341554945059332,3.02839451697128,-5.06852169625051,6.34212535604235e-07,5.84703040889323e-06,5.274110994368,"NS",FALSE
"OID21291",-0.590453548056702,3.56906919060052,-5.03683875762176,7.41029399830975e-07,6.78801930999015e-06,5.12465695653096,"Down",TRUE
"OID21064",-0.539542065522533,4.79624569190601,-5.02668990032627,7.78595948659336e-07,7.08671089575918e-06,5.07716236573814,"Down",TRUE
"OID21410",0.683510921869567,1.14294229765013,5.02120421755476,7.99784458292894e-07,7.23349361329459e-06,5.05139438826593,"Up",TRUE
"OID21378",-1.10559184134379,2.45634973544974,-4.99803747847522,9.0032969793979e-07,8.09164237959723e-06,4.94837571616483,"Down",TRUE
"OID20647",-0.673879897356244,4.73298224543081,-4.98373856931433,9.59496977305226e-07,8.5695073785573e-06,4.87664093301386,"Down",TRUE
"OID20941",0.443362874025933,2.20979268929504,4.97985332400324,9.77569316816338e-07,8.67668666913383e-06,4.85871799025583,"NS",FALSE
"OID20401",-0.42414350052732,6.55429164490862,-4.95964040531904,1.07773743973589e-06,9.50670865050977e-06,4.76510974098109,"NS",FALSE
"OID20345",-0.245365264812573,1.98468041775457,-4.95280476564881,1.11375678623208e-06,9.76416225475857e-06,4.73356419456706,"NS",FALSE
"OID20257",-0.202364759843927,1.07893472584856,-4.94628590395196,1.14929528277465e-06,1.0000672110852e-05,4.70343725078635,"NS",FALSE
"OID20617",0.557966280336429,5.50392480417755,4.94537128178345,1.15473120944057e-06,1.0000672110852e-05,4.69894673897505,"Up",TRUE
"OID20049",-1.10697550472967,2.35784778067885,-4.94395633130477,1.16273316180275e-06,1.0009311374796e-05,4.69233397842294,"Down",TRUE
"OID21494",0.470653968955513,4.54685770234987,4.92888471784527,1.24990932823469e-06,1.06953319164513e-05,4.62298398900367,"NS",FALSE
"OID20416",0.442273746408675,3.02330939947781,4.92760860911745,1.25759119072723e-06,1.06970107830311e-05,4.61710888624004,"NS",FALSE
"OID21011",0.528197955935388,4.51082062663185,4.91987055948004,1.30524864784735e-06,1.10366882708513e-05,4.58145344967633,"Up",TRUE
"OID20136",-0.289052456193882,0.991987206266319,-4.90984752258672,1.36916343788576e-06,1.14537940617946e-05,4.53559791137769,"NS",FALSE
"OID21126",-0.393937466079472,2.84283577023499,-4.90962723815642,1.37060796680677e-06,1.14537940617946e-05,4.53458705682608,"NS",FALSE
"OID21453",0.877676799534931,8.89979817232376,4.88003013133952,1.57914395516045e-06,1.31197483251412e-05,4.39888151122043,"Up",TRUE
"OID20437",0.158543325393079,1.45915195822454,4.87574362708918,1.61108193452371e-06,1.33077230314127e-05,4.37965107952894,"NS",FALSE
"OID20726",0.423066813833525,3.80167963446475,4.8527213955007,1.79750813699748e-06,1.47622938377551e-05,4.27476737901003,"NS",FALSE
"OID20848",0.429343991943986,1.793627154047,4.84694956519599,1.84767503364313e-06,1.50875864175773e-05,4.24842184684197,"NS",FALSE
"OID21418",0.615510713746914,4.32279582245431,4.82371588363274,2.06239822705629e-06,1.67452674230878e-05,4.14315211170346,"Up",TRUE
"OID20209",0.359640775947741,4.48630391644909,4.81516262163736,2.14658928902439e-06,1.72695838411813e-05,4.10480876034016,"NS",FALSE
"OID20100",0.251526719226188,1.66487885117493,4.81470226161425,2.15114480317024e-06,1.72695838411813e-05,4.10277349258757,"NS",FALSE
"OID20651",-0.433087203375455,3.94224516971279,-4.79631761588849,2.34588249728858e-06,1.87277435118736e-05,4.01984241892457,"NS",FALSE
"OID21309",0.870520746616707,4.76698590078329,4.78539303671864,2.46976205775594e-06,1.9607166558518e-05,3.97061912423412,"Up",TRUE
"OID20238",-0.437350651493453,2.85644725848564,-4.78258875775709,2.50207539119686e-06,1.9753954331604e-05,3.95816356235491,"NS",FALSE
"OID21499",-0.813855057186849,3.71093420365535,-4.78049551076293,2.52710250224e-06,1.98419201961591e-05,3.94865751410607,"Down",TRUE
"OID21130",-0.399608264245961,0.645836031331593,-4.770903110341,2.64315056186446e-06,2.06266989714871e-05,3.90570056470635,"NS",FALSE
"OID20268",-0.312577699886912,2.64179843342037,-4.76979591827204,2.65592205091227e-06,2.06266989714871e-05,3.90104634208559,"NS",FALSE
"OID21515",0.392175809047027,2.64393263707572,4.76721610661667,2.68837561137347e-06,2.07658851278523e-05,3.88943757163683,"NS",FALSE
"OID20329",0.525385966375135,3.08354360313316,4.76141833294272,2.76281868040705e-06,2.12261714747402e-05,3.86333623904772,"Up",TRUE
"OID21419",-0.594212230380777,3.52632349869452,-4.74148226874362,3.031999189805e-06,2.31696622579216e-05,3.77442301220645,"Down",TRUE
"OID20082",0.426573963530227,1.42156997389034,4.71831287490829,3.37632460623342e-06,2.56636588420615e-05,3.67157569659869,"NS",FALSE
"OID20787",-0.775413900955388,5.11179190600522,-4.70268935544375,3.62966273775444e-06,2.74433230277835e-05,3.60242551044217,"Down",TRUE
"OID21001",-0.490853061588519,3.04702375979112,-4.68358777740559,3.96383702248324e-06,2.98122268690976e-05,3.51825831976478,"NS",FALSE
