"Protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","Significant"
"OID20754",-1.0464999125747,4.10794830287206,-11.0549404301236,9.60825791069565e-25,1.71627506929801e-22,45.4429877730137,"Down",TRUE
"OID20224",-0.670428037433063,0.751980156657963,-9.9808413869142,6.20124741828454e-21,6.32970182909186e-19,36.8007674028412,"Down",TRUE
"OID20279",-0.990129434090005,1.73982663185379,-9.58195926599082,1.42386402924895e-19,1.27168856112297e-17,33.7168027281637,"Down",TRUE
"OID20116",-0.632630731507023,1.68339608355091,-8.54816528475069,3.32107562327021e-16,1.75771002431597e-14,26.0958606022079,"Down",TRUE
"OID20405",-0.855098428414291,5.13665404699739,-8.44086114409821,7.20267403274012e-16,3.54917972165022e-14,25.3361398202872,"Down",TRUE
"OID21107",-0.549405944829316,1.87618590078329,-8.31235853559239,1.8003365423067e-15,8.29897070631054e-14,24.437320053623,"Down",TRUE
"OID21048",-0.631756884376457,1.63635091383812,-8.26642802741992,2.49600463272658e-15,1.11462206880196e-13,24.116909387081,"Down",TRUE
"OID21079",-0.709091702681915,2.49372480417755,-7.81096318435324,5.90570199915068e-14,2.22085477810166e-12,21.0162122376365,"Down",TRUE
"OID20664",-0.834152528406096,5.1858365535248,-7.66931816046957,1.5411684522992e-13,5.60784698060964e-12,20.0771242269252,"Down",TRUE
"OID20157",-0.615821241452943,1.07769216710183,-7.65933079247041,1.64821254853467e-13,5.60784698060964e-12,20.0113997383337,"Down",TRUE
"OID20265",-0.674691154313042,2.92362036553525,-7.39935039738182,9.26052399192895e-13,2.86617082815039e-11,18.3228668583294,"Down",TRUE
"OID20126",-0.617668358660895,0.840514882506527,-7.13820097785552,5.02896313382881e-12,1.40909574867478e-10,16.6695080432148,"Down",TRUE
"OID20397",-0.569854759932392,4.07834778067885,-7.11946013694034,5.66170324645948e-12,1.5558796036905e-10,16.5537131377472,"Down",TRUE
"OID20985",-0.823528176946306,3.40285665796345,-6.89998638774447,2.26363307898151e-11,5.7763065533296e-10,15.2012580837355,"Down",TRUE
"OID20239",-0.732685831119532,2.99622245430809,-6.82214734864434,3.66969617585138e-11,9.19999269349407e-10,14.7300770894195,"Down",TRUE
"OID20173",-0.517772045623654,3.41194125326371,-6.79739989669688,4.27265006116469e-11,1.03485032837362e-09,14.5817191737201,"Down",TRUE
"OID20393",-0.687239976343474,3.08158015665796,-6.78810122664778,4.52803094353793e-11,1.07842603638595e-09,14.5251698622483,"Down",TRUE
"OID21439",-0.916153615507383,5.62953315926893,-6.67020193396393,9.3223022726669e-11,2.14864031413565e-09,13.8214760148041,"Down",TRUE
"OID20772",-1.21476093831347,5.01057180156658,-6.66437861141395,9.65830238538931e-11,2.19074827122561e-09,13.7869826843534,"Down",TRUE
"OID20746",-0.525964274029396,4.91078485639687,-6.61464591705321,1.3044514275116e-10,2.82433498471829e-09,13.4941888476109,"Down",TRUE
"OID21054",-0.509931101791322,3.00352558746736,-6.5771843308122,1.63519118559025e-10,3.4875943346395e-09,13.2741442188476,"Down",TRUE
"OID20145",-0.52989201141755,1.79166762402089,-6.55743276928008,1.84214916049755e-10,3.87122227992794e-09,13.1581466443681,"Down",TRUE
"OID21393",-0.626313070441343,1.17781749347258,-6.42592107046357,4.03579787395878e-10,8.12275374913676e-09,12.3949840095686,"Down",TRUE
"OID21517",-0.650324681673339,1.81500704960836,-6.38644927832017,5.09425806823485e-10,1.01106871937606e-08,12.1684581352914,"Down",TRUE
"OID21458",-0.547124054961791,4.42380861618799,-6.34777110324322,6.38854030351388e-10,1.25057864297553e-08,11.9482746933787,"Down",TRUE
"OID20994",-0.595335974760534,1.67551618798956,-6.22932785037682,1.2734584387891e-09,2.27471513628704e-08,11.2779463310221,"Down",TRUE
"OID21284",-0.86551663953947,1.84048459530026,-6.20446811162097,1.46990922273915e-09,2.56340709236984e-08,11.1386013457754,"Down",TRUE
"OID21460",-0.588905143012395,4.11321227154047,-6.19604805892792,1.54231901742305e-09,2.65539021192475e-08,11.0918717470245,"Down",TRUE
"OID20334",-0.942992007199042,5.08809399477807,-6.19175381811664,1.58147945802046e-09,2.69039779227528e-08,11.0675483236391,"Down",TRUE
"OID21298",-0.511628076589501,1.42549242819843,-6.1240178645104,2.33025310482819e-09,3.87201358930173e-08,10.6911911445588,"Down",TRUE
"OID20368",-0.776921235366699,3.35617806788512,-6.10400261142369,2.6120949255947e-09,4.19402657154474e-08,10.5803878060686,"Down",TRUE
"OID20384",-0.608200902943065,4.50405039164491,-6.08696468879411,2.87679201180403e-09,4.56770642763106e-08,10.4866956401676,"Down",TRUE
"OID20649",-0.554489851277068,3.69355221932115,-5.8781727097751,9.26013650139554e-09,1.32327350604942e-07,9.35317879785538,"Down",TRUE
"OID20759",-0.564138599224884,3.87662532637076,-5.7676205220663,1.69782012069709e-08,2.271170251991e-07,8.76617596400843,"Down",TRUE
"OID20275",-0.578341318090197,0.338053263707572,-5.68281884562309,2.68698695518749e-08,3.49064032632993e-07,8.3220470088222,"Down",TRUE
"OID20653",-0.594279771439527,4.76473968668407,-5.67012649305986,2.8761948729629e-08,3.63724112695928e-07,8.25622679466197,"Down",TRUE
"OID21136",-0.524008730964407,4.03881906005222,-5.61141799185061,3.93670227681135e-08,4.76741318098595e-07,7.95278594587291,"Down",TRUE
"OID20916",-1.16860793500705,2.07014255874674,-5.59955861306092,4.19425606550367e-08,4.99465993133729e-07,7.89156546906909,"Down",TRUE
"OID20581",-0.508156731503172,1.75866736292428,-5.55887248448641,5.20325629886865e-08,6.04508394397016e-07,7.68327932248738,"Down",TRUE
"OID20299",-0.710550525886451,2.84009295039164,-5.29965891789859,1.99729573076903e-07,2.08331065640069e-06,6.38570303553756,"Down",TRUE
"OID20383",-0.620436655676614,3.73900078328982,-5.21241627454356,3.10472484470591e-07,3.12440267822869e-06,5.96096202781846,"Down",TRUE
"OID20125",-1.18908749755758,2.00666762402089,-5.19035069906713,3.46796442746149e-07,3.39432956633046e-06,5.85449829173755,"Down",TRUE
"OID21364",-0.560796888965223,0.627720365535248,-5.17725075411565,3.70275254284821e-07,3.5994784923334e-06,5.79147711247098,"Down",TRUE
"OID21291",-0.590453548056702,3.56906919060052,-5.03683875762176,7.41029399830975e-07,6.78801930999015e-06,5.12465695653096,"Down",TRUE
"OID21064",-0.539542065522533,4.79624569190601,-5.02668990032627,7.78595948659336e-07,7.08671089575918e-06,5.07716236573814,"Down",TRUE
"OID21378",-1.10559184134379,2.45634973544974,-4.99803747847522,9.0032969793979e-07,8.09164237959723e-06,4.94837571616483,"Down",TRUE
"OID20647",-0.673879897356244,4.73298224543081,-4.98373856931433,9.59496977305226e-07,8.5695073785573e-06,4.87664093301386,"Down",TRUE
"OID20049",-1.10697550472967,2.35784778067885,-4.94395633130477,1.16273316180275e-06,1.0009311374796e-05,4.69233397842294,"Down",TRUE
"OID21499",-0.813855057186849,3.71093420365535,-4.78049551076293,2.52710250224e-06,1.98419201961591e-05,3.94865751410607,"Down",TRUE
"OID21419",-0.594212230380777,3.52632349869452,-4.74148226874362,3.031999189805e-06,2.31696622579216e-05,3.77442301220645,"Down",TRUE
"OID20787",-0.775413900955388,5.11179190600522,-4.70268935544375,3.62966273775444e-06,2.74433230277835e-05,3.60242551044217,"Down",TRUE
"OID20129",-0.576093891583757,1.66976161879896,-4.67981477705169,4.03362892610394e-06,3.00667262163663e-05,3.50159277583283,"Down",TRUE
"OID20951",-0.517969971058678,2.66172245430809,-4.48501720737293,9.74059000907317e-06,6.72430102558722e-05,2.66067214663539,"Down",TRUE
