"Protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","Significant"
"OID20697",2.38172330382813,6.91940130548303,13.3012341510708,2.86907463316579e-33,4.09990765079392e-30,64.8094822063785,"Up",TRUE
"OID21481",1.67561296710324,4.75477702349869,12.9113722303242,9.59779559791826e-32,6.8576249547126e-29,61.344590029325,"Up",TRUE
"OID20341",0.950390668057511,7.77943133159269,12.7861089626701,2.9076556139392e-31,1.38501329077304e-28,60.2504271109355,"Up",TRUE
"OID21044",1.04668832309554,4.61704334203655,12.4791238884603,4.45776324538732e-30,1.37576951799449e-27,57.5563173296623,"Up",TRUE
"OID20178",1.96002515966242,4.4876044386423,12.4713399308417,4.81374918822424e-30,1.37576951799449e-27,57.4806234401846,"Up",TRUE
"OID21226",2.20552374035809,3.91665561357702,12.1159025504225,1.09342148842021e-28,2.60416551158748e-26,54.3990679011161,"Up",TRUE
"OID20795",1.8271656575561,2.12340704960836,11.1785916179051,3.41007089795972e-25,6.96141616169206e-23,46.4642581889696,"Up",TRUE
"OID20523",2.05448487415158,4.35613315926893,10.9317965731209,2.69602279329135e-24,4.28068507957038e-22,44.4260564899104,"Up",TRUE
"OID20781",0.996597497409819,8.38766657963446,10.6941246333902,1.92283465717332e-23,2.74773072510067e-21,42.4897973798942,"Up",TRUE
"OID20436",1.69871696357656,3.83139190600522,10.4040681942688,2.07368796782492e-22,2.69390918729256e-20,40.1469720708196,"Up",TRUE
"OID21042",1.57100891575227,4.90927336814621,10.0914044254946,2.57527937923884e-21,3.06672852744358e-19,37.6660060193225,"Up",TRUE
"OID20234",1.40417716480759,5.13277415143603,10.0593729164543,3.32568776862842e-21,3.65569832413078e-19,37.4142320998649,"Up",TRUE
"OID21466",1.33680034573918,8.26877023498695,9.66023808140651,7.74559830606369e-20,7.37897331957667e-18,34.3158034393362,"Up",TRUE
"OID20536",1.18124621367248,2.50028877284595,9.49213494295012,2.85321674790578e-19,2.39838043103374e-17,33.0330603705503,"Up",TRUE
"OID21429",0.825620348291831,5.95109817232376,9.35044671011697,8.447787820499e-19,6.70660488638504e-17,31.9654316078786,"Up",TRUE
"OID20750",0.939602016932085,6.18758798955614,9.31360717083654,1.12134573386487e-18,8.43370028259419e-17,31.6870016072092,"Up",TRUE
"OID20654",0.802187046178941,6.48111096605744,9.26207381561022,1.65767339142351e-18,1.1844076381721e-16,31.302617571188,"Up",TRUE
"OID20362",0.7224154938209,4.35890835509138,9.10967351255337,5.25302113676284e-18,3.57455581163528e-16,30.1688115158155,"Up",TRUE
"OID20604",1.22720999759839,6.34757754569191,9.07227634460839,6.97848263817429e-18,4.53284167725048e-16,29.8897545443925,"Up",TRUE
"OID21514",0.738567637242181,3.75887806788512,8.96152303405989,1.59391733825725e-17,9.90307772334615e-16,29.0780332702769,"Up",TRUE
"OID21029",1.63117025695571,4.43708772845953,8.84210972155381,3.87745990199777e-17,2.30870424998117e-15,28.2047790273535,"Up",TRUE
"OID20773",0.760461647454878,6.07667545691906,8.7369675217305,8.38919074401678e-17,4.79526142927999e-15,27.4467079962239,"Up",TRUE
"OID21187",1.25496140089659,2.01743577023499,8.59133859987685,2.43366426821983e-16,1.33757932280236e-14,26.4011021260935,"Up",TRUE
"OID21062",0.751417925553874,5.77180574412533,8.50093714538362,4.66938577960683e-16,2.38305438537792e-14,25.7614212684306,"Up",TRUE
"OID20302",0.726647135007577,5.66979869451697,8.36241847995947,1.26075568152045e-15,6.00539956297573e-14,24.786802118989,"Up",TRUE
"OID21159",0.678638863542584,5.6621091383812,8.18985683356465,4.2804372915404e-15,1.85355905745795e-13,23.5879480120826,"Up",TRUE
"OID20638",1.03677806444303,6.12384934725849,7.98976801866366,1.73194205035363e-14,7.16761955620706e-13,22.2179033543223,"Up",TRUE
"OID20104",0.634333167717184,2.91932767624021,7.9875538948821,1.75554012923196e-14,7.16761955620706e-13,22.204564609761,"Up",TRUE
"OID20180",0.629738794625988,3.97661723237598,7.96727019577018,2.01973389728468e-14,8.01722149783281e-13,22.0671990652284,"Up",TRUE
"OID21315",0.862496310970193,3.37169164490862,7.90423408090356,3.12142073520237e-14,1.2055433055687e-12,21.6407583315049,"Up",TRUE
"OID20378",0.828482646703629,7.14910339425587,7.6633641584218,1.60402989137523e-13,5.60784698060964e-12,20.0379917507851,"Up",TRUE
"OID20904",1.07303466243879,3.33567127937337,7.66279591410535,1.61101378589919e-13,5.60784698060964e-12,20.0337643789229,"Up",TRUE
"OID20690",0.762381468537282,4.36732506527415,7.6116882158475,2.26830676320138e-13,7.53816363863902e-12,19.6988666797941,"Up",TRUE
"OID21084",0.916930721324635,5.12056292428198,7.51536978766307,4.3113793634383e-13,1.40021843417121e-11,19.0705558082585,"Up",TRUE
"OID20495",2.14671837982672,2.96134162303665,7.39746528255966,9.42687396242606e-13,2.86617082815039e-11,18.3057510074669,"Up",TRUE
"OID20355",0.823606508649469,4.81667415143603,7.32991416380004,1.45853406163441e-12,4.34217744599077e-11,17.8788125304598,"Up",TRUE
"OID20883",1.02587570996529,1.49966135770235,7.27155378024055,2.13185779948403e-12,6.21719346012793e-11,17.5078858210364,"Up",TRUE
"OID21028",0.625220617624327,2.43186266318538,7.174974766072,3.97112250886174e-12,1.13494681303268e-10,16.9001264639877,"Up",TRUE
"OID20211",0.646851890400778,2.13363107049608,7.11157355308551,5.95821320973054e-12,1.60646918428395e-10,16.5039092620916,"Up",TRUE
"OID20652",0.64700808513336,6.50119033942559,6.94831318072808,1.67196466627481e-11,4.4245139039013e-10,15.4967725191882,"Up",TRUE
"OID21322",0.565607425525824,2.57959373368146,6.77216423409957,4.99209258459722e-11,1.16945906612941e-09,14.430028407,"Up",TRUE
"OID20953",0.657992615465834,3.32242872062663,6.62241504299425,1.24529063097102e-10,2.7377235563963e-09,13.5394264913654,"Up",TRUE
"OID20989",0.665279984686758,5.10659791122715,6.52382397360111,2.25358112713708e-10,4.66719917489693e-09,12.9619259640001,"Up",TRUE
"OID20596",1.34306280316621,2.9021365535248,6.4312758367824,3.90994653899376e-10,7.98187657746013e-09,12.4258004662924,"Up",TRUE
"OID20096",0.788493238360269,2.40250574412533,6.32238737077845,7.41721662094589e-10,1.43232466909888e-08,11.8031915625761,"Up",TRUE
"OID20599",0.610476959266621,3.24314281984334,6.311415784111,7.90545744860704e-10,1.48643403869203e-08,11.7412051989733,"Up",TRUE
"OID20113",0.725977647226903,3.29710835509138,6.29096322276801,8.90877617831172e-10,1.65333002062434e-08,11.6250998997818,"Up",TRUE
"OID21112",0.751602004076359,4.02330026109661,6.27312694251567,9.8821492275602e-10,1.81046041617738e-08,11.5243334127972,"Up",TRUE
"OID21421",0.760897600753121,4.63275613577023,6.2043446821491,1.47095438470488e-09,2.56340709236984e-08,11.1379110002281,"Up",TRUE
"OID20533",0.921616772208008,4.4393046997389,6.18464648806116,1.64741503648068e-09,2.76959539662458e-08,11.0278809638387,"Up",TRUE
"OID20969",0.622874844809805,6.02230522193211,6.11818683678239,2.40883567026783e-09,3.91162065092356e-08,10.6589930750791,"Up",TRUE
"OID20937",1.06088073564723,4.21807597911227,5.99969366285127,4.70883466747619e-09,7.39442279101481e-08,10.0086977710487,"Up",TRUE
"OID20602",0.590910534110052,1.47319608355091,5.9868384007204,5.06078669276403e-09,7.69347253612745e-08,9.93880093125744,"Up",TRUE
"OID20227",1.02948836856505,2.1081637075718,5.95781631466046,5.95250883094757e-09,8.76921146332379e-08,9.78145515227107,"Up",TRUE
"OID21337",0.746529095280175,3.46018851174935,5.81784960119396,1.29084684608586e-08,1.80845112064382e-07,9.03149163276585,"Up",TRUE
"OID20274",1.29418254893867,3.45766240208877,5.80710659681035,1.36905180481353e-08,1.88112983565243e-07,8.97454010681744,"Up",TRUE
"OID20429",0.583146166538777,3.79833054830287,5.78379864246003,1.5546267019814e-08,2.11577291155373e-07,8.8514620335513,"Up",TRUE
"OID21296",1.06250507806658,5.68130652741514,5.67341964606802,2.82624351076001e-08,3.60598390792505e-07,8.27318304552442,"Up",TRUE
"OID20979",0.697762118932043,6.51764621409922,5.64938378223706,3.21510694778789e-08,4.03016476174464e-07,8.14853570662762,"Up",TRUE
"OID20570",0.766227916165195,5.66872506527415,5.61561469651971,3.85066996659936e-08,4.70308323270982e-07,7.97416451052605,"Up",TRUE
"OID20543",0.75335975256034,2.45647885117493,5.59741013206909,4.24243764293732e-08,5.01028379484085e-07,7.88052792237966,"Up",TRUE
"OID20660",0.607439031499704,3.8357592689295,5.49633688487221,7.23131480782153e-08,8.20122925426743e-07,7.36544454287936,"Up",TRUE
"OID20847",0.945637953654842,3.03329373368146,5.48762035094222,7.57006186354239e-08,8.51780976614337e-07,7.32126468333769,"Up",TRUE
"OID21150",0.724433573914516,4.28928328981723,5.43781054946778,9.81502336108873e-08,1.07066170862563e-06,7.07063502315839,"Up",TRUE
"OID20966",0.590182067923645,4.40776945169713,5.38666520542915,1.278795642204e-07,1.38439316114357e-06,6.81542227830105,"Up",TRUE
"OID20489",0.650514677349479,2.13458903394256,5.31667106324627,1.83142339137362e-07,1.93859557501697e-06,6.46923201147176,"Up",TRUE
"OID20557",0.514909315678187,1.69561331592689,5.29446765224782,2.05065574480851e-07,2.12346888357345e-06,6.36030059793961,"Up",TRUE
"OID20932",0.532372964922793,2.13320234986945,5.22724932722592,2.88135539966195e-07,2.92018217455101e-06,6.03281426522868,"Up",TRUE
"OID20714",1.00648035582545,6.54355039164491,5.19811843791172,3.33562864475475e-07,3.33329603731087e-06,5.89193224463079,"Up",TRUE
"OID21138",0.511942250857756,1.79995535248042,5.15637924702137,4.10880095842037e-07,3.9672138983667e-06,5.69138957956422,"Up",TRUE
"OID21135",0.57213647847405,2.13862637075718,5.13724500172267,4.51908855913512e-07,4.27667387483714e-06,5.59987008431936,"Up",TRUE
"OID20148",0.542803103169097,2.94804751958225,5.11576271945357,5.02626075903912e-07,4.72534646359665e-06,5.49760327068156,"Up",TRUE
"OID21410",0.683510921869567,1.14294229765013,5.02120421755476,7.99784458292894e-07,7.23349361329459e-06,5.05139438826593,"Up",TRUE
"OID20617",0.557966280336429,5.50392480417755,4.94537128178345,1.15473120944057e-06,1.0000672110852e-05,4.69894673897505,"Up",TRUE
"OID21011",0.528197955935388,4.51082062663185,4.91987055948004,1.30524864784735e-06,1.10366882708513e-05,4.58145344967633,"Up",TRUE
"OID21453",0.877676799534931,8.89979817232376,4.88003013133952,1.57914395516045e-06,1.31197483251412e-05,4.39888151122043,"Up",TRUE
"OID21418",0.615510713746914,4.32279582245431,4.82371588363274,2.06239822705629e-06,1.67452674230878e-05,4.14315211170346,"Up",TRUE
"OID21309",0.870520746616707,4.76698590078329,4.78539303671864,2.46976205775594e-06,1.9607166558518e-05,3.97061912423412,"Up",TRUE
"OID20329",0.525385966375135,3.08354360313316,4.76141833294272,2.76281868040705e-06,2.12261714747402e-05,3.86333623904772,"Up",TRUE
"OID21227",0.592467849894612,3.02513759791123,4.67919137561558,4.04522233488438e-06,3.00667262163663e-05,3.49885088510401,"Up",TRUE
"OID20896",1.18263416284639,2.13839738903394,4.57316493200458,6.56095886067957e-06,4.67594490842013e-05,3.03724629010894,"Up",TRUE
"OID21034",0.582290113438968,2.2174135770235,4.51226523540853,8.62633052328142e-06,6.04265995969076e-05,2.77637775949175,"Up",TRUE
"OID20960",0.667546514350097,4.11650287206266,4.43486859030166,1.21619550708429e-05,8.23669848162771e-05,2.4493649400327,"Up",TRUE
"OID20298",0.567991977619488,3.18839895561358,4.36193066962139,1.67361006375571e-05,0.000107729224374185,2.1458465320636,"Up",TRUE
"OID20961",0.614219503576513,2.84891723237598,4.31524362854528,2.04840485348283e-05,0.000127824040857073,1.95394891558819,"Up",TRUE
"OID21381",0.526880591546052,2.18181227154047,4.25608724231568,2.63940363226328e-05,0.000159818126716281,1.71348059694474,"Up",TRUE
"OID20217",0.593312775868716,5.8419044386423,4.20898507537296,3.22308899279257e-05,0.000191908090445858,1.52416362669384,"Up",TRUE
"OID20732",0.617220117940378,5.68853785900783,4.20372150819334,3.29548337212485e-05,0.000195404387500681,1.50312664013056,"Up",TRUE
"OID20700",0.744842594319021,2.49980626631854,4.18151312784987,3.61836789927013e-05,0.000211046846043144,1.41462940646474,"Up",TRUE
"OID21128",0.645021441124837,3.38756710182768,4.09591459961478,5.16801158422882e-05,0.000294226635612071,1.07752513959155,"Up",TRUE
"OID21082",0.722262452756345,4.84793394255875,4.05513944029351,6.11144926743118e-05,0.000338498488494541,0.91918175075106,"Up",TRUE
"OID20630",0.538976115246866,3.88597493472585,3.99732710703182,7.733335122719e-05,0.000417016448693036,0.697162190966574,"Up",TRUE
"OID21259",0.543718210314798,2.89750574412533,3.98512251318243,8.12442837280963e-05,0.000432912519077768,0.650665723071411,"Up",TRUE
"OID20718",0.560501932695688,2.09270496083551,3.97399168822556,8.49741590363717e-05,0.000449733604677686,0.608373755882555,"Up",TRUE
"OID20534",0.511504898695072,1.5736180156658,3.94634145296439,9.49552062511906e-05,0.000491634020771563,0.503785637074072,"Up",TRUE
"OID21498",0.549619039935723,5.49007336814621,3.94396717899667,9.58622215576497e-05,0.000494538319876828,0.494836119688898,"Up",TRUE
"OID20342",0.644924754661142,6.32285352480418,3.93989837632572,9.74357056782933e-05,0.000499052413671259,0.479510803821785,"Up",TRUE
"OID21403",0.522093676136504,2.75041984334204,3.74450796308171,0.000209507009490844,0.000997951721874721,-0.239255814333012,"Up",TRUE
"OID20601",0.520896660336335,4.13563681462141,3.73817935097953,0.000214652238640507,0.00101906328577171,-0.261971216950583,"Up",TRUE
"OID20962",0.561845281477309,2.93282167101828,3.69620940921658,0.000251909128783122,0.00116876021113988,-0.41171286201382,"Up",TRUE
"OID21425",0.544067368465791,6.52409242819843,3.69511572098123,0.000252956953859733,0.00116982358273644,-0.415593982198677,"Up",TRUE
"OID20669",0.514831971270515,6.87191227154047,3.67162198447384,0.000276481230240318,0.00125425929528068,-0.498707517572967,"Up",TRUE
"OID21024",0.514372727505762,3.45841279373368,3.64234979668234,0.000308674706662607,0.00138274656997137,-0.601573924690508,"Up",TRUE
"OID20756",0.530140636726206,5.59365796344647,3.53769837392295,0.000454937712343961,0.00192909789596297,-0.963057405304155,"Up",TRUE
"OID20704",0.530630999410487,5.16337180156658,3.41059077995387,0.000719680099260324,0.00285673017178612,-1.38885121194137,"Up",TRUE
"OID21156",0.555416917180507,7.06517571801567,3.35719015172015,0.00086905444956658,0.00336610288530362,-1.56337510764259,"Up",TRUE
"OID20244",0.559619544165105,4.74214438642298,3.21438655302253,0.00142202361052415,0.00534755720905002,-2.01733394233585,"Up",TRUE
"OID21021",0.50447723894947,3.09207650130548,3.20403224281078,0.0014727183555629,0.0055092003405743,-2.04952489298818,"Up",TRUE
"OID20101",0.76834881739438,5.67432402088773,3.08071737714473,0.00221942587665504,0.00785347802789384,-2.42533800718038,"Up",TRUE
"OID20911",0.774493653300656,5.57356684073107,3.07442316670968,0.00226558729092327,0.00791570718515734,-2.44414485262424,"Up",TRUE
"OID21276",0.730322125523756,5.78877702349869,2.95038049106682,0.0033756857719246,0.0110385697210074,-2.80730969080298,"Up",TRUE
"OID20117",0.549830310771062,2.54853550913838,2.94288686505248,0.0034565334616881,0.011251449468684,-2.82879265905664,"Up",TRUE
"OID21047",0.650979388219955,5.21807467362924,2.8872650547871,0.0041141629595937,0.0129782314994689,-2.98662057059089,"Up",TRUE
"OID21003",0.615595410245059,4.95379947780679,2.8712677470058,0.00432337551588563,0.0135514076413177,-3.0314804405195,"Up",TRUE
"OID20856",0.560351147106647,4.7445046997389,2.83839319035663,0.00478400208052935,0.014733489166113,-3.12291937660851,"Up",TRUE
"OID20563",0.70179865770675,5.32429738903394,2.81814722310132,0.00508942878432217,0.0154411756534955,-3.17873104925869,"Up",TRUE
"OID21118",0.522383187456702,3.49446187989556,2.59425598670697,0.00985601579907848,0.0274032183836494,-3.77033439362396,"Up",TRUE
