"Protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","Significant"
"OID21481",1.75213094577553,4.75477702349869,14.7071366513125,3.56468166438963e-39,5.09393009841278e-36,78.2667066404161,"Up",TRUE
"OID20697",2.41575119798234,6.91940130548303,14.4996085856876,2.5296646811912e-38,1.80744541471111e-35,76.3272139594718,"Up",TRUE
"OID20178",2.05326390500209,4.4876044386423,14.1292015697534,8.19077083001085e-37,3.9015371720285e-34,72.8856299302379,"Up",TRUE
"OID21226",2.24095952921394,3.91665561357702,13.9957433163506,2.84813651405176e-36,1.01749676964499e-33,71.6523501926016,"Up",TRUE
"OID20341",0.932057528373262,7.77943133159269,13.7603994017294,2.50549088676021e-35,7.16069295436069e-33,69.5005018671495,"Up",TRUE
"OID21044",1.06593585960487,4.61704334203655,13.6158559607003,9.58238368562005e-35,2.28220438112517e-32,68.1732245680885,"Up",TRUE
"OID20795",1.93873746532155,2.12340704960836,13.3809186175849,8.43522371975421e-34,1.72199067078982e-31,66.0213588139932,"Up",TRUE
"OID20234",1.50991485498108,5.13277415143603,12.1032527972381,8.46764239739187e-29,1.34447344287478e-26,54.6311370967123,"Up",TRUE
"OID20436",1.74127140395123,3.83139190600522,11.9036579372792,4.8993873165415e-28,7.0012244753378e-26,52.8958272858281,"Up",TRUE
"OID20523",2.12826751155947,4.35613315926893,11.8799821166216,6.02837029835944e-28,7.8314010512324e-26,52.6908572230535,"Up",TRUE
"OID21466",1.39966582597729,8.26877023498695,11.2042112276402,2.06657015895235e-25,2.27163750549455e-23,46.9229343930563,"Up",TRUE
"OID21042",1.53611049180327,4.90927336814621,11.1101607198021,4.5958961838883e-25,4.69109689055456e-23,46.1334422246946,"Up",TRUE
"OID20750",0.969235725094574,6.18758798955614,10.6503038859215,2.1729890930885e-23,1.82658906707263e-21,42.3256605094859,"Up",TRUE
"OID20604",1.28023181168558,6.34757754569191,10.5720694432236,4.16376384314996e-23,3.30556585103405e-21,41.6837766318161,"Up",TRUE
"OID21429",0.870458982765865,5.95109817232376,10.521832746986,6.2759455148943e-23,4.48416307039197e-21,41.2786762904169,"Up",TRUE
"OID20654",0.824714678436314,6.48111096605744,10.4677211980829,9.79749397709385e-23,6.66696137774624e-21,40.8390719428124,"Up",TRUE
