"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030278","regulation of ossification","6/146","17/1372",0.352941176470588,3.31668009669621,3.31566619014947,0.00600257933331288,0.999999950389579,0.999999950389579,"CCN3/DLK1/FGF23/SFRP1/BMP4/CCN1",6
"GO:0051216","cartilage development","8/146","29/1372",0.275862068965517,2.59234766178555,2.98984591675855,0.00831832609974061,0.999999950389579,0.999999950389579,"CCN3/ACVRL1/EFEMP1/NPPC/TGFBR2/OGN/BMP4/GHRL",8
"GO:0022600","digestive system process","6/146","19/1372",0.315789473684211,2.96755587599135,2.97923592989887,0.0109880109318312,0.999999950389579,0.999999950389579,"NPPC/TFF2/TFF1/TFF3/FABP2/GHRL",6
"GO:0061448","connective tissue development","9/146","37/1372",0.243243243243243,2.28582006664198,2.73520794002549,0.0124582769464385,0.999999950389579,0.999999950389579,"CCN3/ACVRL1/EFEMP1/NPPC/ACTA2/TGFBR2/OGN/BMP4/GHRL",9
"GO:0009887","animal organ morphogenesis","14/146","71/1372",0.197183098591549,1.85298089909319,2.54612518264888,0.0140478990713974,0.999999950389579,0.999999950389579,"ACVRL1/EFEMP1/MFAP5/NPPC/ACTA2/COL9A1/TGFBR2/MMP13/RELT/KLK4/TGFBR3/FLRT2/COMP/BMP4",14
"GO:0048705","skeletal system morphogenesis","4/146","10/1372",0.4,3.75890410958904,3.02063306824635,0.0154939339585157,0.999999950389579,0.999999950389579,"NPPC/TGFBR2/MMP13/BMP4",4
"GO:0060391","positive regulation of SMAD protein signal transduction","4/146","10/1372",0.4,3.75890410958904,3.02063306824635,0.0154939339585157,0.999999950389579,0.999999950389579,"ACVRL1/TGFBR2/TGFBR3/BMP4",4
"GO:0060390","regulation of SMAD protein signal transduction","5/146","15/1372",0.333333333333333,3.1324200913242,2.86469501035922,0.0158282836473108,0.999999950389579,0.999999950389579,"CCN3/ACVRL1/TGFBR2/TGFBR3/BMP4",5
"GO:0090100","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","5/146","15/1372",0.333333333333333,3.1324200913242,2.86469501035922,0.0158282836473108,0.999999950389579,0.999999950389579,"ACVRL1/TGFBR2/TGFBR3/BMP4/CCN1",5
"GO:1901343","negative regulation of vasculature development","7/146","27/1372",0.259259259259259,2.4363267376966,2.60030268960634,0.0190108131534636,0.999999950389579,0.999999950389579,"THBS4/HSPG2/NPPB/PRL/CD160/GHRL/ANGPTL7",7
"GO:0002062","chondrocyte differentiation","5/146","16/1372",0.3125,2.93664383561644,2.68800346721031,0.0210903906969874,0.999999950389579,0.999999950389579,"CCN3/ACVRL1/EFEMP1/NPPC/BMP4",5
"GO:0071772","response to BMP","7/146","29/1372",0.241379310344828,2.26830420406235,2.38141094230101,0.027862680116497,0.999999950389579,0.999999950389579,"ACVRL1/MICOS10-NBL1/NBL1/TGFBR3/SFRP1/BMP4/CCN1",7
"GO:0071773","cellular response to BMP stimulus","7/146","29/1372",0.241379310344828,2.26830420406235,2.38141094230101,0.027862680116497,0.999999950389579,0.999999950389579,"ACVRL1/MICOS10-NBL1/NBL1/TGFBR3/SFRP1/BMP4/CCN1",7
"GO:0030282","bone mineralization","4/146","12/1372",0.333333333333333,3.1324200913242,2.55943352771268,0.0308311110255974,0.999999950389579,0.999999950389579,"MMP13/FGF23/BMP4/CCN1",4
"GO:0048009","insulin-like growth factor receptor signaling pathway","4/146","12/1372",0.333333333333333,3.1324200913242,2.55943352771268,0.0308311110255974,0.999999950389579,0.999999950389579,"GH1/CDH3/IGFBP1/IGFBP4",4
"GO:0030510","regulation of BMP signaling pathway","5/146","18/1372",0.277777777777778,2.6103500761035,2.37245038449963,0.0347424402781834,0.999999950389579,0.999999950389579,"ACVRL1/MICOS10-NBL1/NBL1/BMP4/CCN1",5
"GO:0060395","SMAD protein signal transduction","5/146","18/1372",0.277777777777778,2.6103500761035,2.37245038449963,0.0347424402781834,0.999999950389579,0.999999950389579,"CCN3/ACVRL1/TGFBR2/TGFBR3/BMP4",5
"GO:0031214","biomineral tissue development","6/146","24/1372",0.25,2.34931506849315,2.30050915196245,0.034842899076378,0.999999950389579,0.999999950389579,"CDON/MMP13/KLK4/FGF23/BMP4/CCN1",6
"GO:0001501","skeletal system development","11/146","58/1372",0.189655172413793,1.78223901747756,2.09993430718773,0.0370841099087918,0.999999950389579,0.999999950389579,"CCN3/ACVRL1/EFEMP1/NPPC/TGFBR2/GH1/MMP13/OGN/COMP/BMP4/GHRL",11
"GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","9/146","44/1372",0.204545454545455,1.92216687422167,2.14479969146983,0.0370890300140252,0.999999950389579,0.999999950389579,"CCN3/ACVRL1/TGFBR2/CDH3/MICOS10-NBL1/NBL1/TGFBR3/BMP4/CCN1",9
"GO:1901342","regulation of vasculature development","15/146","89/1372",0.168539325842697,1.5838079113437,1.96472409492183,0.042863945647768,0.999999950389579,0.999999950389579,"THBS4/HSPG2/NPPB/EPHA1/PRL/CD160/SFRP1/GHRL/ADM/TNFRSF12A/CCL24/HSPB6/ANGPTL7/GPNMB/ANGPT2",15
"GO:0050673","epithelial cell proliferation","14/146","82/1372",0.170731707317073,1.60441029067825,1.94712503742273,0.0451508260414529,0.999999950389579,0.999999950389579,"CCN3/ACVRL1/THBS4/MMP12/PRL/CDH3/TGFBR3/SFRP1/KLK8/BMP4/GHRL/REG3A/CCL24/TGFA",14
"GO:0032963","collagen metabolic process","7/146","32/1372",0.21875,2.05565068493151,2.08445605660192,0.0458121349988868,0.999999950389579,0.999999950389579,"NPPC/MMP12/CTSB/MMP13/BMP4/TNXB/PCOLCE",7
