"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070062","extracellular exosome","42/103","411/1415",0.102189781021898,1.40386932180568,2.72252150692454,0.00540967466099163,0.272649733578336,0.272649733578336,"NT5E/NAMPT/CTSH/HSPA1A/GSTA1/FKBP5/LBP/IL1RN/SERPINE1/GRN/SERPINB9/KRT19/NID1/PSME1/PSME2/WARS1/UMOD/LAP3/SMPDL3A/PLA2G2A/HSPA1B/LGMN/SHMT1/CD70/SORD/BST2/TINAGL1/BRK1/VWA1/ARSA/ST3GAL1/GGH/TXNRD1/FBP1/TPP1/SMPD1/ANGPTL1/ALDH1A1/FURIN/CD14/ACY1/KRT18",42
"GO:0043230","extracellular organelle","42/103","412/1415",0.101941747572816,1.40046187199548,2.70418073352699,0.00568020278288199,0.272649733578336,0.272649733578336,"NT5E/NAMPT/CTSH/HSPA1A/GSTA1/FKBP5/LBP/IL1RN/SERPINE1/GRN/SERPINB9/KRT19/NID1/PSME1/PSME2/WARS1/UMOD/LAP3/SMPDL3A/PLA2G2A/HSPA1B/LGMN/SHMT1/CD70/SORD/BST2/TINAGL1/BRK1/VWA1/ARSA/ST3GAL1/GGH/TXNRD1/FBP1/TPP1/SMPD1/ANGPTL1/ALDH1A1/FURIN/CD14/ACY1/KRT18",42
"GO:0065010","extracellular membrane-bounded organelle","42/103","412/1415",0.101941747572816,1.40046187199548,2.70418073352699,0.00568020278288199,0.272649733578336,0.272649733578336,"NT5E/NAMPT/CTSH/HSPA1A/GSTA1/FKBP5/LBP/IL1RN/SERPINE1/GRN/SERPINB9/KRT19/NID1/PSME1/PSME2/WARS1/UMOD/LAP3/SMPDL3A/PLA2G2A/HSPA1B/LGMN/SHMT1/CD70/SORD/BST2/TINAGL1/BRK1/VWA1/ARSA/ST3GAL1/GGH/TXNRD1/FBP1/TPP1/SMPD1/ANGPTL1/ALDH1A1/FURIN/CD14/ACY1/KRT18",42
"GO:1903561","extracellular vesicle","42/103","412/1415",0.101941747572816,1.40046187199548,2.70418073352699,0.00568020278288199,0.272649733578336,0.272649733578336,"NT5E/NAMPT/CTSH/HSPA1A/GSTA1/FKBP5/LBP/IL1RN/SERPINE1/GRN/SERPINB9/KRT19/NID1/PSME1/PSME2/WARS1/UMOD/LAP3/SMPDL3A/PLA2G2A/HSPA1B/LGMN/SHMT1/CD70/SORD/BST2/TINAGL1/BRK1/VWA1/ARSA/ST3GAL1/GGH/TXNRD1/FBP1/TPP1/SMPD1/ANGPTL1/ALDH1A1/FURIN/CD14/ACY1/KRT18",42
"GO:1990904","ribonucleoprotein complex","5/103","18/1415",0.277777777777778,3.81607335490831,3.36789398651055,0.00740151469942236,0.283218854987001,0.283218854987001,"HSPA1A/NPM1/HSPA1B/TRIM21/RIGI",5
"GO:0005739","mitochondrion","15/103","108/1415",0.138888888888889,1.90803667745415,2.75013412114977,0.00885058921834377,0.283218854987001,0.283218854987001,"NAMPT/HSPA1A/SAMD9L/KYNU/HMOX1/GFER/DCTPP1/GRPEL1/LAP3/PLA2G2A/HSPA1B/SHMT1/SORD/PTS/TXNRD1",15
"GO:0005829","cytosol","41/103","431/1415",0.0951276102088167,1.30685017908229,2.13965555952141,0.0228964039989261,0.628015652541974,0.628015652541974,"GBP2/NAMPT/LEP/CTSH/CES1/HSPA1A/GSTA1/KYNU/FKBP5/HMOX1/GFER/IL1RN/LGALS9/SERPINB9/KRT19/DCTPP1/NPM1/PSME1/PSME2/WARS1/ACAA1/GZMB/HSPA1B/SHMT1/SORD/ADH4/TCL1A/TYMP/SCLY/BRK1/PTS/TXNRD1/NADK/FBP1/RRM2/TRIM21/RIGI/ALDH1A1/MAD1L1/ACY1/KRT18",41
"GO:0000922","spindle pole","3/103","11/1415",0.272727272727273,3.74669020300088,2.5615265797233,0.0402267135204071,0.722097366688506,0.722097366688506,"NPM1/UMOD/MAD1L1",3
"GO:0031974","membrane-enclosed lumen","37/103","398/1415",0.092964824120603,1.27713811777333,1.82664319044823,0.0454958426241498,0.722097366688506,0.722097366688506,"NAMPT/DPY30/CTSH/CES1/HSPA1A/HMOX1/CRH/GFER/ELOA/SERPINE1/IL6/MATN3/GRN/DCTPP1/NPM1/PSME1/TCN2/GRPEL1/PSME2/ACAA1/GZMB/UMOD/HSPA1B/LGMN/PTX3/SHMT1/TCL1A/VWA1/ARSA/GGH/TXNRD1/RRM2/TPP1/SMPD1/MAD1L1/FURIN/KRT18",37
"GO:0043233","organelle lumen","37/103","398/1415",0.092964824120603,1.27713811777333,1.82664319044823,0.0454958426241498,0.722097366688506,0.722097366688506,"NAMPT/DPY30/CTSH/CES1/HSPA1A/HMOX1/CRH/GFER/ELOA/SERPINE1/IL6/MATN3/GRN/DCTPP1/NPM1/PSME1/TCN2/GRPEL1/PSME2/ACAA1/GZMB/UMOD/HSPA1B/LGMN/PTX3/SHMT1/TCL1A/VWA1/ARSA/GGH/TXNRD1/RRM2/TPP1/SMPD1/MAD1L1/FURIN/KRT18",37
"GO:0070013","intracellular organelle lumen","37/103","398/1415",0.092964824120603,1.27713811777333,1.82664319044823,0.0454958426241498,0.722097366688506,0.722097366688506,"NAMPT/DPY30/CTSH/CES1/HSPA1A/HMOX1/CRH/GFER/ELOA/SERPINE1/IL6/MATN3/GRN/DCTPP1/NPM1/PSME1/TCN2/GRPEL1/PSME2/ACAA1/GZMB/UMOD/HSPA1B/LGMN/PTX3/SHMT1/TCL1A/VWA1/ARSA/GGH/TXNRD1/RRM2/TPP1/SMPD1/MAD1L1/FURIN/KRT18",37
"GO:0016607","nuclear speck","4/103","20/1415",0.2,2.74757281553398,2.20464960042879,0.0518678664116913,0.722097366688506,0.722097366688506,"HSPA1A/ELOA/NPM1/HSPA1B",4
"GO:0005813","centrosome","5/103","29/1415",0.172413793103448,2.36859725477067,2.08578455819526,0.0541345514954431,0.722097366688506,0.722097366688506,"HSPA1A/NPM1/HSPA1B/MAD1L1/KRT18",5
"GO:0005773","vacuole","15/103","134/1415",0.111940298507463,1.53782060570932,1.83270123013331,0.0544356159584446,0.722097366688506,0.722097366688506,"GZMH/CTSH/GRN/TCN2/GZMB/LAMP3/LGMN/BST2/TINAGL1/ARSA/CTSO/GGH/TRIM21/TPP1/SMPD1",15
"GO:0005770","late endosome","6/103","40/1415",0.15,2.06067961165049,1.90607184823714,0.0649681463534225,0.722097366688506,0.722097366688506,"CTSH/SIGLEC1/GRN/LAMP3/LGMN/BST2",6
"GO:0140168","nuclear ribonucleoprotein granule","4/103","22/1415",0.181818181818182,2.49779346866725,1.98318904254821,0.0700678464614791,0.722097366688506,0.722097366688506,"HSPA1A/ELOA/NPM1/HSPA1B",4
"GO:0000323","lytic vacuole","14/103","129/1415",0.108527131782946,1.49093098517348,1.63821619119455,0.077136270285447,0.722097366688506,0.722097366688506,"GZMH/CTSH/GRN/TCN2/GZMB/LAMP3/LGMN/BST2/TINAGL1/ARSA/CTSO/GGH/TPP1/SMPD1",14
"GO:0005764","lysosome","14/103","129/1415",0.108527131782946,1.49093098517348,1.63821619119455,0.077136270285447,0.722097366688506,0.722097366688506,"GZMH/CTSH/GRN/TCN2/GZMB/LAMP3/LGMN/BST2/TINAGL1/ARSA/CTSO/GGH/TPP1/SMPD1",14
