"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003824","catalytic activity","48/101","449/1395",0.106904231625835,1.47654854572317,3.42459869194828,0.000612664933638655,0.0911741348042007,0.0911741348042007,"NT5E/GZMH/GBP2/NAMPT/CTSH/CES1/HSPA1A/GSTA1/KYNU/FKBP5/HMOX1/GFER/IL18R1/DCTPP1/WARS1/ACAA1/GZMB/LAP3/SMPDL3A/PLA2G2A/HSPA1B/LGMN/SHMT1/SORD/ADH4/TYMP/SCLY/PTS/ARSA/CTSO/ST3GAL1/GGH/TXNRD1/CCL8/NADK/ENTPD5/FBP1/RRM2/CELA3A/TRIM21/TPP1/SMPD1/RIGI/ALDH1A1/FURIN/ST6GAL1/ACY1/CTRB1",48
"GO:0019842","vitamin binding","6/101","18/1395",0.333333333333333,4.6039603960396,4.298077359149,0.00112875999185931,0.0911741348042007,0.0911741348042007,"KYNU/TCN2/SHMT1/ADH4/SCLY/FOLR2",6
"GO:0016504","peptidase activator activity","5/101","13/1395",0.384615384615385,5.31226199543031,4.36262344722544,0.00145449628585698,0.0911741348042007,0.0911741348042007,"CTSH/PSME1/PSME2/LGMN/FURIN",5
"GO:0042802","identical protein binding","34/101","296/1395",0.114864864864865,1.58649986620284,3.17497172722465,0.00177037154959613,0.0911741348042007,0.0911741348042007,"NT5E/GBP2/NAMPT/AGER/DPY30/CTSH/KYNU/TNFSF14/HMOX1/AGR2/IL6/DCTPP1/NPM1/GRPEL1/PSME2/WARS1/PTX3/SHMT1/SORD/BST2/TCL1A/TYMP/SCLY/BRK1/VWA1/PTS/TXNRD1/FBP1/RRM2/TRIM21/SLAMF7/RIGI/ST6GAL1/ACY1",34
"GO:0016462","pyrophosphatase activity","7/101","30/1395",0.233333333333333,3.22277227722772,3.43727444181424,0.00430785534607197,0.126774028755832,0.126774028755832,"GBP2/HSPA1A/DCTPP1/SMPDL3A/HSPA1B/ENTPD5/RIGI",7
"GO:0016817","hydrolase activity, acting on acid anhydrides","7/101","30/1395",0.233333333333333,3.22277227722772,3.43727444181424,0.00430785534607197,0.126774028755832,0.126774028755832,"GBP2/HSPA1A/DCTPP1/SMPDL3A/HSPA1B/ENTPD5/RIGI",7
"GO:0016818","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","7/101","30/1395",0.233333333333333,3.22277227722772,3.43727444181424,0.00430785534607197,0.126774028755832,0.126774028755832,"GBP2/HSPA1A/DCTPP1/SMPDL3A/HSPA1B/ENTPD5/RIGI",7
"GO:0016887","ATP hydrolysis activity","4/101","11/1395",0.363636363636364,5.02250225022502,3.74067113861378,0.00575175673344377,0.148107735886177,0.148107735886177,"HSPA1A/SMPDL3A/HSPA1B/RIGI",4
"GO:1901363","heterocyclic compound binding","19/101","147/1395",0.129251700680272,1.78520913315821,2.81100522435019,0.00667474565265964,0.152777511605321,0.152777511605321,"NT5E/GBP2/HSPA1A/KYNU/GFER/DCTPP1/TCN2/WARS1/HSPA1B/SHMT1/SORD/ADH4/SCLY/TXNRD1/NADK/FBP1/RIGI/ALDH1A1/FOLR2",19
"GO:0016787","hydrolase activity","27/101","240/1395",0.1125,1.55383663366337,2.63342675283911,0.00839705337137254,0.172979299450274,0.172979299450274,"NT5E/GZMH/GBP2/CTSH/CES1/HSPA1A/KYNU/IL18R1/DCTPP1/GZMB/LAP3/SMPDL3A/PLA2G2A/HSPA1B/LGMN/ARSA/CTSO/GGH/ENTPD5/FBP1/CELA3A/TPP1/SMPD1/RIGI/FURIN/ACY1/CTRB1",27
"GO:0017111","ribonucleoside triphosphate phosphatase activity","5/101","21/1395",0.238095238095238,3.28854314002829,2.95121140181365,0.0144165509035509,0.235426417136731,0.235426417136731,"GBP2/HSPA1A/SMPDL3A/HSPA1B/RIGI",5
"GO:0016491","oxidoreductase activity","9/101","55/1395",0.163636363636364,2.26012601260126,2.66297971288024,0.0146491521779506,0.235426417136731,0.235426417136731,"GSTA1/HMOX1/GFER/ACAA1/SORD/ADH4/TXNRD1/RRM2/ALDH1A1",9
"GO:0042803","protein homodimerization activity","15/101","115/1395",0.130434782608696,1.80154972018941,2.5061054318129,0.0148570069066869,0.235426417136731,0.235426417136731,"GBP2/DPY30/KYNU/HMOX1/AGR2/NPM1/GRPEL1/WARS1/SHMT1/BST2/TYMP/SCLY/VWA1/RRM2/ST6GAL1",15
"GO:0140657","ATP-dependent activity","4/101","15/1395",0.266666666666667,3.68316831683168,2.91795734488205,0.0189870908600521,0.279381479797909,0.279381479797909,"HSPA1A/SMPDL3A/HSPA1B/RIGI",4
"GO:0016757","glycosyltransferase activity","4/101","18/1395",0.222222222222222,3.06930693069307,2.46785211006083,0.0359900173307251,0.463371473133085,0.463371473133085,"NAMPT/TYMP/ST3GAL1/ST6GAL1",4
"GO:0051082","unfolded protein binding","4/101","18/1395",0.222222222222222,3.06930693069307,2.46785211006083,0.0359900173307251,0.463371473133085,0.463371473133085,"HSPA1A/NPM1/GRPEL1/HSPA1B",4
"GO:0061134","peptidase regulator activity","8/101","55/1395",0.145454545454545,2.00900090009001,2.13228589867054,0.0401832818830458,0.467509599994614,0.467509599994614,"CTSH/SERPINE1/SERPINB9/PSME1/PSME2/LGMN/BST2/FURIN",8
