"Protein","Assay","UniProt","Pathway_Count","Mean_NES","Max_abs_t","Mean_t","logFC","adj.P.Val","Regulation","Significant","Pathways"
"OID20178","NADK","O95544",6,2.09921773118808,14.1292015697534,14.1292015697534,2.05326390500209,3.9015371720285e-34,"Up",TRUE,"small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process"
"OID20234","TYMP","P19971",8,2.07573033330509,12.1032527972381,12.1032527972381,1.50991485498108,1.34447344287478e-26,"Up",TRUE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process | nucleobase-containing compound catabolic process"
"OID21187","RRM2","P31350",6,2.09921773118808,9.8862632397509,9.8862632397509,1.33390882723833,5.76680497952062e-19,"Up",TRUE,"small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process"
"OID20104","ENTPD5","O75356",8,2.07573033330509,9.58099759560054,9.58099759560054,0.687150277427488,5.75464879215907e-18,"Up",TRUE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process | nucleobase-containing compound catabolic process"
"OID20397","CD93","Q9NPY3",9,-1.78926750022654,8.8629087059826,-8.8629087059826,-0.756090508617062,1.04264095755044e-15,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20946","FLRT2","O43155",5,-1.79634414340143,8.69786012907057,-8.69786012907057,-0.56384691046658,3.21663459566631e-15,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | animal organ development | circulatory system development"
"OID20994","BMP4","P12644",10,-1.788438584288,8.52335376779355,-8.52335376779355,-0.759845876418658,1.08189844442444e-14,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20772","CCL24","O00175",8,-1.78121673144346,8.2607624901256,-8.2607624901256,-1.41032061790667,6.7223880109792e-14,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20173","GPNMB","Q14956",9,-1.78926750022654,8.2127605660059,-8.2127605660059,-0.587470840689363,9.07038443991561e-14,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20255","TGFBR3","Q03167",9,-1.78119024359875,8.19065443371906,-8.19065443371906,-0.717537179487176,1.04202587082001e-13,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
