"Protein","Assay","UniProt","Pathway_Count","Mean_NES","Max_abs_t","Mean_t","logFC","adj.P.Val","Regulation","Significant","Pathways","Direction"
"OID20397","CD93","Q9NPY3",9,-1.78926750022654,8.8629087059826,-8.8629087059826,-0.756090508617062,1.04264095755044e-15,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID20946","FLRT2","O43155",5,-1.79634414340143,8.69786012907057,-8.69786012907057,-0.56384691046658,3.21663459566631e-15,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | animal organ development | circulatory system development","Down"
"OID20994","BMP4","P12644",10,-1.788438584288,8.52335376779355,-8.52335376779355,-0.759845876418658,1.08189844442444e-14,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID20772","CCL24","O00175",8,-1.78121673144346,8.2607624901256,-8.2607624901256,-1.41032061790667,6.7223880109792e-14,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID20173","GPNMB","Q14956",9,-1.78926750022654,8.2127605660059,-8.2127605660059,-0.587470840689363,9.07038443991561e-14,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID20255","TGFBR3","Q03167",9,-1.78119024359875,8.19065443371906,-8.19065443371906,-0.717537179487176,1.04202587082001e-13,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID20368","THBS4","P35443",9,-1.78926750022654,7.64953913682972,-7.64953913682972,-0.891506326187471,3.37861227026196e-12,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID20299","CCN3","P48745",10,-1.788438584288,7.51617467769149,-7.51617467769149,-1.11322515762925,7.81284718859483e-12,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID20383","HSPG2","P98160",9,-1.78119024359875,7.27498579969711,-7.27498579969711,-0.951518163093732,3.41318570394882e-11,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID20049","NPPB","P16860",9,-1.78119024359875,6.91149481655409,-6.91149481655409,-1.77180200084068,2.79886475430597e-10,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID20647","CD160","O95971",9,-1.78926750022654,6.25532913077991,-6.25532913077991,-0.867403795712481,1.07017565822563e-08,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID21463","ANGPT2","O15123",9,-1.78119024359875,5.63325841568532,-5.63325841568532,-0.664091828499366,2.62565716242552e-07,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID20999","ACVRL1","P37023",10,-1.788438584288,5.37010232052286,-5.37010232052286,-0.687155073560316,9.23601471495408e-07,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID20175","GHRL","Q9UBU3",9,-1.78119024359875,5.02436044788424,-5.02436044788424,-0.901902723833538,4.44580029571753e-06,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID20677","EPHA1","P21709",9,-1.78926750022654,4.9271278476225,-4.9271278476225,-0.543353266078181,6.77125774808196e-06,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID21493","TGFBR2","P37173",10,-1.788438584288,4.75556822418844,-4.75556822418844,-0.556811778058005,1.40956852286738e-05,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID20079","ACTA2","P62736",6,-1.78747783333146,4.58780577909265,-4.58780577909265,-0.511933661202183,2.80636382356186e-05,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | blood vessel development","Down"
"OID20568","NPPC","P23582",9,-1.78119024359875,4.37001974945235,-4.37001974945235,-0.625162021857919,6.6848207692537e-05,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID21482","TNFRSF12A","Q9NP84",9,-1.78926750022654,4.23048852995828,-4.23048852995828,-0.57598473728457,0.00011420765508015,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
