"UniProt","Protein","Pathway_Count","Mean_NES","Max_abs_t","Mean_t","Pathways"
"P12644","OID20994",10,-1.788438584288,8.52335376779355,-8.52335376779355,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"P01579","OID20495",10,2.04262299272422,8.06056826450646,8.06056826450646,"catabolic process | small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | protein catabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process | macromolecule catabolic process | nucleobase-containing compound catabolic process"
"P05556","OID20376",10,-1.788438584288,7.58571385299735,-7.58571385299735,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"P48745","OID20299",10,-1.788438584288,7.51617467769149,-7.51617467769149,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"O14786","OID20390",10,-1.788438584288,7.3640005146002,-7.3640005146002,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"Q13444","OID20109",10,-1.788438584288,7.06830909308609,-7.06830909308609,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"P37023","OID20999",10,-1.788438584288,5.37010232052286,-5.37010232052286,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"P17813","OID20287",10,-1.788438584288,5.16300733039203,-5.16300733039203,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"Q14126","OID21113",10,-1.788438584288,4.89344350051089,-4.89344350051089,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"P39060","OID20332",10,-1.788438584288,4.8383142897742,-4.8383142897742,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"P37173","OID21493",10,-1.788438584288,4.75556822418844,-4.75556822418844,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"Q9Y6N7","OID20734",10,-1.788438584288,4.4175996724262,-4.4175996724262,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"P28906","OID21025",10,-1.788438584288,4.31968766261698,-4.31968766261698,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"P35613","OID20626",10,-1.788438584288,4.24376731072008,-4.24376731072008,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"P0DMV8","OID20718",10,2.04262299272422,3.960347639697,3.960347639697,"catabolic process | small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | protein catabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process | macromolecule catabolic process | nucleobase-containing compound catabolic process"
"P04216","OID21050",10,-1.788438584288,3.94642091055303,-3.94642091055303,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"Q8N474","OID20984",10,-1.788438584288,3.82955340118134,-3.82955340118134,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"P28827","OID20598",10,-1.788438584288,3.8020800339255,-3.8020800339255,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"P29317","OID21342",10,-1.788438584288,3.7754203052328,-3.7754203052328,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"P20827","OID21125",10,-1.788438584288,3.40853319557729,-3.40853319557729,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
