"ID","Description","NES","p.adjust","EntrezID","UniProt","Protein","t"
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"725","P20851","OID21481",14.7071366513125
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"1890","P19971","OID20234",12.1032527972381
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"1200","O14773","OID20750",10.6503038859215
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"3002","P10144","OID20604",10.5720694432236
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"5641","Q99538","OID20773",10.0886761433417
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"5045","P09958","OID21514",9.715771230116
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"957","O75356","OID20104",9.58099759560054
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"27074","Q9UQV4","OID20638",9.18334374882524
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"3458","P01579","OID20495",8.06056826450646
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"6609","P17405","OID21028",7.99610189060309
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"2203","P09467","OID20227",7.14073376601889
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"4745","Q92832","OID21494",6.81581189591156
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"5721","Q9UL46","OID20989",6.66786318987345
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"1519","P43234","OID20660",6.39051310201438
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"6737","P19474","OID20533",6.38534772676743
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"1512","P09668","OID20113",6.35581925354662
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"5720","Q06323","OID20969",6.29833990292236
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"8804","O75629","OID21515",6.23675246710672
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"634","P13688","OID21528",5.91618772455958
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"255738","Q8NBP7","OID20235",5.78433553413356
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"10924","Q92484","OID20676",5.68323688523939
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"7430","P15311","OID21017",5.64261481978391
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"1075","P53634","OID20679",5.61085487928516
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"79077","Q9H773","OID20148",5.4787498037154
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"5320","P14555","OID20274",5.35868935182619
