"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS",0.000157803376992268,0.0116494572411967,-0.625362276888526,-1.99488762173014,0,33,"1311;7087;3685;3688;3339;1297;3695;58494;1293;22801;1282;999;80781;3694;1277;3678;682;3689"
"REACTOME_INTERFERON_SIGNALING",0.00026476039184538,0.0116494572411967,0.687413366141637,2.24257770054999,0,27,"23586;684;5045;3458;6737;3460;2634;2289;4869;834;3303"
"REACTOME_KEAP1_NFE2L2_PATHWAY",0.000245459008345606,0.0116494572411967,0.736975790840698,2.05911056074643,0,15,"6737;7296;3162;6347;5052;2938;2940;571;5154;4851;1026;1950"
"REACTOME_METABOLISM_OF_NUCLEOTIDES",0.00025062656641604,0.0116494572411967,0.729365723791347,2.14391857125736,0,18,"1890;6241;957;7296;79077;4907;50484;955;100"
"REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS",0.000247279920870425,0.0116494572411967,0.747967727329112,2.12935121972711,0,16,"65220;6948;2350;1504;6470;10135;4907;54;60490"
"REACTOME_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES",0.000733496332518337,0.023906547133931,0.754521421718778,2.01826662972533,2,13,"23586;5045;2634;4869;834;3303"
"REACTOME_COLLAGEN_FORMATION",0.000838926174496644,0.023906547133931,-0.668882126827727,-1.81892425225604,4,17,"5118;1297;1293;1508;4322;1282;4316;80781;1277"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",0.000869691259602841,0.023906547133931,-0.447999719941192,-1.72018238572195,5,94,"1311;7148;8076;652;7087;5118;4321;5802;3685;3688;3339;1297;3695;8751;58494;1293;22801;2202;1508;4322;1282;4316;999;80781;7177;3694;59;1088;1277;3910;3678;682;3689"
"REACTOME_SARS_COV_1_INFECTION",0.00097799511002445,0.023906547133931,0.749061315705039,2.00366141184141,3,13,"23586;684;6480;6482;4869;5054;834"
"REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES",0.00119535519125683,0.0242013552758954,-0.758178262370832,-1.83161458715295,6,11,"8076;652;3685;3688;2202;3694"
"REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2",0.00121006776379477,0.0242013552758954,0.745585912450556,1.9533176756663,4,12,"7296;3162;6347;5052;2938;2940;571;5154;4851;1950"
"REACTOME_ECM_PROTEOGLYCANS",0.00143701101708446,0.0263452019798818,-0.583125870716391,-1.80421796753818,8,29,"1311;7148;5802;3685;3688;3339;1297;1293;1282;3694;1277;3910"
"REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES",0.00202429149797571,0.0342572407349735,-0.68688872590355,-1.80806144094864,11,15,"5118;1297;1293;1508;4322;1282;4316;80781;1277"
"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",0.00269106566200215,0.0422881746886053,0.536056090229793,1.79196507105396,9,30,"6737;7296;6648;3162;6347;5052;2938;2940;571;5154;4851;9973;1026;9588;1950;6647;3163;10935"
"REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL",0.00769578995020371,0.11272168322232,-0.441156709794074,-1.55993935043187,50,56,"3685;3688;5669;58494;965;4267;285;3897;7056;90952;83692;1088;1277;3678;682;3689;4072;2817;51744;6403;51206;5175;6404;8795"
"REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES",0.00871031188536106,0.11272168322232,0.452289753010845,1.60669746330466,30,40,"2203;6482;6652;2720;411;9394;1463;51181;216;9953;2023;80146;2683;6385;64080"
"REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS",0.00831545064377682,0.11272168322232,0.496622038636431,1.67317546015199,30,31,"65220;6948;2350;1504;5805;6470;10135;4907;54;60490;1208;6385"
"REACTOME_LEISHMANIA_INFECTION",0.0120353035571008,0.147098154586788,0.486589982771577,1.61353457944335,44,29,"5045;957;55845;4907;3162;834;3606;2678;3725;3569"
"REACTOME_SIGNALING_BY_ALK_IN_CANCER",0.0149144254278729,0.172693347059581,0.63479071699933,1.6979993994878,60,13,"3002;5601;4869;3725;4851;1026;7157;5573;1051;5777"
"REACTOME_PROTEIN_LOCALIZATION",0.0158924205378973,0.17481662591687,0.629508055125519,1.6838688262938,64,13,"80273;2671;3162;30;189;2053;351"
