"pathway","pval","padj","log2err","ES","NES","size"
"GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",0.424390243902439,0.772996515679442,0.0768736734126542,-0.368590905657622,-1.02596778797003,20
"GOBP_ACTIN_FILAMENT_ORGANIZATION",0.231354642313546,0.592510196514646,0.107972360317345,-0.335285964888015,-1.15585181805306,47
"GOBP_ACTIN_FILAMENT_POLYMERIZATION",0.353503184713376,0.716409506794434,0.0855356947987884,-0.398867431577043,-1.09485242625899,18
"GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION",0.4496,0.78980749972182,0.0730744399126987,-0.339656903139566,-0.99443263386736,23
"GOBP_ACTION_POTENTIAL",0.148580968280467,0.475725611445084,0.14641623786055,-0.541181166070074,-1.31046305087933,11
"GOBP_ACTIVATED_T_CELL_PROLIFERATION",0.473684210526316,0.802099574855461,0.09754492162472,0.320038981244208,0.984032858706994,21
"GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE",0.0109882269642784,0.159033870128277,0.380730400722792,0.426167719077317,1.55559764893421,47
"GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY",0.982371794871795,0.999752903385224,0.0363018462359236,-0.204696106769405,-0.544729534796113,16
"GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION",0.317073170731707,0.677815101504308,0.0928481214159878,-0.405239476242487,-1.12797858725477,20
"GOBP_ACUTE_INFLAMMATORY_RESPONSE",0.5568,0.878575027624309,0.0625237414724762,-0.302537721428082,-0.952429106146409,32
"GOBP_ACUTE_PHASE_RESPONSE",0.861958266452649,0.999752903385224,0.0424170054438747,-0.269468664181901,-0.725459182112487,17
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",0.0416732264126828,0.288880423870442,0.321775918075361,0.313047167549956,1.32535498696839,95
"GOBP_ADAPTIVE_THERMOGENESIS",0.300791556728232,0.66081591231987,0.127505315300183,0.345130527694786,1.1001196971941,25
"GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",0.0573196922065824,0.331386722554655,0.321775918075361,0.494463896369092,1.44223180122438,17
"GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",0.0645994832041344,0.352091839753832,0.287857117255149,0.466818820422269,1.4322542432406,20
"GOBP_ADHERENS_JUNCTION_ORGANIZATION",0.0204633178413155,0.20236281837968,0.352487857583619,-0.672975729868222,-1.58546460278963,10
"GOBP_ADULT_BEHAVIOR",0.594594594594595,0.892829738255606,0.0590954798717342,-0.306581839017151,-0.916645310279644,26
