"ENTREZID","pathway_count","OlinkID","Assay","UniProt","t","Panel"
"6092",7,"OID21007","ROBO2","Q9HCK4",-6.12138954848126,"NEUROLOGY"
"6091",5,"OID20734","ROBO1","Q9Y6N7",-4.15806619729913,"INFLAMMATION"
"64084",4,"OID20664","CLSTN2","Q9H4D0",-7.66931816046957,"INFLAMMATION"
"7087",4,"OID20145","ICAM5","Q9UMF0",-6.55743276928008,"CARDIOMETABOLIC"
"652",4,"OID20994","BMP4","P12644",-6.22932785037682,"NEUROLOGY"
"7049",4,"OID20255","TGFBR3","Q03167",-5.68805838278587,"CARDIOMETABOLIC"
"8829",4,"OID20390","NRP1","O14786",-5.633591236806,"CARDIOMETABOLIC"
"2022",4,"OID20287","ENG","P17813",-4.66551113612416,"CARDIOMETABOLIC"
"347902",4,"OID21370","AMIGO2","Q86SJ2",-4.05079735859659,"ONCOLOGY"
"2658",4,"OID20202","GDF2","Q9UK05",-3.35711980688944,"CARDIOMETABOLIC"
"3491",4,"OID21368","CCN1","O00622",-3.3549279284742,"ONCOLOGY"
"94",4,"OID20999","ACVRL1","P37023",-3.04553336016635,"NEUROLOGY"
"55118",3,"OID20279","CRTAC1","Q9NQ79",-9.58195926599082,"CARDIOMETABOLIC"
"23768",3,"OID20946","FLRT2","O43155",-6.91159046599407,"NEUROLOGY"
"5802",3,"OID20306","PTPRS","Q13332",-5.99444479145165,"CARDIOMETABOLIC"
"1003",3,"OID20243","CDH5","P33151",-5.97645615086677,"CARDIOMETABOLIC"
"3688",3,"OID20376","ITGB1","P05556",-5.93499899227497,"CARDIOMETABOLIC"
"4915",3,"OID20136","NTRK2","Q16620",-4.90984752258672,"CARDIOMETABOLIC"
"3556",3,"OID21126","IL1RAP","Q9NPH3",-4.90962723815642,"NEUROLOGY"
"266727",3,"OID20951","MDGA1","Q8NFP4",-4.48501720737293,"NEUROLOGY"
"4916",3,"OID21057","NTRK3","Q16288",-4.44818511572805,"NEUROLOGY"
"57633",3,"OID20438","LRRN1","Q6UXK5",-4.32468076920348,"INFLAMMATION"
"6422",3,"OID20984","SFRP1","Q8N474",-2.57792421641045,"NEUROLOGY"
"1830",2,"OID21460","DSG3","P32926",-6.19604805892792,"ONCOLOGY"
"1001",2,"OID21008","CDH3","P22223",-4.28003780625936,"NEUROLOGY"
"56963",2,"OID21065","RGMA","Q96B86",-3.90132038775629,"NEUROLOGY"
"147409",2,"OID21325","DSG4","Q86SJ6",-3.1682152747985,"ONCOLOGY"
"25805",2,"OID21267","BAMBI","Q13145",-2.97553879972221,"ONCOLOGY"
"25884",2,"OID20223","CHRDL2","Q6WN34",-2.94875675902072,"CARDIOMETABOLIC"
"100532736",2,"OID21486","NBL1","P41271",-2.71585302602633,"ONCOLOGY"
"4681",2,"OID21486","NBL1","P41271",-2.71585302602633,"ONCOLOGY"
"7048",2,"OID21493","TGFBR2","P37173",-2.42965562299984,"ONCOLOGY"
"2263",2,"OID21478","FGFR2","P21802",-2.19405061702417,"ONCOLOGY"
"1311",1,"OID20405","COMP","P49747",-8.44086114409821,"CARDIOMETABOLIC"
"7148",1,"OID21107","TNXB","P22105",-8.31235853559239,"NEUROLOGY"
"1824",1,"OID21079","DSC2","Q02487",-7.81096318435324,"NEUROLOGY"
"1004",1,"OID20157","CDH6","P55285",-7.65933079247041,"CARDIOMETABOLIC"
"152330",1,"OID21117","CNTN4","Q8IWV2",-6.79804231625809,"NEUROLOGY"
"11202",1,"OID21517","KLK8","O60259",-6.38644927832017,"ONCOLOGY"
"4856",1,"OID20299","CCN3","P48745",-5.29965891789859,"CARDIOMETABOLIC"
"114990",1,"OID20345","VASN","Q6EMK4",-4.95280476564881,"CARDIOMETABOLIC"
"196403",1,"OID21349","DTX3","Q8N9I9",-4.67832851552755,"ONCOLOGY"
"3815",1,"OID20370","KIT","P10721",-4.52832662145223,"CARDIOMETABOLIC"
"4179",1,"OID20380","CD46","P15529",-4.37397997815351,"CARDIOMETABOLIC"
"8788",1,"OID20295","DLK1","P80370",-4.34633793296436,"CARDIOMETABOLIC"
"3897",1,"OID21484","L1CAM","P32004",-4.22652132643194,"ONCOLOGY"
