"ENTREZID","pathway_count","OlinkID","Assay","UniProt","t","Panel"
"3458",6,"OID20495","IFNG","P01579",7.39746528255966,"INFLAMMATION"
"10859",6,"OID20323","LILRB1","Q8NHL6",4.31081804837031,"CARDIOMETABOLIC"
"7124",6,"OID20074","TNF","P01375",3.6338852380269,"CARDIOMETABOLIC"
"725",5,"OID21481","C4BPB","P20851",12.9113722303242,"ONCOLOGY"
"3965",5,"OID20781","LGALS9","O00182",10.6941246333902,"INFLAMMATION"
"3569",5,"OID20101","IL6","P05231",3.08071737714473,"CARDIOMETABOLIC"
"684",4,"OID21029","BST2","Q10589",8.84210972155381,"NEUROLOGY"
"3902",4,"OID21315","LAG3","P18627",7.90423408090356,"ONCOLOGY"
"11006",4,"OID20429","LILRB4","Q8NHJ6",5.78379864246003,"INFLAMMATION"
"29126",4,"OID20966","CD274","Q9NZQ7",5.38666520542915,"NEUROLOGY"
"634",4,"OID21528","CEACAM1","P13688",5.08066057190576,"ONCOLOGY"
"5817",4,"OID21011","PVR","P15151",4.91987055948004,"NEUROLOGY"
"339390",4,"OID20590","CLEC4G","Q6UXB4",4.57259445422629,"INFLAMMATION"
"100",4,"OID20645","ADA","P00813",3.66286394623751,"INFLAMMATION"
"23586",3,"OID21226","DDX58","O95786",12.1159025504225,"ONCOLOGY"
"282618",3,"OID20795","IFNL1","Q8IU54",11.1785916179051,"NEUROLOGY"
"712",3,"OID20654","C1QA","P02745",9.26207381561022,"INFLAMMATION"
"8809",3,"OID20652","IL18R1","Q13478",6.94831318072808,"INFLAMMATION"
"970",3,"OID20599","CD70","P32970",6.311415784111,"INFLAMMATION"
"1512",3,"OID20113","CTSH","P09668",6.29096322276801,"CARDIOMETABOLIC"
"2203",3,"OID20227","FBP1","P09467",5.95781631466046,"CARDIOMETABOLIC"
"717",3,"OID20410","C2","P06681",5.54383469844053,"CARDIOMETABOLIC"
"1075",3,"OID20679","CTSC","P53634",5.26484804049015,"INFLAMMATION"
"5272",3,"OID20932","SERPINB9","P50453",5.22724932722592,"NEUROLOGY"
"79077",3,"OID20148","DCTPP1","Q9H773",5.11576271945357,"CARDIOMETABOLIC"
"10924",3,"OID20676","SMPDL3A","Q92484",4.55117424496029,"INFLAMMATION"
"3606",3,"OID20694","IL18","Q14116",4.44760970177104,"INFLAMMATION"
"11118",3,"OID20540","BTN3A2","P78410",4.07344403752557,"INFLAMMATION"
"127943",3,"OID21193","FCRLB","Q6BAA4",3.98436540637062,"ONCOLOGY"
"4907",3,"OID21498","NT5E","P21589",3.94396717899667,"ONCOLOGY"
"177",3,"OID20756","AGER","Q15109",3.53769837392295,"INFLAMMATION"
"4683",3,"OID20442","NBN","O60934",3.48308189383863,"INFLAMMATION"
"11164",3,"OID21115","NUDT5","Q9UKK9",3.4509965109183,"NEUROLOGY"
"8741",3,"OID20733","TNFSF13","O75888",3.14348177361985,"INFLAMMATION"
"3133",3,"OID20532","HLA-E","P13747",3.0749587739318,"INFLAMMATION"
"2023",3,"OID21037","ENO1","P06733",2.89258591253822,"NEUROLOGY"
"351",3,"OID21070","APP","P05067",2.36076879260462,"NEUROLOGY"
