"OlinkID","t","Assay","UniProt","MissingFreq","LOD","Panel","Panel_Version","ENTREZID"
"OID20321",2.22897907416578,"RNASET2","O00584",0.03,1.4223,"CARDIOMETABOLIC",1,"8635"
"OID20206",1.12906306524473,"CD69","Q07108",0.04,1.0986,"CARDIOMETABOLIC",1,"969"
"OID20195",1.97203634048008,"GLRX","P35754",0.06,2.0558,"CARDIOMETABOLIC",1,"2745"
"OID20094",-1.52181512373919,"SLITRK6","Q9H5Y7",0.05,1.5126,"CARDIOMETABOLIC",1,"84189"
"OID20216",2.3800746225518,"SDC4","P31431",0.03,0.95,"CARDIOMETABOLIC",1,"6385"
"OID20106",0.773297798354826,"DCN","P07585",0.03,0.508,"CARDIOMETABOLIC",1,"1634"
"OID20324",-2.1875306667128,"LILRB5","O75023",0.03,0.8072,"CARDIOMETABOLIC",1,"10990"
"OID20299",-5.29965891789859,"CCN3","P48745",0.03,0.7146,"CARDIOMETABOLIC",1,"4856"
"OID20381",-0.974045812711786,"GP1BA","P07359",0.03,-0.1536,"CARDIOMETABOLIC",1,"2811"
"OID20187",1.7399410130009,"LEP","P41159",0.13,0.7591,"CARDIOMETABOLIC",1,"3952"
"OID20202",-3.35711980688944,"GDF2","Q9UK05",0.04,1.1128,"CARDIOMETABOLIC",1,"2658"
"OID20180",7.96727019577018,"TINAGL1","Q9GZM7",0.03,0.6614,"CARDIOMETABOLIC",1,"64129"
"OID20099",0.730282511830378,"CLEC1A","Q8NC01",0.09,1.0432,"CARDIOMETABOLIC",1,"51267"
"OID20281",1.35267227507844,"SERPINA11","Q86U17",0.03,0.1092,"CARDIOMETABOLIC",1,"256394"
"OID20385",2.78279396795627,"IL6R","P08887",0.03,-0.1625,"CARDIOMETABOLIC",1,"3570"
"OID20097",0.519742717160777,"GYS1","P13807",0.17,1.4454,"CARDIOMETABOLIC",1,"2997"
"OID20300",-3.67552464632593,"HYOU1","Q9Y4L1",0.03,-0.0357,"CARDIOMETABOLIC",1,"10525"
"OID20383",-5.21241627454356,"HSPG2","P98160",0.03,0.8114,"CARDIOMETABOLIC",1,"3339"
"OID20396",1.97746819094473,"VCAM1","P19320",0.03,0.2052,"CARDIOMETABOLIC",1,"7412"
"OID20159",0.16091327655896,"ACAN","P16112",0.04,1.1623,"CARDIOMETABOLIC",1,"176"
"OID20120",0.981148481588595,"TP53INP1","Q96A56",0.98,0.6347,"CARDIOMETABOLIC",1,"94241"
"OID20154",0.106456030219795,"LGALS1","P09382",0.04,1.4643,"CARDIOMETABOLIC",1,"3956"
"OID20287",-4.66551113612416,"ENG","P17813",0.03,-0.2823,"CARDIOMETABOLIC",1,"2022"
"OID20401",-4.95964040531904,"CCL14","Q16627",0.03,0.9744,"CARDIOMETABOLIC",1,"6358"
"OID20310",1.83308202899251,"PTPRF","P10586",0.03,0.0375,"CARDIOMETABOLIC",1,"5792"
"OID20265",-7.39935039738182,"TNFRSF10C","O14798",0.03,0.1021,"CARDIOMETABOLIC",1,"8794"
"OID20148",5.11576271945357,"DCTPP1","Q9H773",0.03,-0.0475,"CARDIOMETABOLIC",1,"79077"
"OID20279",-9.58195926599082,"CRTAC1","Q9NQ79",0.03,-0.7264,"CARDIOMETABOLIC",1,"55118"
"OID20071",2.90701140917888,"VAMP5","O95183",0.15,0.6918,"CARDIOMETABOLIC",1,"10791"
"OID20069",0.198780964564485,"CNPY2","Q9Y2B0",0.75,0.9212,"CARDIOMETABOLIC",1,"10330"
"OID20179",0.657855915202463,"CBLIF","P27352",0.07,0.3212,"CARDIOMETABOLIC",1,"2694"
"OID20286",-0.292788691231797,"CORO1A","P31146",0.28,0.7488,"CARDIOMETABOLIC",1,"11151"
"OID20273",-3.66652392474793,"ALCAM","Q13740",0.03,-0.1058,"CARDIOMETABOLIC",1,"214"
"OID20133",-0.108769548409074,"PDGFRA","P16234",0.04,0.5547,"CARDIOMETABOLIC",1,"5156"
"OID20395",-0.944665926550432,"CCL18","P55774",0.03,1.6768,"CARDIOMETABOLIC",1,"6362"
"OID20157",-7.65933079247041,"CDH6","P55285",0.56,1.0582,"CARDIOMETABOLIC",1,"1004"
"OID20325",0.835376127386291,"IGFBP2","P18065",0.03,0.25,"CARDIOMETABOLIC",1,"3485"
"OID20196",-2.25745315856278,"KITLG","P21583",0.04,0.3721,"CARDIOMETABOLIC",1,"4254"
"OID20341",12.7861089626701,"TCN2","P20062",0.03,0.5869,"CARDIOMETABOLIC",1,"6948"
"OID20407",-1.34156843093054,"ANGPTL3","Q9Y5C1",0.04,0.552,"CARDIOMETABOLIC",1,"27329"
"OID20104",7.9875538948821,"ENTPD5","O75356",0.04,0.324,"CARDIOMETABOLIC",1,"957"
"OID20096",6.32238737077845,"GZMH","P20718",0.05,0.6228,"CARDIOMETABOLIC",1,"2999"
"OID20261",2.96502005227453,"FUCA1","P04066",0.04,0.8666,"CARDIOMETABOLIC",1,"2517"
"OID20138",0.45467579085747,"DOK2","O60496",0.25,0.6916,"CARDIOMETABOLIC",1,"9046"
"OID20175",-2.06956416339952,"GHRL","Q9UBU3",0.06,0.6713,"CARDIOMETABOLIC",1,"51738"
"OID20144",0.872826087891933,"PLPBP","O94903",0.04,0.266,"CARDIOMETABOLIC",1,"11212"
"OID20260",1.92615556082411,"CD97","P48960",0.03,0.3842,"CARDIOMETABOLIC",1,"976"
"OID20254",2.22232169583926,"LTBP2","Q14767",0.03,-0.2166,"CARDIOMETABOLIC",1,"4053"
"OID20113",6.29096322276801,"CTSH","P09668",0.15,2.437,"CARDIOMETABOLIC",1,"1512"
"OID20302",8.36241847995947,"ST6GAL1","P15907",0.03,0.2517,"CARDIOMETABOLIC",1,"6480"
"OID20344",-0.91338299926536,"DEFA1_DEFA1B","P59665",0.8,1.4884,"CARDIOMETABOLIC",1,"1667"
"OID20344",-0.91338299926536,"DEFA1_DEFA1B","P59665",0.8,1.4884,"CARDIOMETABOLIC",1,"728358"
"OID20360",-3.82443733578305,"CD163","Q86VB7",0.03,0.1153,"CARDIOMETABOLIC",1,"9332"
"OID20377",-2.37566286803592,"CD55","P08174",0.14,2.7778,"CARDIOMETABOLIC",1,"1604"
"OID20143",0.811047458844339,"PLIN3","O60664",0.05,0.6817,"CARDIOMETABOLIC",1,"10226"
