"Direction","OlinkID","Assay","UniProt","Panel","t_adjusted","GO_BP_pathway_count","Reactome_pathway_count"
"Positive","OID20495","IFNG","P01579","INFLAMMATION",7.39746528255966,6,1
"Positive","OID21029","BST2","Q10589","NEUROLOGY",8.84210972155381,4,2
"Positive","OID20645","ADA","P00813","INFLAMMATION",3.66286394623751,4,1
"Positive","OID21226","DDX58","O95786","ONCOLOGY",12.1159025504225,3,3
"Positive","OID21498","NT5E","P21589","ONCOLOGY",3.94396717899667,3,2
"Positive","OID20148","DCTPP1","Q9H773","CARDIOMETABOLIC",5.11576271945357,3,1
"Positive","OID21115","NUDT5","Q9UKK9","NEUROLOGY",3.4509965109183,3,1
"Positive","OID20854","CASP1","P29466","NEUROLOGY",4.38225796246851,2,3
"Positive","OID20533","TRIM21","P19474","INFLAMMATION",6.18464648806116,2,2
"Positive","OID20489","GBP2","P32456","INFLAMMATION",5.31667106324627,2,2
"Positive","OID20718","HSPA1A","P0DMV8","INFLAMMATION",3.97399168822556,2,2
"Positive","OID20234","TYMP","P19971","CARDIOMETABOLIC",10.0593729164543,2,1
"Positive","OID20104","ENTPD5","O75356","CARDIOMETABOLIC",7.9875538948821,2,1
"Positive","OID20941","IFNGR2","P38484","NEUROLOGY",4.97985332400324,2,1
"Positive","OID20962","PRDX1","Q06830","NEUROLOGY",3.69620940921658,2,1
"Positive","OID21514","FURIN","P09958","ONCOLOGY",8.96152303405989,1,2
"Positive","OID20178","NADK","O95544","CARDIOMETABOLIC",12.4713399308417,1,1
"Positive","OID21174","RRM2B","Q7LG56","ONCOLOGY",4.01592681053408,1,1
"Positive","OID21404","PRDX6","P30041","ONCOLOGY",2.06462940899693,1,1
"Negative","OID20145","ICAM5","Q9UMF0","CARDIOMETABOLIC",-6.55743276928008,4,2
"Negative","OID20994","BMP4","P12644","NEUROLOGY",-6.22932785037682,4,1
"Negative","OID20376","ITGB1","P05556","CARDIOMETABOLIC",-5.93499899227497,3,3
"Negative","OID20306","PTPRS","Q13332","CARDIOMETABOLIC",-5.99444479145165,3,2
"Negative","OID20405","COMP","P49747","CARDIOMETABOLIC",-8.44086114409821,1,3
"Negative","OID20353","CDH1","P12830","CARDIOMETABOLIC",-3.04924154429442,1,2
"Negative","OID21139","ITGA5","P08648","NEUROLOGY",-3.4240445364756,1,2
"Negative","OID21107","TNXB","P22105","NEUROLOGY",-8.31235853559239,1,2
"Negative","OID20102","CEACAM8","P31997","CARDIOMETABOLIC",-2.79064523901858,1,1
