"Protein","Degree","Betweenness","Closeness"
"IFNG",12,0.418974358974359,0.590909090909091
"ITGB1",10,0.398871794871795,0.590909090909091
"NT5E",9,0.364615384615385,0.553191489361702
"CDH1",6,0.111846153846154,0.472727272727273
"ITGA5",6,0.0507692307692308,0.464285714285714
"TRIM21",6,0.0183589743589744,0.426229508196721
"DDX58",6,0.00692307692307692,0.40625
"CASP1",5,0.000769230769230769,0.4
"BST2",4,0,0.393939393939394
"GBP2",4,0,0.393939393939394
"TYMP",3,0.0256410256410256,0.376811594202899
"ADA",3,0.0103589743589744,0.433333333333333
"BMP4",3,0.00923076923076923,0.440677966101695
"CEACAM8",3,0.00466666666666667,0.440677966101695
"RRM2B",3,0.00461538461538462,0.288888888888889
"HSPA1A",2,0.147692307692308,0.4
"PRDX1",2,0.0769230769230769,0.295454545454545
"DCTPP1",2,0.0225641025641026,0.371428571428571
"ENTPD5",2,0.0225641025641026,0.371428571428571
"COMP",2,0,0.382352941176471
"TNXB",2,0,0.382352941176471
"NADK",2,0,0.371428571428571
"ICAM5",1,0,0.376811594202899
"IFNGR2",1,0,0.376811594202899
"FURIN",1,0,0.376811594202899
"PTPRS",1,0,0.325
"PRDX6",1,0,0.230088495575221
