"stringId_A","stringId_B","preferredName_A","preferredName_B","ncbiTaxonId","score","nscore","fscore","pscore","ascore","escore","dscore","tscore"
"9606.ENSP00000229135","9606.ENSP00000371425","IFNG","IFNGR2",9606,0.999,0,0,0,0,0.926,0.5,0.997
"9606.ENSP00000293379","9606.ENSP00000379350","ITGA5","ITGB1",9606,0.999,0,0,0,0.128,0.989,0.9,0.999
"9606.ENSP00000257770","9606.ENSP00000361965","NT5E","ADA",9606,0.984,0.081,0,0,0.072,0,0.942,0.715
"9606.ENSP00000257770","9606.ENSP00000379038","NT5E","TYMP",9606,0.931,0.215,0,0,0.044,0,0.9,0.199
"9606.ENSP00000222271","9606.ENSP00000379350","COMP","ITGB1",9606,0.923,0,0,0,0,0.069,0.9,0.244
"9606.ENSP00000251810","9606.ENSP00000322524","RRM2B","DCTPP1",9606,0.916,0,0,0,0.086,0.047,0.9,0.151
"9606.ENSP00000251810","9606.ENSP00000335246","RRM2B","ENTPD5",9606,0.915,0,0,0,0,0,0.911,0.086
"9606.ENSP00000254436","9606.ENSP00000261769","TRIM21","CDH1",9606,0.913,0,0,0,0.055,0,0,0.912
"9606.ENSP00000379350","9606.ENSP00000407685","ITGB1","TNXB",9606,0.911,0,0,0,0.055,0,0.9,0.136
"9606.ENSP00000257770","9606.ENSP00000322524","NT5E","DCTPP1",9606,0.904,0,0,0,0.058,0,0.9,0.065
"9606.ENSP00000257770","9606.ENSP00000379350","NT5E","ITGB1",9606,0.895,0,0,0,0.097,0,0,0.888
"9606.ENSP00000369213","9606.ENSP00000433138","DDX58","CASP1",9606,0.895,0,0,0,0.216,0,0,0.872
"9606.ENSP00000229135","9606.ENSP00000433138","IFNG","CASP1",9606,0.893,0,0,0,0.105,0,0,0.885
"9606.ENSP00000261769","9606.ENSP00000379350","CDH1","ITGB1",9606,0.856,0,0,0,0,0.1,0,0.846
"9606.ENSP00000257770","9606.ENSP00000367890","NT5E","NADK",9606,0.81,0.046,0,0,0,0,0.809,0.045
"9606.ENSP00000251810","9606.ENSP00000379038","RRM2B","TYMP",9606,0.798,0,0,0,0.042,0,0,0.798
"9606.ENSP00000252593","9606.ENSP00000369213","BST2","DDX58",9606,0.795,0,0,0,0.31,0,0,0.715
"9606.ENSP00000254436","9606.ENSP00000369213","TRIM21","DDX58",9606,0.771,0,0,0,0.543,0.071,0,0.505
"9606.ENSP00000229135","9606.ENSP00000359497","IFNG","GBP2",9606,0.721,0,0,0,0.097,0,0,0.703
"9606.ENSP00000222271","9606.ENSP00000293379","COMP","ITGA5",9606,0.71,0,0,0,0.067,0.054,0.65,0.173
"9606.ENSP00000257770","9606.ENSP00000335246","NT5E","ENTPD5",9606,0.703,0,0,0,0,0,0.65,0.187
"9606.ENSP00000229135","9606.ENSP00000369213","IFNG","DDX58",9606,0.693,0,0,0,0.049,0,0,0.691
"9606.ENSP00000293379","9606.ENSP00000407685","ITGA5","TNXB",9606,0.692,0,0,0,0,0,0.65,0.158
"9606.ENSP00000229135","9606.ENSP00000257770","IFNG","NT5E",9606,0.659,0,0,0,0,0,0,0.659
"9606.ENSP00000262746","9606.ENSP00000364802","PRDX1","HSPA1A",9606,0.633,0,0,0,0.128,0.099,0,0.57
"9606.ENSP00000359497","9606.ENSP00000433138","GBP2","CASP1",9606,0.605,0,0,0,0.397,0,0,0.372
