"Protein","OlinkID","Direction","Panel","t_adjusted","GO_BP_pathway_count","Reactome_pathway_count","Degree","Betweenness","Closeness"
"IFNG","OID20495","Positive","INFLAMMATION",7.39746528255966,6,1,12,0.418974358974359,0.590909090909091
"ITGA5","OID21139","Negative","NEUROLOGY",-3.4240445364756,1,2,6,0.0507692307692308,0.464285714285714
"NT5E","OID21498","Positive","ONCOLOGY",3.94396717899667,3,2,9,0.364615384615385,0.553191489361702
"COMP","OID20405","Negative","CARDIOMETABOLIC",-8.44086114409821,1,3,2,0,0.382352941176471
"RRM2B","OID21174","Positive","ONCOLOGY",4.01592681053408,1,1,3,0.00461538461538462,0.288888888888889
"TRIM21","OID20533","Positive","INFLAMMATION",6.18464648806116,2,2,6,0.0183589743589744,0.426229508196721
"ITGB1","OID20376","Negative","CARDIOMETABOLIC",-5.93499899227497,3,3,10,0.398871794871795,0.590909090909091
"DDX58","OID21226","Positive","ONCOLOGY",12.1159025504225,3,3,6,0.00692307692307692,0.40625
"CDH1","OID20353","Negative","CARDIOMETABOLIC",-3.04924154429442,1,2,6,0.111846153846154,0.472727272727273
"BST2","OID21029","Positive","NEUROLOGY",8.84210972155381,4,2,4,0,0.393939393939394
"PRDX1","OID20962","Positive","NEUROLOGY",3.69620940921658,2,1,2,0.0769230769230769,0.295454545454545
"GBP2","OID20489","Positive","INFLAMMATION",5.31667106324627,2,2,4,0,0.393939393939394
"ICAM5","OID20145","Negative","CARDIOMETABOLIC",-6.55743276928008,4,2,1,0,0.376811594202899
"BMP4","OID20994","Negative","NEUROLOGY",-6.22932785037682,4,1,3,0.00923076923076923,0.440677966101695
"CEACAM8","OID20102","Negative","CARDIOMETABOLIC",-2.79064523901858,1,1,3,0.00466666666666667,0.440677966101695
"NADK","OID20178","Positive","CARDIOMETABOLIC",12.4713399308417,1,1,2,0,0.371428571428571
"HSPA1A","OID20718","Positive","INFLAMMATION",3.97399168822556,2,2,2,0.147692307692308,0.4
"ADA","OID20645","Positive","INFLAMMATION",3.66286394623751,4,1,3,0.0103589743589744,0.433333333333333
"IFNGR2","OID20941","Positive","NEUROLOGY",4.97985332400324,2,1,1,0,0.376811594202899
"TYMP","OID20234","Positive","CARDIOMETABOLIC",10.0593729164543,2,1,3,0.0256410256410256,0.376811594202899
"DCTPP1","OID20148","Positive","CARDIOMETABOLIC",5.11576271945357,3,1,2,0.0225641025641026,0.371428571428571
"ENTPD5","OID20104","Positive","CARDIOMETABOLIC",7.9875538948821,2,1,2,0.0225641025641026,0.371428571428571
"TNXB","OID21107","Negative","NEUROLOGY",-8.31235853559239,1,2,2,0,0.382352941176471
"CASP1","OID20854","Positive","NEUROLOGY",4.38225796246851,2,3,5,0.000769230769230769,0.4
"PRDX6","OID21404","Positive","ONCOLOGY",2.06462940899693,1,1,1,0,0.230088495575221
"FURIN","OID21514","Positive","ONCOLOGY",8.96152303405989,1,2,1,0,0.376811594202899
"PTPRS","OID20306","Negative","CARDIOMETABOLIC",-5.99444479145165,3,2,1,0,0.325
