"Timepoint","factor","N","Spearman_rho","p_value","FDR","Significant_FDR05","Direction"
"Overall","Factor1",631,-0.50016779979654,3.00253016164168e-41,2.25189762123126e-40,TRUE,"Negative"
"Overall","Factor14",631,-0.00231050834845545,0.953808923048284,0.975941504533828,FALSE,"Negative"
"Overall","Factor12",631,-0.0974694773129958,0.0143100356057114,0.0357750890142786,TRUE,"Negative"
"Overall","Factor5",631,0.653622973501101,3.73818535947504e-78,5.60727803921256e-77,TRUE,"Positive"
"Overall","Factor13",631,-0.027173038470676,0.495649202629,0.636511806234902,FALSE,"Negative"
"Overall","Factor8",631,0.00120293278640435,0.975941504533828,0.975941504533828,FALSE,"Positive"
"Overall","Factor15",631,0.0521306201034662,0.190941459353137,0.318235765588561,FALSE,"Positive"
"Overall","Factor11",631,0.154203484618515,0.000100595033087931,0.000502975165439653,TRUE,"Positive"
"Overall","Factor3",631,0.0840523617280283,0.034779073191467,0.0745265854102864,FALSE,"Positive"
"Overall","Factor7",631,0.15079790949699,0.000143386021294067,0.00053769757985275,TRUE,"Positive"
"Overall","Factor6",631,-0.120412303206873,0.00244751690811733,0.007342550724352,TRUE,"Negative"
"Overall","Factor4",631,-0.033221279966603,0.404797166224063,0.607195749336094,FALSE,"Negative"
"Overall","Factor2",631,0.0263245808164253,0.509209444987921,0.636511806234902,FALSE,"Positive"
"Overall","Factor10",631,0.0621789736016909,0.118681659919335,0.222528112348753,FALSE,"Positive"
"Overall","Factor9",631,0.0129902117622351,0.744668647338281,0.859233054621094,FALSE,"Positive"
"D0","Factor1",298,-0.369005498740196,4.80669445571595e-11,2.40334722785798e-10,TRUE,"Negative"
"D0","Factor14",298,-0.00169556225719393,0.976747391513818,0.976747391513818,FALSE,"Negative"
"D0","Factor12",298,-0.112650936131229,0.0520558366437845,0.0867597277396408,FALSE,"Negative"
"D0","Factor5",298,0.559650623954808,5.82006679752387e-26,8.7301001962858e-25,TRUE,"Positive"
"D0","Factor13",298,-0.411257465121593,1.36650870511657e-13,1.02488152883743e-12,TRUE,"Negative"
