"factor","Acuity_max","Mean","SD","N","SE"
"Factor1","1",1.24169209439221,1.79164760874057,86,0.193198330253804
"Factor2","1",-0.102833908354474,1.60591076786968,86,0.173169811616651
"Factor3","1",-0.623336463993372,1.56732624528285,86,0.169009135543382
"Factor4","1",-0.368120197826715,1.28690720504652,86,0.138770772775652
"Factor5","1",-0.940354590780687,0.931954615305727,86,0.10049525066816
"Factor6","1",0.0127582997516837,1.36009896009608,86,0.146663242698273
"Factor7","1",-0.0889296110957688,1.20509839092286,86,0.129949101476213
"Factor8","1",0.376556213555294,0.938832236845825,86,0.101236883671873
"Factor9","1",-0.0980096163020631,1.22195646975745,86,0.131766954867829
"Factor10","1",0.119627364107061,1.00404888304843,86,0.108269375490927
"Factor11","1",-0.183934094817401,1.03776750508719,86,0.111905348013966
"Factor12","1",0.11523232505072,0.950893923085135,86,0.102537528748567
"Factor13","1",0.20785721122872,1.2481979556257,86,0.134596647061981
"Factor14","1",-0.0743907979313219,1.09182119312149,86,0.117734107096577
"Factor15","1",0.0188326807909234,1.06873676313439,86,0.115244848993248
"Factor1","2",1.02284613308998,1.96281800468835,182,0.145493750470535
"Factor2","2",-0.0510321734844103,1.76499590639173,182,0.130830200952251
"Factor3","2",0.207253839390782,1.8611088294401,182,0.137954564805442
"Factor4","2",0.222773717408028,1.21134729204411,182,0.0897910352466974
"Factor5","2",-0.717520177108491,0.938114061766956,182,0.0695376407234927
"Factor6","2",0.216486806664002,1.46914340364386,182,0.108900154402818
"Factor7","2",-0.203141680808935,1.01962938824664,182,0.07557995872854
"Factor8","2",-0.197000452921122,1.10759265165707,182,0.0821002296179659
"Factor9","2",0.0565591351826967,1.01157966550892,182,0.0749832735806751
"Factor10","2",-0.156734055235654,1.06364223666321,182,0.0788424081098488
"Factor11","2",-0.147175339330755,0.999887958133323,182,0.0741166265703989
"Factor12","2",0.0678003381945418,0.919882878416786,182,0.068186255503469
"Factor13","2",-0.0980424365888421,1.16683612480703,182,0.0864916480168701
"Factor14","2",0.0214542849782527,0.946613025062476,182,0.0701676257970058
"Factor15","2",0.00126580869431024,1.11203954685369,182,0.0824298554205416
"Factor1","3",-0.702873108371279,1.30779201185568,287,0.0771965216100325
"Factor2","3",0.066465909190424,1.77583041967886,287,0.104823955281676
"Factor3","3",0.066929043702236,1.49580507595198,287,0.0882945818779527
"Factor4","3",0.0694779907199084,1.2273630636693,287,0.0724489509103675
"Factor5","3",0.447730585469098,0.780007640343523,287,0.0460423952110928
"Factor6","3",-0.038872620396686,1.1638591344783,287,0.0687004324933152
"Factor7","3",0.0460126038903585,1.01986391941334,287,0.0602006636992464
"Factor8","3",-0.0633609817592096,1.02807556777045,287,0.060685381975629
"Factor9","3",-0.000393604924610268,0.987924343498133,287,0.0583153301446737
"Factor10","3",-0.00948620760060509,0.941183822382502,287,0.0555563244192548
"Factor11","3",0.0171072252787559,0.989559760997241,287,0.0584118657873193
"Factor12","3",-0.0399964965250382,0.996940391785522,287,0.0588475306476168
"Factor13","3",0.00975196384695011,0.782896785173911,287,0.0462129360381599
"Factor14","3",0.0329917660437343,0.907595826637562,287,0.0535736877187271
"Factor15","3",0.00618718242603727,1.15543019088871,287,0.0682028876849171
"Factor1","4",-1.036669998377,1.6399593468275,53,0.225265740733149
"Factor2","4",0.0116077918594457,1.8604259444325,53,0.255549156912021
"Factor3","4",0.0224997996756772,1.83621850241467,53,0.252224009024696
"Factor4","4",-0.180569115815298,1.06625088179687,53,0.146460822434405
"Factor5","4",1.0740794222099,0.594103222203387,53,0.0816063536455906
"Factor6","4",-0.22858485565433,1.44752212012833,53,0.198832454749029
"Factor7","4",0.295156000647694,1.18815975924025,53,0.16320629459038
"Factor8","4",0.417204759470275,0.823719949258676,53,0.113146636765957
"Factor9","4",0.0427146523066287,0.945629588993132,53,0.129892213630664
"Factor10","4",0.381451979551886,1.17627761548616,53,0.161574156623399
"Factor11","4",0.702587840551475,1.18664577105061,53,0.162998332318839
"Factor12","4",-0.187029788235448,1.09652314586306,53,0.15061903769854
"Factor13","4",0.132385897327144,0.9252617212959,53,0.12709447183734
"Factor14","4",-0.104691061560275,1.32632003863654,53,0.182184068483562
"Factor15","4",0.0887097685931707,1.16923977850931,53,0.160607435367278
"Factor1","5",-1.57719208170538,1.22149504973277,23,0.254699324568645
"Factor2","5",-0.0677986802614254,1.67867077393503,23,0.3500270528218
"Factor3","5",-0.196278172018735,1.55121518044284,23,0.323450724426479
"Factor4","5",-0.837237913647424,0.961170671899872,23,0.200417939460047
"Factor5","5",1.13192528356677,0.529959450774386,23,0.11050418435223
"Factor6","5",-0.748972714149758,1.00761572988192,23,0.21010240351102
"Factor7","5",0.685689448986364,1.05703813830661,23,0.220407688044984
"Factor8","5",-0.0198695377811142,0.962989881973042,23,0.200797270982501
"Factor9","5",-0.174602029485749,0.858216767145274,23,0.178950566335254
"Factor10","5",0.0323147828812185,0.706895959991162,23,0.14739799689687
"Factor11","5",0.0198804586113471,1.08228193819682,23,0.225671384187666
"Factor12","5",-0.0373071250708207,1.00713443542036,23,0.21000204667838
"Factor13","5",-0.428141943573871,0.833748917202822,23,0.173848666941267
"Factor14","5",-0.0620479068678358,0.797519718818355,23,0.166294356868372
"Factor15","5",-0.362057919087617,1.1966737548958,23,0.249523726819578
