"factor","Timepoint","Mean","SD","N","SE"
"Factor1","D0",-0.525802312303184,1.69244140854855,298,0.0980404984353695
"Factor2","D0",-0.352745032066092,1.61561404316495,298,0.0935900086531893
"Factor3","D0",-0.170290788479349,1.56325060068237,298,0.0905566758743685
"Factor4","D0",-0.845504731052765,0.952876118813946,298,0.055198631494013
"Factor5","D0",0.297754480046042,0.952374535311651,298,0.0551695755418698
"Factor6","D0",0.222663081791752,1.50202871978513,298,0.0870101875362795
"Factor7","D0",0.0671656852144273,1.17340419450704,298,0.0679734799175608
"Factor8","D0",-0.0147649741687831,1.07499477514537,298,0.0622727753163731
"Factor9","D0",-0.111989563128258,1.0378998892413,298,0.0601239262719879
"Factor10","D0",-0.0733431311603167,0.896425995110234,298,0.0519285636283275
"Factor11","D0",0.0917624243200944,0.994055580091737,298,0.0575840936367982
"Factor12","D0",-0.0327184653673759,0.986186027482905,298,0.0571282226941847
"Factor13","D0",0.26987656169796,1.02830834835523,298,0.0595683032267916
"Factor14","D0",0.0372064981258774,0.921238450035497,298,0.0533659105497574
"Factor15","D0",-0.0103893006507982,1.15963508236779,298,0.0671758566673107
"Factor1","D3",0.119454434496696,1.72039042197545,206,0.119865280446138
"Factor2","D3",0.124433883494083,1.6725484223953,206,0.116531970388417
"Factor3","D3",0.1384893441618,1.72153834229035,206,0.119945259844255
"Factor4","D3",0.535913852847055,0.898267912411792,206,0.0625852910256107
"Factor5","D3",-0.18052714032763,1.14261642384161,206,0.0796098585162272
"Factor6","D3",-0.195369131158974,1.07286238819742,206,0.0747498645648891
"Factor7","D3",-0.240492941068262,1.01792912825461,206,0.0709224829864072
"Factor8","D3",0.100005839616784,1.03336391319637,206,0.0719978754101487
"Factor9","D3",0.00535908855641378,1.01494853345358,206,0.0707148151063969
"Factor10","D3",0.107549471049389,1.02023719516449,206,0.0710832936279381
"Factor11","D3",-0.0480422504230411,1.03449419854763,206,0.0720766261221284
"Factor12","D3",0.00409770234334237,0.994335171441341,206,0.0692786141214498
"Factor13","D3",-0.185451115569715,0.837479630122664,206,0.0583499707103193
"Factor14","D3",-0.151689429749346,0.854642842109186,206,0.0595457883525488
"Factor15","D3",-0.00867484206134833,1.11455550097869,206,0.0776547613792184
"Factor1","D7",1.04001166932578,2.05252191267495,127,0.182131867993133
"Factor2","D7",0.625863205696507,1.97405286693087,127,0.175168866140265
"Factor3","D7",0.174943621292358,1.77618719627752,127,0.157611127055842
"Factor4","D7",1.11466286540871,0.852138769158176,127,0.0756150883738343
"Factor5","D7",-0.405844427230878,1.12146657324186,127,0.0995140663858746
"Factor6","D7",-0.205571311753331,1.11707291592107,127,0.0991241923435003
"Factor7","D7",0.232489621120058,0.844404703270213,127,0.0749288010028406
"Factor8","D7",-0.127568800051836,0.968798241760328,127,0.0859669426136913
"Factor9","D7",0.254085972059755,0.947526407054812,127,0.0840793725143749
"Factor10","D7",-0.0023537744010806,1.20903491137328,127,0.107284499871842
"Factor11","D7",-0.137390260003492,1.14922925793864,127,0.10197760628433
"Factor12","D7",0.0701258295017669,0.938372057321976,127,0.0832670553318846
"Factor13","D7",-0.332443207810362,0.991824841054922,127,0.0880102228910687
"Factor14","D7",0.158743827281094,1.2471104877615,127,0.110663160927627
"Factor15","D7",0.0384490058398036,1.1073931021377,127,0.0982652477664388
