"Factor","RNA_Variance","Protein_Variance","Significant_GO_BP_Pathways","Total_Variance"
"Factor1",0.0642060386753074,29.4816792142502,26,29.5458852529255
"Factor2",28.5352903253541,0.0282548419449857,45,28.5635451672991
"Factor3",0.0568628725779008,13.7249580775873,28,13.7818209501652
"Factor4",6.24447337890519,1.95512385309076,41,8.19959723199595
"Factor5",2.09406288632726,3.6291457076541,49,5.72320859398137
"Factor6",0.0313972460584622,5.44044969592484,15,5.4718469419833
"Factor7",2.4712984143626,1.91934264335338,9,4.39064105771598
"Factor8",0.0660869954870691,2.98709284632108,13,3.05317984180815
"Factor9",1.39813637371108,1.20010289633572,35,2.5982392700468
"Factor10",1.99882039520977,0.0421510866429498,21,2.04097148185272
"Factor11",1.66082944692563,0.290667468628458,31,1.95149691555409
"Factor12",1.79462776119926,0.00529748358193416,25,1.7999252447812
"Factor13",0.165696719153352,1.61457893715695,23,1.7802756563103
"Factor14",1.51991195859007,0.00706032594196548,27,1.52697228453204
"Factor15",1.03640079065224,0.406928126507355,1,1.44332891715959
