"Factor","RNA_Variance","Protein_Variance","Significant_GO_BP_Pathways","Total_Variance","Acuity_Rho","Acuity_FDR","Acuity_Significant","Longitudinal_Significant","Acuity_Abs_Rho","Evidence_Count"
"Factor5",2.09406288632726,3.6291457076541,49,5.72320859398137,0.653622973501101,5.60727803921256e-77,TRUE,TRUE,0.653622973501101,4
"Factor1",0.0642060386753074,29.4816792142502,26,29.5458852529255,-0.50016779979654,2.25189762123126e-40,TRUE,TRUE,0.50016779979654,4
"Factor6",0.0313972460584622,5.44044969592484,15,5.4718469419833,-0.120412303206873,0.007342550724352,TRUE,TRUE,0.120412303206873,3
"Factor3",0.0568628725779008,13.7249580775873,28,13.7818209501652,0.0840523617280283,0.0745265854102864,FALSE,TRUE,0.0840523617280283,3
"Factor4",6.24447337890519,1.95512385309076,41,8.19959723199595,-0.033221279966603,0.607195749336094,FALSE,TRUE,0.033221279966603,3
"Factor2",28.5352903253541,0.0282548419449857,45,28.5635451672991,0.0263245808164253,0.636511806234902,FALSE,TRUE,0.0263245808164253,3
"Factor11",1.66082944692563,0.290667468628458,31,1.95149691555409,0.154203484618515,0.000502975165439653,TRUE,FALSE,0.154203484618515,2
"Factor7",2.4712984143626,1.91934264335338,9,4.39064105771598,0.15079790949699,0.00053769757985275,TRUE,TRUE,0.15079790949699,2
"Factor12",1.79462776119926,0.00529748358193416,25,1.7999252447812,-0.0974694773129958,0.0357750890142786,TRUE,FALSE,0.0974694773129958,2
"Factor10",1.99882039520977,0.0421510866429498,21,2.04097148185272,0.0621789736016909,0.222528112348753,FALSE,TRUE,0.0621789736016909,2
"Factor13",0.165696719153352,1.61457893715695,23,1.7802756563103,-0.027173038470676,0.636511806234902,FALSE,TRUE,0.027173038470676,2
"Factor9",1.39813637371108,1.20010289633572,35,2.5982392700468,0.0129902117622351,0.859233054621094,FALSE,TRUE,0.0129902117622351,2
"Factor14",1.51991195859007,0.00706032594196548,27,1.52697228453204,-0.00231050834845545,0.975941504533828,FALSE,TRUE,0.00231050834845545,2
"Factor8",0.0660869954870691,2.98709284632108,13,3.05317984180815,0.00120293278640435,0.975941504533828,FALSE,TRUE,0.00120293278640435,1
"Factor15",1.03640079065224,0.406928126507355,1,1.44332891715959,0.0521306201034662,0.318235765588561,FALSE,FALSE,0.0521306201034662,0
