Factor,GO_ID,P_value,FDR
Factor1,GO:0045087,8.33474860071172e-22,8.16805362869748e-20
Factor1,GO:0051607,1.75556060680416e-10,8.6022469733404e-09
Factor1,GO:0045071,3.10458032060727e-08,1.01416290473171e-06
Factor1,GO:0002376,3.08546492126679e-07,7.55938905710364e-06
Factor1,GO:0009615,1.1181875536621e-06,2.19164760517771e-05
Factor1,GO:0006952,7.90861286817854e-06,0.000129174010180249
Factor1,GO:0042742,2.06533604990748e-05,0.000289147046987047
Factor1,GO:0050853,6.00427187566781e-05,0.000735523304769307
Factor1,GO:0006958,9.87408418867241e-05,0.00107517805609989
Factor1,GO:0140374,0.000124350184705945,0.00121863181011826
Factor1,GO:0006915,0.000475589520973659,0.00388398108795155
Factor1,GO:0050729,0.000458005708480571,0.00388398108795155
Factor1,GO:0019731,0.000522814589808009,0.00394121767701422
Factor1,GO:0071356,0.000791716041022128,0.0055420122871549
Factor1,GO:0032760,0.00126963650679356,0.00829495851105127
Factor1,GO:0050829,0.00227131712706431,0.0139118174032689
Factor1,GO:0043066,0.00355101191222024,0.0204705392586814
Factor1,GO:0006954,0.00591278869094179,0.032191849539572
Factor1,GO:0030154,0.0062650586674838,0.0323145131270217
Factor1,GO:0006955,0.00779526495610921,0.0381967982849351
Factor1,GO:0007155,0.00932221013694662,0.0435036473057509
Factor1,GO:0001525,0.0105508362888109,0.0449557372305856
Factor1,GO:0006508,0.0102154684471368,0.0449557372305856
Factor1,GO:0043065,0.0113534836406861,0.0463600581994681
Factor1,GO:0071347,0.014621304487028,0.0573155135891498
Factor1,GO:0098609,0.0198614335686834,0.0748623265281144
Factor1,GO:0006869,0.0390429984828783,0.128444319235083
Factor1,GO:0019722,0.0355158270962791,0.128444319235083
Factor1,GO:0045893,0.03931968956176,0.128444319235083
Factor1,GO:0071222,0.038166549926037,0.128444319235083
Factor1,GO:0016055,0.0478375039874468,0.151228238411928
Factor1,GO:0045944,0.0503082355863966,0.15406897148334
Factor1,GO:0051897,0.0618004692273615,0.183528666190346
Factor1,GO:0007166,0.0667894205941193,0.192510682888932
Factor1,GO:0006357,0.0821342809347326,0.223587764766772
Factor1,GO:0071345,0.0799341923516919,0.223587764766772
Factor1,GO:0006355,0.0876598797564988,0.22718840646486
Factor1,GO:0006631,0.0880934637312724,0.22718840646486
Factor1,GO:0032496,0.091503146915494,0.229930984556882
Factor1,GO:0007204,0.0956153525691452,0.234257613794406
Factor1,GO:0007165,0.100971272773208,0.241345969067667
Factor1,GO:0007608,0.106476243945575,0.242666788527125
Factor1,GO:0009410,0.105126002858909,0.242666788527125
Factor1,GO:0002250,0.11841722850429,0.259189681552187
Factor1,GO:0050911,0.119015670100494,0.259189681552187
Factor1,GO:0007283,0.13827598350089,0.288320135810366
Factor1,GO:0061844,0.135497824449649,0.288320135810366
Factor1,GO:0019221,0.17059381213067,0.348295699766785
Factor1,GO:0007411,0.175369147166287,0.350738294332575
Factor1,GO:0000122,0.196051200102656,0.384260352201206
Factor1,GO:0007267,0.201725104472006,0.387628632122677
Factor1,GO:0008284,0.22219485059136,0.418751833806795
Factor1,GO:0006821,0.256353935488298,0.474012937317985
Factor1,GO:0006811,0.27040945718124,0.490743088958546
Factor1,GO:0043410,0.313717569379044,0.558987669075387
Factor1,GO:0070098,0.320761567515563,0.561332743152235
Factor1,GO:0006874,0.32791414026226,0.563782206064939
Factor1,GO:0050821,0.346142479099349,0.584861430202348
Factor1,GO:0043123,0.358974858853389,0.596263324875121
Factor1,GO:1902476,0.376425944590559,0.614829042831246
Factor1,GO:0034220,0.398920683580692,0.640888967064062
Factor1,GO:0006813,0.415576581235103,0.65687911227484
Factor1,GO:0006325,0.425580672759211,0.662014379847662
Factor1,GO:0007154,0.477394177251568,0.711848365216621
Factor1,GO:0007420,0.470398152174743,0.711848365216621
Factor1,GO:0048821,0.479408082696908,0.711848365216621
Factor1,GO:0006935,0.49996843808084,0.7312971183869
Factor1,GO:0007156,0.515850365860598,0.732657041367226
Factor1,GO:0008285,0.510427537171259,0.732657041367226
Factor1,GO:0007160,0.562947128023559,0.773988710418825
Factor1,GO:0007399,0.566184536338916,0.773988710418825
Factor1,GO:0045892,0.56864476683832,0.773988710418825
Factor1,GO:0007268,0.617088135937024,0.828419689340114
Factor1,GO:0007186,0.654552357402445,0.83306663669402
Factor1,GO:0007565,0.64282307891916,0.83306663669402
Factor1,GO:0031640,0.641375951871179,0.83306663669402
Factor1,GO:0035556,0.648006695643654,0.83306663669402
Factor1,GO:0016477,0.699447358360092,0.867668874927709
Factor1,GO:0090090,0.693192083123423,0.867668874927709
Factor1,GO:0005975,0.716900727434753,0.878203391107573
Factor1,GO:0071805,0.729670340418246,0.882811029148001
Factor1,GO:0010628,0.767317102689204,0.909107721675
Factor1,GO:0030198,0.769958580602296,0.909107721675
Factor1,GO:0042127,0.807022409929046,0.94152614491722
Factor1,GO:0060078,0.823923708060606,0.949935569293404
