"Factor","GO_ID","P_value","FDR"
"Factor1","GO:0045087",8.33474860071172e-22,8.16805362869748e-20
"Factor1","GO:0051607",1.75556060680416e-10,8.6022469733404e-09
"Factor1","GO:0045071",3.10458032060727e-08,1.01416290473171e-06
"Factor1","GO:0002376",3.08546492126679e-07,7.55938905710364e-06
"Factor1","GO:0009615",1.1181875536621e-06,2.19164760517771e-05
"Factor1","GO:0006952",7.90861286817854e-06,0.000129174010180249
"Factor1","GO:0042742",2.06533604990748e-05,0.000289147046987047
"Factor1","GO:0050853",6.00427187566781e-05,0.000735523304769307
"Factor1","GO:0006958",9.87408418867241e-05,0.00107517805609989
"Factor1","GO:0140374",0.000124350184705945,0.00121863181011826
"Factor1","GO:0050729",0.000458005708480571,0.00388398108795155
"Factor1","GO:0006915",0.000475589520973659,0.00388398108795155
"Factor1","GO:0019731",0.000522814589808009,0.00394121767701422
"Factor1","GO:0071356",0.000791716041022128,0.0055420122871549
"Factor1","GO:0032760",0.00126963650679356,0.00829495851105127
"Factor1","GO:0050829",0.00227131712706431,0.0139118174032689
"Factor1","GO:0043066",0.00355101191222024,0.0204705392586814
"Factor1","GO:0006954",0.00591278869094179,0.032191849539572
"Factor1","GO:0030154",0.0062650586674838,0.0323145131270217
"Factor1","GO:0006955",0.00779526495610921,0.0381967982849351
"Factor1","GO:0007155",0.00932221013694662,0.0435036473057509
"Factor1","GO:0006508",0.0102154684471368,0.0449557372305856
"Factor1","GO:0001525",0.0105508362888109,0.0449557372305856
"Factor1","GO:0043065",0.0113534836406861,0.0463600581994681
"Factor1","GO:0071347",0.014621304487028,0.0573155135891498
"Factor1","GO:0098609",0.0198614335686834,0.0748623265281144
"Factor2","GO:0002376",5.23879632529912e-31,5.13402039879314e-29
"Factor2","GO:0002250",9.42370312470737e-22,4.61761453110661e-20
"Factor2","GO:0006955",1.4298225452986e-21,4.67075364797542e-20
"Factor2","GO:0045087",4.95315438762224e-13,1.21352282496745e-11
"Factor2","GO:0007608",1.8591861195785e-09,3.64400479437386e-08
"Factor2","GO:0050911",3.30510701891814e-09,5.39834146423296e-08
"Factor2","GO:0051607",9.22840459755584e-09,1.29197664365782e-07
"Factor2","GO:0007186",1.14081507256239e-08,1.39749846388893e-07
"Factor2","GO:0042742",2.11941567852324e-07,2.30780818328086e-06
"Factor2","GO:0019731",4.77936904662966e-07,4.68378166569707e-06
"Factor2","GO:0016064",5.31586748971573e-07,4.73595467265583e-06
"Factor2","GO:0006954",4.06964192321612e-06,3.32354090395983e-05
"Factor2","GO:0034220",4.46806507707318e-06,3.36823367348594e-05
"Factor2","GO:0048821",5.02492186805212e-06,3.51744530763648e-05
"Factor2","GO:0071222",1.80774936242409e-05,0.000118106291678374
"Factor2","GO:0140374",1.95771383841432e-05,0.000119909972602877
"Factor2","GO:0050853",2.77618797314265e-05,0.000159250424683412
"Factor2","GO:0006952",2.92500780030756e-05,0.000159250424683412
"Factor2","GO:0061844",5.04245528770891e-05,0.000260084535892354
"Factor2","GO:0006958",8.36372576608748e-05,0.000409822562538286
"Factor2","GO:0006811",0.000109638295516786,0.000511645379078334
"Factor2","GO:0045071",0.000153195000835595,0.000682414094631286
"Factor2","GO:0050829",0.000161221915634888,0.00068694555357474
"Factor2","GO:0009615",0.000300842190021405,0.0012284389425874
"Factor2","GO:0006935",0.000337200372014796,0.001321825458298
"Factor2","GO:0032760",0.000654499812649451,0.00246696083229408
"Factor2","GO:0007411",0.000752444318864628,0.00273109419439754
"Factor2","GO:0007399",0.000880851939699465,0.00308298178894813
"Factor2","GO:0007156",0.00117576319493303,0.00397326872770473
"Factor2","GO:0007189",0.00281606565788706,0.0091991478157644
"Factor2","GO:0007165",0.00359806269474439,0.0113745207769339
"Factor2","GO:0031640",0.00460929228188262,0.0141159576132655
"Factor2","GO:0007268",0.0065112533517347,0.0193364493475758
"Factor2","GO:0060078",0.00969803494341068,0.027953159542772
"Factor2","GO:0006813",0.0123029683688154,0.0342396745227378
"Factor2","GO:0071805",0.0125778396205976,0.0342396745227378
"Factor2","GO:0071345",0.0145264175436079,0.0384753761965831
"Factor2","GO:1902476",0.0152253789396532,0.0392654509496321
"Factor2","GO:0043123",0.0170040386709926,0.0427280971732635
"Factor2","GO:0050729",0.0190655488101805,0.045897421093148
"Factor2","GO:0006325",0.0192019822940721,0.045897421093148
"Factor2","GO:0071356",0.0221724216625872,0.0510487019235061
"Factor2","GO:0055085",0.0223989202317425,0.0510487019235061
"Factor2","GO:0035725",0.0244958457323719,0.0545589291311919
"Factor2","GO:0030182",0.0352813787272278,0.0768350025615184
"Factor3","GO:0045087",1.80221140856056e-11,1.76616718038934e-09
"Factor3","GO:0032760",2.87994086548684e-10,1.41117102408855e-08
"Factor3","GO:0009615",1.11686960763739e-08,3.64844071828216e-07
"Factor3","GO:0006952",4.75287110361938e-06,0.000109269126403809
"Factor3","GO:0042742",5.57495542876579e-06,0.000109269126403809
