"factor","Timepoint_1","Timepoint_2","N","Mean_Difference","SD_Difference","t_statistic","p_value","FDR","Significant_FDR05","Direction"
"Factor1","D0","D3",201,0.473656717658017,1.51412382786549,4.43506853916302,1.51769462719968e-05,4.93185229440276e-05,TRUE,"Increased"
"Factor14","D0","D3",201,-0.233419678277633,1.20519611075975,-2.74585609735475,0.00658557569967511,0.0123479544368908,TRUE,"Decreased"
"Factor12","D0","D3",201,0.0982070074310128,1.33808131471493,1.0405381314749,0.299346196145072,0.320728067298291,FALSE,"Increased"
"Factor5","D0","D3",201,-0.316186850314232,0.862601666253741,-5.1967465974882,4.98558712342166e-07,2.49279356171083e-06,TRUE,"Decreased"
"Factor13","D0","D3",201,-0.544620931847021,1.08258580608072,-7.13230700693763,1.76789656925442e-11,1.32592242694081e-10,TRUE,"Decreased"
"Factor8","D0","D3",201,0.169487555400093,0.993895191593693,2.41766016539665,0.0165173459453753,0.0275289099089589,TRUE,"Increased"
"Factor15","D0","D3",201,-0.0301168521690131,0.495021969546332,-0.862547721211033,0.389419267547456,0.389419267547456,FALSE,"Decreased"
"Factor11","D0","D3",201,-0.119949995735882,1.01998094386341,-1.66727104352689,0.0970256076615343,0.111952624224847,FALSE,"Decreased"
"Factor3","D0","D3",201,0.309214111755774,1.89585512266078,2.31234264220946,0.0217764683428039,0.0326647025142059,TRUE,"Increased"
"Factor7","D0","D3",201,-0.111833876673311,0.940435881542063,-1.6859403994471,0.0933666735939521,0.111952624224847,FALSE,"Decreased"
"Factor6","D0","D3",201,-0.553654271285675,1.78387876441446,-4.40018917032544,1.75790027653126e-05,4.93185229440276e-05,TRUE,"Decreased"
"Factor4","D0","D3",201,1.41355752743218,0.993727869912634,20.1671276030528,4.37870613114847e-50,6.5680591967227e-49,TRUE,"Increased"
"Factor2","D0","D3",201,0.693886079933189,2.2497755898917,4.37267302675101,1.97274091776111e-05,4.93185229440276e-05,TRUE,"Increased"
"Factor10","D0","D3",201,0.223360225374681,1.01611278691698,3.11646282858523,0.00209967033085325,0.00449929356611412,TRUE,"Increased"
"Factor9","D0","D3",201,0.15642627521125,1.09869970906237,2.01849985847548,0.0448747004478058,0.061192773337917,FALSE,"Increased"
"Factor1","D0","D7",123,1.33955066241475,1.87051304326821,7.94238542049315,1.10630983099588e-12,8.29732373246911e-12,TRUE,"Increased"
"Factor14","D0","D7",123,0.0387052142040471,1.46356882682732,0.293297850603256,0.769792816977556,0.769792816977556,FALSE,"Increased"
"Factor12","D0","D7",123,0.0697279345789334,1.31383478981942,0.588597752134786,0.557219305888061,0.597020684880065,FALSE,"Increased"
"Factor5","D0","D7",123,-0.345854236283415,1.00305870501895,-3.82401250714941,0.000208262169296018,0.000520655423240045,TRUE,"Decreased"
"Factor13","D0","D7",123,-0.910473302915329,1.33576153826536,-7.55946111250259,8.34053886413001e-12,4.17026943206501e-11,TRUE,"Decreased"
"Factor8","D0","D7",123,-0.0711089098595113,1.0391897426598,-0.758895058672709,0.449379047241683,0.518514285278865,FALSE,"Decreased"
"Factor15","D0","D7",123,-0.0799594860508796,0.588140372023592,-1.50779242722253,0.134192872152728,0.201289308229093,FALSE,"Decreased"
"Factor11","D0","D7",123,-0.109460320503534,1.25023480655629,-0.970996547353811,0.333471166799938,0.416838958499923,FALSE,"Decreased"
"Factor3","D0","D7",123,0.490410529667648,1.91679185768577,2.83750990520863,0.00532623162540119,0.00887705270900199,TRUE,"Increased"
"Factor7","D0","D7",123,0.389214240169774,1.40939106655398,3.06273740614203,0.00269907447834098,0.00506076464688933,TRUE,"Increased"
"Factor6","D0","D7",123,-0.536648926696157,1.83270624946518,-3.24750598432563,0.00150372092777439,0.00322225913094511,TRUE,"Decreased"
"Factor4","D0","D7",123,2.19226471185154,1.12817912279004,21.5510031406844,2.05898514961113e-43,3.08847772441669e-42,TRUE,"Increased"
"Factor2","D0","D7",123,1.37004346179026,2.29043485594211,6.63390054029831,9.48240107742358e-10,3.55590040403384e-09,TRUE,"Increased"
"Factor10","D0","D7",123,0.131329541735359,1.39123501701102,1.04692238132076,0.297205112445275,0.405279698789011,FALSE,"Increased"
"Factor9","D0","D7",123,0.466928706199387,1.12975653175668,4.58372199357209,1.11285446943394e-05,3.33856340830181e-05,TRUE,"Increased"
"Factor1","D3","D7",117,0.466305363859631,1.50475956155006,3.35193995581838,0.00108395196842141,0.00406481988158027,TRUE,"Increased"
"Factor14","D3","D7",117,0.264468170630817,1.35650606340552,2.10884472025949,0.0371094013886743,0.082689276640928,FALSE,"Increased"
"Factor12","D3","D7",117,0.138764649136072,1.29459312855692,1.15941382658099,0.248668540980225,0.373002811470338,FALSE,"Increased"
"Factor5","D3","D7",117,0.145201393120532,0.750637036793493,2.09234706990182,0.0385883290990997,0.082689276640928,FALSE,"Increased"
"Factor13","D3","D7",117,-0.10546773707526,0.909557286140586,-1.25424535560224,0.212274358238617,0.353790597064361,FALSE,"Decreased"
"Factor8","D3","D7",117,-0.291859656689752,1.02076076132462,-3.09273729155299,0.00248470452432096,0.00745411357296287,TRUE,"Decreased"
"Factor15","D3","D7",117,0.000158097881537217,0.547360792672857,0.00312424652654302,0.997512582550422,0.997512582550422,FALSE,"Increased"
"Factor11","D3","D7",117,-0.0309016095339042,1.1148504903216,-0.299817792527637,0.764852725250479,0.882522375289014,FALSE,"Decreased"
"Factor3","D3","D7",117,0.0300340411595554,2.16655672668513,0.149946605241937,0.881067148475979,0.944000516224263,FALSE,"Increased"
"Factor7","D3","D7",117,0.650123633615947,0.919191775034861,7.65037555836821,6.44704446516739e-12,5.58287891240812e-11,TRUE,"Increased"
"Factor6","D3","D7",117,-0.0831517534485708,1.3501939073698,-0.666144119893694,0.506641604969175,0.633302006211469,FALSE,"Decreased"
"Factor4","D3","D7",117,0.724331742050086,1.0278523446058,7.62254009570608,7.4438385498775e-12,5.58287891240812e-11,TRUE,"Increased"
"Factor2","D3","D7",117,0.424332911063097,2.29737838779265,1.99786949790396,0.0480706226377973,0.09013241744587,FALSE,"Increased"
"Factor10","D3","D7",117,-0.103764390766931,1.27304298793326,-0.881654040806987,0.379787136953214,0.517891550390747,FALSE,"Decreased"
"Factor9","D3","D7",117,0.407909331232555,0.900702576686253,4.89863595675549,3.1566065464603e-06,1.57830327323015e-05,TRUE,"Increased"
