"feature","factor","value","view"
"OID20775","Factor1",0.0552068650722504,"Protein"
"OID20984","Factor1",0.198930770158768,"Protein"
"OID20083","Factor1",0.202598363161087,"Protein"
"OID21402","Factor1",0.278720170259476,"Protein"
"OID20911","Factor1",0.127937018871307,"Protein"
"OID20850","Factor1",0.277187764644623,"Protein"
"OID20101","Factor1",0.12960521876812,"Protein"
"OID21140","Factor1",0.262472569942474,"Protein"
"OID20563","Factor1",0.125710740685463,"Protein"
"OID20125","Factor1",0.297528952360153,"Protein"
"OID21485","Factor1",0.108201310038567,"Protein"
"OID21276","Factor1",0.130137071013451,"Protein"
"OID20594","Factor1",0.246801540255547,"Protein"
"OID20779","Factor1",0.256292074918747,"Protein"
"OID20983","Factor1",0.29395654797554,"Protein"
"OID20643","Factor1",0.275894612073898,"Protein"
"OID20049","Factor1",0.208896964788437,"Protein"
"OID20312","Factor1",0.0823962688446045,"Protein"
"OID20246","Factor1",0.230852693319321,"Protein"
"OID20495","Factor1",-0.0270837545394897,"Protein"
"OID21031","Factor1",0.288488864898682,"Protein"
"OID20778","Factor1",0.366394847631454,"Protein"
"OID20127","Factor1",0.253399550914764,"Protein"
"OID20274","Factor1",0.142937123775482,"Protein"
"OID21373","Factor1",0.177394032478333,"Protein"
"OID20559","Factor1",0.260397642850876,"Protein"
"OID20218","Factor1",0.260491579771042,"Protein"
"OID20263","Factor1",0.308793812990189,"Protein"
"OID21489","Factor1",0.309420019388199,"Protein"
"OID20219","Factor1",0.0403165705502033,"Protein"
"OID20192","Factor1",0.282720774412155,"Protein"
"OID20896","Factor1",0.176927492022514,"Protein"
"OID20399","Factor1",0.246029809117317,"Protein"
"OID21297","Factor1",0.290243625640869,"Protein"
"OID21348","Factor1",0.298616617918015,"Protein"
"OID20593","Factor1",0.109336875379086,"Protein"
"OID21395","Factor1",0.10350327193737,"Protein"
"OID21507","Factor1",0.217474102973938,"Protein"
"OID20729","Factor1",0.314046531915665,"Protein"
"OID20220","Factor1",0.0831094309687614,"Protein"
"OID21411","Factor1",0.365883201360703,"Protein"
"OID21387","Factor1",0.308988183736801,"Protein"
"OID20266","Factor1",0.321230500936508,"Protein"
"OID21461","Factor1",0.218113273382187,"Protein"
"OID21475","Factor1",0.273662656545639,"Protein"
"OID20671","Factor1",0.192058607935905,"Protein"
"OID20950","Factor1",0.32081264257431,"Protein"
"OID20206","Factor1",0.30970510840416,"Protein"
"OID21250","Factor1",0.0869173780083656,"Protein"
"OID20579","Factor1",0.284394174814224,"Protein"
"OID20761","Factor1",0.292450547218323,"Protein"
"OID20711","Factor1",0.272374719381332,"Protein"
"OID20707","Factor1",0.283470749855042,"Protein"
"OID20760","Factor1",0.361884504556656,"Protein"
"OID20672","Factor1",0.217309668660164,"Protein"
