"Protein","Median_Imputation_Value"
"OID20775",5.737
"OID20984",4.3128
"OID20083",0.3646
"OID21402",4.9781
"OID20911",5.7688
"OID20850",2.7837
"OID20101",5.9029
"OID21140",4.9437
"OID20563",5.5009
"OID20125",1.3032
"OID21485",4.2169
"OID21276",6.0123
"OID20594",4.8906
"OID20779",4.5937
"OID20983",4.4162
"OID20643",5.0152
"OID20049",1.6073
"OID20312",5.3793
"OID20246",5.6065
"OID20495",2.86085
"OID21031",3.3373
"OID20778",7.4954
"OID20127",2.9301
"OID20274",3.8622
"OID21373",1.6742
"OID20559",3.7332
"OID20218",4.3911
"OID20263",4.9357
"OID21489",4.3486
"OID20219",0.7433
"OID20192",2.7825
"OID20896",1.8616
"OID20399",3.8705
"OID21297",3.221
"OID21348",3.9335
"OID20593",3.2537
"OID21395",4.4124
"OID21507",3.5208
"OID20729",2.5654
"OID20220",4.1262
"OID21411",2.5051
"OID21387",5.2057
"OID20266",3.8248
"OID21461",5.4546
"OID21475",2.937
"OID20671",5.3862
"OID20950",5.6306
"OID20206",5.2083
"OID21250",2.7822
"OID20579",2.9533
"OID20761",3.3958
"OID20711",4.5602
"OID20707",2.0009
"OID20760",2.9208
"OID20672",10.5812
"OID21277",4.6211
"OID20169",4.2278
"OID20524",1.7494
"OID20523",4.9855
"OID20544",4.6886
"OID21047",5.2643
"OID20258",4.1433
"OID20112",2.7659
"OID20993",3.0566
"OID20656",7.8916
"OID20863",2.065
"OID20640",4.8149
"OID20596",2.8265
"OID20625",4.4987
"OID21097",1.138
"OID20166",4.497
"OID21306",4.304
"OID21176",1.3732
"OID21118",3.3876
"OID21332",3.9163
"OID20551",3.0362
"OID20856",4.8197
"OID20918",4.045
"OID21420",3.837
"OID20875",2.1156
"OID21378",2.3817
"OID21506",4.6244
"OID21459",5.7508
"OID20075",2.4018
"OID21505",4.6117
"OID20698",2.7691
"OID20271",5.9089
"OID20717",2.9712
"OID20050",0.6122
"OID20090",2.8756
"OID20627",4.8298
"OID20908",2.5225
"OID20741",5.8872
"OID20519",2.9604
"OID20138",1.7586
"OID20095",3.4184
"OID20689",3.9648
"OID20203",1.9739
"OID20541",2.8435
"OID20742",4.487
"OID20554",2.2801
"OID21319",3.3752
"OID20415",5.414
"OID21521",2.057
"OID20925",1.8623
"OID21204",2.6058
"OID20938",2.5614
"OID20577",2.6747
"OID21029",4.7089
"OID20364",2.9513
"OID21408",3.2979
"OID20788",5.3467
"OID21469",6.2905
"OID20899",2.364
"OID20952",5.1704
"OID21078",3.9935
"OID20187",2.6931
"OID20475",2.9644
"OID20616",4.2637
"OID21069",2.7312
"OID20772",5.224
"OID20684",2.7568
"OID20230",5.9781
"OID21451",4.745
"OID20916",1.5925
"OID21158",3.6005
"OID20182",2.0619
"OID21307",3.5221
"OID20412",3.7473
"OID21226",4.1692
"OID21391",3.6871
"OID20615",4.8767
"OID21224",2.8144
"OID20158",2.0217
"OID20582",1.6167
"OID20816",1.5726
"OID20937",4.5662
"OID21376",2.8341
"OID20681",3.2138
"OID20251",3.9188
"OID21350",3.858
"OID21263",1.0687
"OID21149",4.9428
"OID20207",4.5404
"OID21282",3.0659
"OID21269",3.6423
"OID21309",5.2556
"OID20959",3.4185
"OID21508",2.9983
"OID21292",2.6117
"OID20697",7.1961
"OID20588",2.8455
"OID21422",4.0583
"OID20910",2.0368
"OID20175",2.6302
"OID21383",5.2414
"OID21082",5.1003
"OID20965",3.2766
"OID20225",1.7961
